JOB_NM,PARENT_JOB_NM
risk_mort_acct_snapshot,risk_step_xref
risk_mort_acct_snapshot,risk_cust_acct_rltnp
risk_mort_acct_drvd_vars,risk_mort_acct_snapshot
cbs_mort_cust_sum_fact,risk_mort_acct_drvd_vars
cbs_mort_cust_sum_fact,cbs_acct_base
risk_kq_acct_snapshot,risk_cust_acct_rltnp
risk_kq_acct_snapshot,risk_step_xref
risk_kq_acct_drvd_vars,risk_kq_acct_snapshot
cbs_kq_cust_sum_fact,risk_kq_acct_drvd_vars
cbs_kq_cust_sum_fact,cbs_acct_base
risk_spl_acct_snapshot,risk_cust_acct_rltnp
risk_spl_acct_snapshot,risk_step_xref
risk_spl_acct_drvd_vars,risk_spl_acct_snapshot
cbs_spl_cust_sum_fact,risk_spl_acct_drvd_vars
cbs_spl_cust_sum_fact,cbs_acct_base
risk_sav_acct_snapshot,cbs_acct_base
risk_sav_cust_sum_fact,risk_sav_acct_snapshot
risk_sav_dly_txn_hist_delta,cbs_acct_base
risk_sav_acct_txn_sum_fact,risk_sav_dly_txn_hist_delta
cbs_sav_cust_sum_fact,risk_sav_acct_txn_sum_fact
cbs_sav_cust_sum_fact,risk_sav_cust_sum_fact
cbs_sav_cust_sum_fact,cbs_acct_base
cbs_sav_cust_sum_fact,cbs_customer_base
risk_ip_dhs_cash_dmd_acct_snapshot,cbs_acct_base
risk_ip_term_acct_snapshot,cbs_acct_base
risk_ip_mut_fund_acct_snapshot,cbs_acct_base
risk_ip_ci_cust_plan_acct_snapshot,cbs_acct_base
