JOB_ID,JOB_NM,TARGET_SCHEMA_NM,TARGET_TBL_NM,TARGET_COL_NM,TARGET_SQL_CRTRIA,SRC_SCHEMA_NM,SRC_TBL_NM,SRC_COL_NM,SRC_SQL_CRTRIA,DATA_LOAD_TYPE,CLNDR_TYPE,ACTIVATE_F
1,cbs_customer_base,crz_cust_scorecard,cbs_customer_base,eff_dt,,tsz_b9xf_rrap,cbs_customer_base,businesseffectivedate,,normal,CU,Y
2,cbs_acct_base,crz_cust_scorecard,cbs_acct_base,eff_dt,,tsz_b9xf_rrap,cbs_cis_data_pop,businesseffectivedate,,normal,CU,Y
3,risk_step_xref,crz_cust_scorecard,risk_step_xref,eff_dt,,tsz_rma,v_ux_ux300u1,businesseffectivedate,,normal,CU,Y
4,cbs_mdm_flags,crz_cust_scorecard,cbs_mdm_flags,eff_dt,,tsz,os_tos_person,businesseffectivedate,,normal,CU,Y
5,risk_cust_acct_rltnp,crz_cust_scorecard,risk_cust_acct_rltnp,eff_dt,,ez1,cust_acct_rltnp,mth_end_dt,,normal,CU,Y
6,risk_kq_acct_snapshot,crz_cust_scorecard,risk_kq_acct_snapshot,eff_dt,,prod_rcrr1,revlvng_credit_mth_snapshot,mth_end_dt,,normal,CU,Y
7,risk_kq_acct_drvd_vars,crz_cust_scorecard,risk_kq_acct_drvd_vars,eff_dt,,crz_cust_scorecard,risk_kq_acct_snapshot,eff_dt,,normal,CU,Y
8,cbs_kq_cust_sum_fact,crz_cust_scorecard,cbs_kq_cust_sum_fact,eff_dt,,crz_cust_scorecard,risk_kq_acct_drvd_vars,eff_dt,,normal,CU,Y
9,risk_mort_acct_snapshot,crz_cust_scorecard,risk_mort_acct_snapshot,eff_dt,,prod_rcrr1,mortgage_mth_snapshot,mth_end_dt,,normal,CU,Y
10,risk_mort_acct_drvd_vars,crz_cust_scorecard,risk_mort_acct_drvd_vars,eff_dt,,crz_cust_scorecard,risk_mort_acct_snapshot,eff_dt,,normal,CU,Y
11,cbs_mort_cust_sum_fact,crz_cust_scorecard,cbs_mort_cust_sum_fact,eff_dt,,crz_cust_scorecard,risk_mort_acct_drvd_vars,eff_dt,,normal,CU,Y
