Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT94,features.AT94,AT94,1,0,>=,25655,,,,,
AT94,features.AT94,AT94,2,21,>=,3945.5,<,25655,,,
AT94,features.AT94,AT94,3,39,>=,153.5,<,3945.5,,,
AT94,features.AT94,AT94,4,63,,,<,153.5,,,
AT94,features.AT94,AT94,4,63,=,Missing/Null,,,,,
CSH_ADVNC_1_CYCL_BAL_SUM12M,features.CSH_ADVNC_1_CYCL_BAL_SUM12M,CSH_ADVNC_1_CYCL_BAL_SUM12M,1,0,,,<=,0,,,
CSH_ADVNC_1_CYCL_BAL_SUM12M,features.CSH_ADVNC_1_CYCL_BAL_SUM12M,CSH_ADVNC_1_CYCL_BAL_SUM12M,2,34,>,0,,,,,
CSH_ADVNC_1_CYCL_BAL_SUM12M,features.CSH_ADVNC_1_CYCL_BAL_SUM12M,CSH_ADVNC_1_CYCL_BAL_SUM12M,2,34,=,Missing/Null,,,,,
D2D_BAL_AMT_MIN12M,features.D2D_BAL_AMT_MIN12M,D2D_BAL_AMT_MIN12M,1,0,>=,10869.2,,,,,
D2D_BAL_AMT_MIN12M,features.D2D_BAL_AMT_MIN12M,D2D_BAL_AMT_MIN12M,2,148,>=,1982.03,<,10869.2,,,
D2D_BAL_AMT_MIN12M,features.D2D_BAL_AMT_MIN12M,D2D_BAL_AMT_MIN12M,3,262,,,<,1982.03,,,
D2D_BAL_AMT_MIN12M,features.D2D_BAL_AMT_MIN12M,D2D_BAL_AMT_MIN12M,3,262,=,Missing/Null,,,,,
GO06_AVG12M,features.GO06_AVG12M,GO06_AVG12M,1,0,,,<,0.04167,,,
GO06_AVG12M,features.GO06_AVG12M,GO06_AVG12M,2,15,>=,0.04167,<,0.6125,,,
GO06_AVG12M,features.GO06_AVG12M,GO06_AVG12M,3,52,>=,0.6125,,,,,
GO06_AVG12M,features.GO06_AVG12M,GO06_AVG12M,3,52,=,Missing/Null,,,,,
OD_NUM,features.OD_NUM,OD_NUM,1,0,,,<,1,,,
OD_NUM,features.OD_NUM,OD_NUM,1,0,=,Missing/Null,,,,,
OD_NUM,features.OD_NUM,OD_NUM,2,20,>=,1,,,,,
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,1,0,,,<,0.3596,,,
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,2,264,>=,0.3596,<,0.5735,,,
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,3,431,>=,0.5735,<,0.8655,,,
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,4,551,>=,0.8655,<,1,,,
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,5,569,>=,1,,,,,
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,5,569,=,Missing/Null,,,,,
