Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
GO06_AVG24M,features.GO06_AVG24M,GO06AVG24M,1,0,,,<,0.293,,,
GO06_AVG24M,features.GO06_AVG24M,GO06AVG24M,2,89,>=,0.293,,,,,
GO06_AVG24M,features.GO06_AVG24M,GO06AVG24M,2,89,=,Missing/Null,,,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTV_METHOD2_FIX_BIN,1,0,,,<,0.693,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTV_METHOD2_FIX_BIN,2,118,>=,0.693,,,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTV_METHOD2_FIX_BIN,2,118,=,Missing/Null,,,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_BIN,1,0,,,<,5,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_BIN,1,0,=,Missing/Null,,,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_BIN,2,16,>=,5,<,9,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_BIN,3,130,>=,9,,,,,
PR01,features.PR01,PR01_BIN,1,0,,,<=,0,,,
PR01,features.PR01,PR01_BIN,2,232,>,0,,,,,
PR01,features.PR01,PR01_BIN,2,232,=,Missing/Null,,,,,
STEP_MORT_ACCT_CNT,features.STEP_MORT_ACCT_CNT,NUM_MO_ACCTS_STEP,1,15,=,0,,,,,
STEP_MORT_ACCT_CNT,features.STEP_MORT_ACCT_CNT,NUM_MO_ACCTS_STEP,2,0,>=,1,,,,,
STEP_MORT_ACCT_CNT,features.STEP_MORT_ACCT_CNT,NUM_MO_ACCTS_STEP,3,108,=,Missing/Null,,,,,
TOT_CUR_BAL_CUST_SUM6M,features.TOT_CUR_BAL_CUST_SUM6M,TOT_CUR_BAL_CUSTSUM6M,1,164,,,<,169835.9,,,
TOT_CUR_BAL_CUST_SUM6M,features.TOT_CUR_BAL_CUST_SUM6M,TOT_CUR_BAL_CUSTSUM6M,2,0,>=,169835.9,,,,,
TOT_CUR_BAL_CUST_SUM6M,features.TOT_CUR_BAL_CUST_SUM6M,TOT_CUR_BAL_CUSTSUM6M,2,0,=,Missing/Null,,,,,
TOT_DEP_AMT_MAX3M,features.TOT_DEP_AMT_MAX3M,DEP_AMTMAX3M,1,47,,,<,0.015,,,
TOT_DEP_AMT_MAX3M,features.TOT_DEP_AMT_MAX3M,DEP_AMTMAX3M,1,47,=,Missing/Null,,,,,
TOT_DEP_AMT_MAX3M,features.TOT_DEP_AMT_MAX3M,DEP_AMTMAX3M,2,0,>=,0.015,,,,,
WORST_DLQDAYS_KS_CUST_MAX6M,features.WORST_DLQDAYS_KS_CUST_MAX6M,WORST_DLQDAYS_KS_CUSTMAX6M,1,0,,,<,168.5,,,
WORST_DLQDAYS_KS_CUST_MAX6M,features.WORST_DLQDAYS_KS_CUST_MAX6M,WORST_DLQDAYS_KS_CUSTMAX6M,2,113,>=,168.5,,,,,
WORST_DLQDAYS_KS_CUST_MAX6M,features.WORST_DLQDAYS_KS_CUST_MAX6M,WORST_DLQDAYS_KS_CUSTMAX6M,1,0,=,Missing/Null,,,,,
