Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT29_MAX12M,features.AT29_MAX12M,AT29_MAX12M,1,0,,,<,6,,,
AT29_MAX12M,features.AT29_MAX12M,AT29_MAX12M,1,0,=,Missing/Null,,,,,
AT29_MAX12M,features.AT29_MAX12M,AT29_MAX12M,2,43,>=,6,,,,,
AT34_AVG6M,features.AT34_AVG6M,AT34_AVG6M,1,0,,,<,38.83,,,
AT34_AVG6M,features.AT34_AVG6M,AT34_AVG6M,2,104,>=,38.83,<,100,,,
AT34_AVG6M,features.AT34_AVG6M,AT34_AVG6M,2,104,=,Missing/Null,,,,,
AT34_AVG6M,features.AT34_AVG6M,AT34_AVG6M,3,197,>=,100,,,,,
BR34,features.BR34,BR34,1,0,,,<,41,,,
BR34,features.BR34,BR34,2,70,>=,41,,,,,
BR34,features.BR34,BR34,2,70,=,Missing/Null,,,,,
CUST22_SLP3M,features.CUST22_SLP3M,CUST22_SLP3M,1,0,,,<,0,,,
CUST22_SLP3M,features.CUST22_SLP3M,CUST22_SLP3M,1,0,=,Missing/Null,,,,,
CUST22_SLP3M,features.CUST22_SLP3M,CUST22_SLP3M,2,42,>=,0,,,,,
GO05,features.GO05,GO05,1,0,,,<,5,,,
GO05,features.GO05,GO05,2,31,>=,5,<,13,,,
GO05,features.GO05,GO05,2,31,=,Missing/Null,,,,,
GO05,features.GO05,GO05,3,65,>=,13,,,,,
IND_DELQ_SUM24M,features.IND_DELQ_SUM24M,IND_DELQ_SUM24M,1,99,,,<,1,,,
IND_DELQ_SUM24M,features.IND_DELQ_SUM24M,IND_DELQ_SUM24M,1,99,=,Missing/Null,,,,,
IND_DELQ_SUM24M,features.IND_DELQ_SUM24M,IND_DELQ_SUM24M,2,60,>=,1,<,6,,,
IND_DELQ_SUM24M,features.IND_DELQ_SUM24M,IND_DELQ_SUM24M,3,0,>=,6,,,,,
IND_JOINT,features.IND_JOINT,IND_JOINT,1,94,,,<,1,,,
IND_JOINT,features.IND_JOINT,IND_JOINT,1,94,=,Missing/Null,,,,,
IND_JOINT,features.IND_JOINT,IND_JOINT,2,0, >=,1,,,,,
SUBV,features.SUBV,SUBV,1,0,=,1,,,,,
SUBV,features.SUBV,SUBV,1,0,=,Missing/Null,,,,,
SUBV,features.SUBV,SUBV,2,106,=,0,,,,,
CUST13_MAX6M,features.CUST13_MAX6M,CUST13_MAX6M,1,41,=,0,,,,,
CUST13_MAX6M,features.CUST13_MAX6M,CUST13_MAX6M,1,41,>,90,,,,,
CUST13_MAX6M,features.CUST13_MAX6M,CUST13_MAX6M,2,0,>,0,<=,90,,,
CUST13_MAX6M,features.CUST13_MAX6M,CUST13_MAX6M,2,0,=,Missing/Null,,,,,
AMORT_LEFT,features.AMORT_LEFT,AMORT_LEFT,1,0,,,<,14,,,
AMORT_LEFT,features.AMORT_LEFT,AMORT_LEFT,2,130,>=,14,,,,,
AMORT_LEFT,features.AMORT_LEFT,AMORT_LEFT,2,130,=,Missing/Null,,,,,
LTV_VEH10,features.LTV_VEH10,LTV_VEH10,1,0,,,<,0.99,,,
LTV_VEH10,features.LTV_VEH10,LTV_VEH10,2,80,>=,0.99,<,1.16,,,
LTV_VEH10,features.LTV_VEH10,LTV_VEH10,3,114,>=,1.16,,,,,
LTV_VEH10,features.LTV_VEH10,LTV_VEH10,3,114,=,Missing/Null,,,,,
