Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT20,features.AT20,AT20,1,0,>=,298,,,,,
AT20,features.AT20,AT20,2,45,>=,107,<,298,,,
AT20,features.AT20,AT20,3,109,,,<,107,,,
AT20,features.AT20,AT20,3,109,=,Missing/Null,,,,,
AT22,features.AT22,AT22,1,0,,,<,1,,,
AT22,features.AT22,AT22,2,39,>=,1,<,4,,,
AT22,features.AT22,AT22,3,93,>=,4,,,,,
AT22,features.AT22,AT22,3,93,=,Missing/Null,,,,,
BR147_MAX3M,features.BR147_MAX3M,BR147_MAX3M,1,0,,,<,23,,,
BR147_MAX3M,features.BR147_MAX3M,BR147_MAX3M,2,10,>=,23,<,78,,,
BR147_MAX3M,features.BR147_MAX3M,BR147_MAX3M,3,63,>=,78,<,98,,,
BR147_MAX3M,features.BR147_MAX3M,BR147_MAX3M,4,95,>=,98,,,,,
BR147_MAX3M,features.BR147_MAX3M,BR147_MAX3M,4,95,=,Missing/Null,,,,,
D2D_BAL_AMT_AVG3M,features.D2D_BAL_AMT_AVG3M,D2D_BAL_AMT_AVG3M,1,0,>=,908,,,,,
D2D_BAL_AMT_AVG3M,features.D2D_BAL_AMT_AVG3M,D2D_BAL_AMT_AVG3M,2,27,,,<,908,,,
D2D_BAL_AMT_AVG3M,features.D2D_BAL_AMT_AVG3M,D2D_BAL_AMT_AVG3M,2,27,=,Missing/Null,,,,,
GO06MAX12M,features.GO06MAX12M,GO06MAX12M,1,0,,,<,1,,,
GO06MAX12M,features.GO06MAX12M,GO06MAX12M,2,36,>=,1,<,4,,,
GO06MAX12M,features.GO06MAX12M,GO06MAX12M,3,105,>=,4,,,,,
GO06MAX12M,features.GO06MAX12M,GO06MAX12M,3,105,=,Missing/Null,,,,,
OS_BAL_AMT,features.OS_BAL_AMT,OS_BAL_AMT,1,0,,,<,14564,,,
OS_BAL_AMT,features.OS_BAL_AMT,OS_BAL_AMT,2,111,>=,14564,,,,,
OS_BAL_AMT,features.OS_BAL_AMT,OS_BAL_AMT,2,111,=,Missing/Null,,,,,
UTILIZATION_AVG3M,features.UTILIZATION_AVG3M,UTILIZATION_AVG3M,1,0,,,<,0.3153,,,
UTILIZATION_AVG3M,features.UTILIZATION_AVG3M,UTILIZATION_AVG3M,2,134,>=,0.3153,<,0.5347,,,
UTILIZATION_AVG3M,features.UTILIZATION_AVG3M,UTILIZATION_AVG3M,3,257,>=,0.5347,<,0.8458,,,
UTILIZATION_AVG3M,features.UTILIZATION_AVG3M,UTILIZATION_AVG3M,4,386,>=,0.8458,<,0.9472,,,
UTILIZATION_AVG3M,features.UTILIZATION_AVG3M,UTILIZATION_AVG3M,5,460,>=,0.9472,,,,,
UTILIZATION_AVG3M,features.UTILIZATION_AVG3M,UTILIZATION_AVG3M,5,460,=,Missing/Null,,,,,

