Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
D2D_BAL_AMT_MAX3M,features.D2D_BAL_AMT_MAX3M,D2D_BAL_AMT_MAX3M,1,0,>=,4510.125,,,,,
D2D_BAL_AMT_MAX3M,features.D2D_BAL_AMT_MAX3M,D2D_BAL_AMT_MAX3M,2,126,>=,136.93,<,4510.125,,,
D2D_BAL_AMT_MAX3M,features.D2D_BAL_AMT_MAX3M,D2D_BAL_AMT_MAX3M,3,249,,,<,136.93,,,
D2D_BAL_AMT_MAX3M,features.D2D_BAL_AMT_MAX3M,D2D_BAL_AMT_MAX3M,3,249,=,Missing/Null,,,,,
GO06_MAX6M,features.GO06_MAX6M,GO06_MAX6M,1,0,,,<,0.5,,,
GO06_MAX6M,features.GO06_MAX6M,GO06_MAX6M,1,0, =,Missing/Null,,,,,
GO06_MAX6M,features.GO06_MAX6M,GO06_MAX6M,2,67,>=,0.5,<,2.5,,,
GO06_MAX6M,features.GO06_MAX6M,GO06_MAX6M,3,234,>=,2.5,,,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_SINCE_LAST_DEF,1,0,,,<,0.5,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_SINCE_LAST_DEF,2,16,>=,0.5,<,2.5,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_SINCE_LAST_DEF,3,29,>=,2.5,<,5.5,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_SINCE_LAST_DEF,4,105,>=,5.5,,,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_SINCE_LAST_DEF,4,105, =,Missing/Null,,,,,
PR01_MAX24M,features.PR01_MAX24M,PR01_MAX24M,1,0,,,<,0.5,,,
PR01_MAX24M,features.PR01_MAX24M,PR01_MAX24M,1,0, =,Missing/Null,,,,,
PR01_MAX24M,features.PR01_MAX24M,PR01_MAX24M,2,282,>=,0.5,,,,,
TOT_NEW_BAL_SLP3M,features.TOT_NEW_BAL_SLP3M,TOT_NEW_BAL_SLP3M,1,0,,,<,-0.03,,,
TOT_NEW_BAL_SLP3M,features.TOT_NEW_BAL_SLP3M,TOT_NEW_BAL_SLP3M,1,0, =,Missing/Null,,,,,
TOT_NEW_BAL_SLP3M,features.TOT_NEW_BAL_SLP3M,TOT_NEW_BAL_SLP3M,2,129,>=,-0.03,,,,,
