Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
Intercept,,,,471,,,,,,,
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,1,11,,,<,26.33,,,
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,2,8,>=,26.33,<,65,,,
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,3,6,>=,65,<,88,,,
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,4,4,>=,88,<,98,,,
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,4,4,=,Missing/Null,,,,,
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,5,0,>=,98,,,,,
AT34_SLP6M,features.AT34_SLP6M,AT34SLP6M,1,26,,,<,0.75,,,
AT34_SLP6M,features.AT34_SLP6M,AT34SLP6M,2,18,>=,0.75,<,4,,,
AT34_SLP6M,features.AT34_SLP6M,AT34SLP6M,3,13,>=,4,<,10,,,
AT34_SLP6M,features.AT34_SLP6M,AT34SLP6M,3,13,=,Missing/Null,,,,,
AT34_SLP6M,features.AT34_SLP6M,AT34SLP6M,4,0,>=,10,,,,,
AT86_AVG6M,features.AT86_AVG6M,AT86AVG6M,1,0,,,<,6,,,
AT86_AVG6M,features.AT86_AVG6M,AT86AVG6M,2,6,>=,6,<,14.5,,,
AT86_AVG6M,features.AT86_AVG6M,AT86AVG6M,3,17,>=,14.5,,,,,
AT86_AVG6M,features.AT86_AVG6M,AT86AVG6M,3,17,=,Missing/Null,,,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,1,0,,,<,8000,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,2,10,>=,8000,<,19117.17,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,2,10,=,Missing/Null,,,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,3,18,>=,19117.17,<,34969.5,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,4,24,>=,34969.5,<,54691.5,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,5,31,>=,54691.5,<,88956,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,6,39,>=,88956,,,,,
BC33,features.BC33,BC33,1,41,,,<,2534,,,
BC33,features.BC33,BC33,2,28,>=,2534,<,8041,,,
BC33,features.BC33,BC33,2,28,=,Missing/Null,,,,,
BC33,features.BC33,BC33,3,17,>=,8041,<,18000,,,
BC33,features.BC33,BC33,4,9,>=,18000,<,35000,,,
BC33,features.BC33,BC33,5,0,>=,35000,,,,,
