Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
D2D_BAL_AMT_MAX12M,features.D2D_BAL_AMT_MAX12M,D2D_BAL_AMT_MAX12M,1,42,,,<,499.2,,,
D2D_BAL_AMT_MAX12M,features.D2D_BAL_AMT_MAX12M,D2D_BAL_AMT_MAX12M,2,0,>=,499.2,,,,,
D2D_BAL_AMT_MAX12M,features.D2D_BAL_AMT_MAX12M,D2D_BAL_AMT_MAX12M,2,0,=,Missing/NULL,,,,,
FORECLOSE_IND,features.FORECLOSE_IND,FORECLOSE_IND,1,166,in,Y,,,,,
FORECLOSE_IND,features.FORECLOSE_IND,FORECLOSE_IND,2,0,not in,Y,,,,,
FORECLOSE_IND,features.FORECLOSE_IND,FORECLOSE_IND,2,0,=,Missing/NULL,,,,,
INDEX_TERANETV,features.INDEX_TERANETV,INDEX_TERANETV,1,137,,,<,151065.35,,,
INDEX_TERANETV,features.INDEX_TERANETV,INDEX_TERANETV,1,137,>=,1000000,,,,,
INDEX_TERANETV,features.INDEX_TERANETV,INDEX_TERANETV,1,137,=,Missing/NULL,,,,,
INDEX_TERANETV,features.INDEX_TERANETV,INDEX_TERANETV,2,0,>=,151065.35,<,1000000,,,
LTV,features.LTV,LTV,1,0,,,<=,0.6589,,,
LTV,features.LTV,LTV,1,0,=,Missing/NULL,,,,,
LTV,features.LTV,LTV,2,50,>,0.6589,,,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_SINCE_LAST_DEF,1,0,,,<,6.5,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_SINCE_LAST_DEF,1,0,=,Missing/NULL,,,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_SINCE_LAST_DEF,2,216,>=,6.5,<,11.5,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_SINCE_LAST_DEF,3,361,>=,11.5,<,15.5,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_SINCE_LAST_DEF,4,540,>=,15.5,,,,,
RATIO,features.RATIO,RATIO,1,0,,,<,0.1478,,,
RATIO,features.RATIO,RATIO,1,0,=,Missing/NULL,,,,,
RATIO,features.RATIO,RATIO,2,64,>=,0.1478,,,,,
URATE,features.URATE,URATE,1,0,,,<,0.1,,,
URATE,features.URATE,URATE,1,0,=,Missing/NULL,,,,,
URATE,features.URATE,URATE,2,64,>=,0.1,,,,,
