Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
HGST_DLQNT_DAY_COMB_MAX24M,features.HGST_DLQNT_DAY_COMB_MAX24M,HGST_DLQNT_DAY_COMB_MAX24M,1,139,,,<,30,,,
HGST_DLQNT_DAY_COMB_MAX24M,features.HGST_DLQNT_DAY_COMB_MAX24M,HGST_DLQNT_DAY_COMB_MAX24M,1,139,=,Missing/Null,,,,,
HGST_DLQNT_DAY_COMB_MAX24M,features.HGST_DLQNT_DAY_COMB_MAX24M,HGST_DLQNT_DAY_COMB_MAX24M,2,122,>= ,30,<,67,,,
HGST_DLQNT_DAY_COMB_MAX24M,features.HGST_DLQNT_DAY_COMB_MAX24M,HGST_DLQNT_DAY_COMB_MAX24M,3,102,>=,67,,,,,
BR147_MAX6M,features.BR147_MAX6M,BR147_MAX6M,1,123,,,<,99,,,
BR147_MAX6M,features.BR147_MAX6M,BR147_MAX6M,1,123,=,Missing/Null,,,,,
BR147_MAX6M,features.BR147_MAX6M,BR147_MAX6M,2,134,>=,99,,,,,
CSH_AD_CRNT_C_BAL_KSA_SUM6M,features.CSH_AD_CRNT_C_BAL_KSA_SUM6M,CSH_AD_CRNT_C_BAL_KSA_SUM6M,1,127,,,<=,0,,,
CSH_AD_CRNT_C_BAL_KSA_SUM6M,features.CSH_AD_CRNT_C_BAL_KSA_SUM6M,CSH_AD_CRNT_C_BAL_KSA_SUM6M,1,127,=,Missing/Null,,,,,
CSH_AD_CRNT_C_BAL_KSA_SUM6M,features.CSH_AD_CRNT_C_BAL_KSA_SUM6M,CSH_AD_CRNT_C_BAL_KSA_SUM6M,2,141,>,0,,,,,
UTIL_KSA_MAX12M,features.UTIL_KSA_MAX12M,UTIL_KSA_MAX12M,1,110,,,<,0.96431,,,
UTIL_KSA_MAX12M,features.UTIL_KSA_MAX12M,UTIL_KSA_MAX12M,1,110,=,Missing/Null,,,,,
UTIL_KSA_MAX12M,features.UTIL_KSA_MAX12M,UTIL_KSA_MAX12M,2,139,>=,0.96431,,,,,
AT21_MAX6M,features.AT21_MAX6M,AT21_MAX6M,1,133,,,<,26,,,
AT21_MAX6M,features.AT21_MAX6M,AT21_MAX6M,1,133,=,Missing/Null,,,,,
AT21_MAX6M,features.AT21_MAX6M,AT21_MAX6M,2,123,>=,26,,,,,
PRCH_CRNT_C_BAL_KSC_MAX3M,features.PRCH_CRNT_C_BAL_KSC_MAX3M,PRCH_CRNT_C_BAL_KSC_MAX3M,1,118,,,<=,0,,,
PRCH_CRNT_C_BAL_KSC_MAX3M,features.PRCH_CRNT_C_BAL_KSC_MAX3M,PRCH_CRNT_C_BAL_KSC_MAX3M,1,118,=,Missing/Null,,,,,
PRCH_CRNT_C_BAL_KSC_MAX3M,features.PRCH_CRNT_C_BAL_KSC_MAX3M,PRCH_CRNT_C_BAL_KSC_MAX3M,2,137,>,0,,,,,
SUB_PPLTN_FLAG,features.SUB_PPLTN_FLAG,SUB_PPLTN_FLAG,1,111,IN,('D'),,,,,
SUB_PPLTN_FLAG,features.SUB_PPLTN_FLAG,SUB_PPLTN_FLAG,2,136,IN,('R'),,,,,
