Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT23_MIN6M,features.AT23_MIN6M,AT23_MIN6M,1,0,,,<,3,,,
AT23_MIN6M,features.AT23_MIN6M,AT23_MIN6M,2,12,>=,3,<,8,,,
AT23_MIN6M,features.AT23_MIN6M,AT23_MIN6M,2,12,=,Missing/Null,,,,,
AT23_MIN6M,features.AT23_MIN6M,AT23_MIN6M,3,21,>=,8,<,15,,,
AT23_MIN6M,features.AT23_MIN6M,AT23_MIN6M,4,29,>=,15,,,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,1,0,,,<,4,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,2,9,>=,4,<,8,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,2,9,=,Missing/Null,,,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,3,13,>=,8,,,,,
AT83_MAX3M,features.AT83_MAX3M,AT83_MAX3M,1,16,,,<,1,,,
AT83_MAX3M,features.AT83_MAX3M,AT83_MAX3M,2,8,>=,1,<,2,,,
AT83_MAX3M,features.AT83_MAX3M,AT83_MAX3M,2,8,=,Missing/Null,,,,,
AT83_MAX3M,features.AT83_MAX3M,AT83_MAX3M,3,4,>=,2,<,3,,,
AT83_MAX3M,features.AT83_MAX3M,AT83_MAX3M,4,0,>=,3,,,,,
BAL_HIST_CSH_ADV_KSA_MIN3M,features.BAL_HIST_CSH_ADV_KSA_MIN3M,BAL_HIST_CSH_ADV_KSA_MIN3M,1,10,,,<,0.01,,,
BAL_HIST_CSH_ADV_KSA_MIN3M,features.BAL_HIST_CSH_ADV_KSA_MIN3M,BAL_HIST_CSH_ADV_KSA_MIN3M,1,10,=,Missing/Null,,,,,
BAL_HIST_CSH_ADV_KSA_MIN3M,features.BAL_HIST_CSH_ADV_KSA_MIN3M,BAL_HIST_CSH_ADV_KSA_MIN3M,2,3,>=,0.01,<,15.48,,,
BAL_HIST_CSH_ADV_KSA_MIN3M,features.BAL_HIST_CSH_ADV_KSA_MIN3M,BAL_HIST_CSH_ADV_KSA_MIN3M,3,0,>=,15.48,,,,,
BC33_AVG6M,features.BC33_AVG6M,BC33_AVG6M,1,24,,,<,500,,,
BC33_AVG6M,features.BC33_AVG6M,BC33_AVG6M,2,15,>=,500,<,6700,,,
BC33_AVG6M,features.BC33_AVG6M,BC33_AVG6M,3,10,>=,600,<,11000,,,
BC33_AVG6M,features.BC33_AVG6M,BC33_AVG6M,3,10,=,Missing/Null,,,,,
BC33_AVG6M,features.BC33_AVG6M,BC33_AVG6M,4,7,>=,11000,<,28000,,,
BC33_AVG6M,features.BC33_AVG6M,BC33_AVG6M,5,0,>=,28000,,,,,
BNS_DLQNT_DAY_GP_KSA,features.BNS_DLQNT_DAY_GP_KSA,BNS_DLQNT_DAY_GP_KSA,1,64,,,<,30,,,
BNS_DLQNT_DAY_GP_KSA,features.BNS_DLQNT_DAY_GP_KSA,BNS_DLQNT_DAY_GP_KSA,1,64,=,Missing/Null,,,,,
BNS_DLQNT_DAY_GP_KSA,features.BNS_DLQNT_DAY_GP_KSA,BNS_DLQNT_DAY_GP_KSA,2,38,>=,30,<,60,,,
BNS_DLQNT_DAY_GP_KSA,features.BNS_DLQNT_DAY_GP_KSA,BNS_DLQNT_DAY_GP_KSA,3,22,>=,60,<,90,,,
BNS_DLQNT_DAY_GP_KSA,features.BNS_DLQNT_DAY_GP_KSA,BNS_DLQNT_DAY_GP_KSA,4,0,>=,90,,,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,D2D_BAL_AMT_INV,1,0,,,<,25,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,D2D_BAL_AMT_INV,2,18,>=,25,<,455.59,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,D2D_BAL_AMT_INV,3,33,>=,455.59,<,2503.05,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,D2D_BAL_AMT_INV,4,61,>=,2503.05,,,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,D2D_BAL_AMT_INV,5,5,=,Missing/Null,,,,,
GO06_MAX3M,features.GO06_MAX3M,GO06_MAX3M,1,22,,,<,1,,,
GO06_MAX3M,features.GO06_MAX3M,GO06_MAX3M,2,13,>=,1,<,3,,,
GO06_MAX3M,features.GO06_MAX3M,GO06_MAX3M,2,13,=,Missing/Null,,,,,
GO06_MAX3M,features.GO06_MAX3M,GO06_MAX3M,3,0,>=,3,,,,,
TOT_UNP_FNC_CHRG_KSC_CHG12M,features.TOT_UNP_FNC_CHRG_KSC_CHG12M,TOT_UNP_FNC_CHRG_KSCCHG12M,1,39,,,<,0.02,,,
TOT_UNP_FNC_CHRG_KSC_CHG12M,features.TOT_UNP_FNC_CHRG_KSC_CHG12M,TOT_UNP_FNC_CHRG_KSCCHG12M,2,27,>=,0.02,<,0.11,,,
TOT_UNP_FNC_CHRG_KSC_CHG12M,features.TOT_UNP_FNC_CHRG_KSC_CHG12M,TOT_UNP_FNC_CHRG_KSCCHG12M,3,17,>=,0.11,<,0.25,,,
TOT_UNP_FNC_CHRG_KSC_CHG12M,features.TOT_UNP_FNC_CHRG_KSC_CHG12M,TOT_UNP_FNC_CHRG_KSCCHG12M,3,17,=,Missing/Null,,,,,
TOT_UNP_FNC_CHRG_KSC_CHG12M,features.TOT_UNP_FNC_CHRG_KSC_CHG12M,TOT_UNP_FNC_CHRG_KSCCHG12M,4,0,>=,0.25,,,,,
UTIL_KSA_AVG3M,features.UTIL_KSA_AVG3M,UTIL_KSAAVG3M,1,23,,,<,0.7,,,
UTIL_KSA_AVG3M,features.UTIL_KSA_AVG3M,UTIL_KSAAVG3M,2,11,>=,0.7,<,0.99,,,
UTIL_KSA_AVG3M,features.UTIL_KSA_AVG3M,UTIL_KSAAVG3M,3,0,>=,0.99,,,,,
UTIL_KSA_AVG3M,features.UTIL_KSA_AVG3M,UTIL_KSAAVG3M,3,0,=,Missing/Null,,,,,
Intercept,,,,506,=,Missing/Null,,,,,
