Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT29_MAX3M,features.AT29_MAX3M,AT29_MAX3M,1,21,,,<,3,,,
AT29_MAX3M,features.AT29_MAX3M,AT29_MAX3M,2,15,>=,3,<,5,,,
AT29_MAX3M,features.AT29_MAX3M,AT29_MAX3M,2,15,=,Missing/Null,,,,,
AT29_MAX3M,features.AT29_MAX3M,AT29_MAX3M,3,7,>=,5,<,8,,,
AT29_MAX3M,features.AT29_MAX3M,AT29_MAX3M,4,0,>=,8,,,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,1,0,,,<,4,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,2,9,>=,4,<,12,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,3,13,>=,12,,,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,3,13,=,Missing/Null,,,,,
AT94_SUM3M,features.AT94_SUM3M,AT94_SUM3M,1,0,,,<,794,,,
AT94_SUM3M,features.AT94_SUM3M,AT94_SUM3M,2,9,>=,794,<,89137,,,
AT94_SUM3M,features.AT94_SUM3M,AT94_SUM3M,2,9,=,Missing/Null,,,,,
AT94_SUM3M,features.AT94_SUM3M,AT94_SUM3M,3,19,>=,89137,<,192837,,,
AT94_SUM3M,features.AT94_SUM3M,AT94_SUM3M,4,33,>=,192837,,,,,
BAL_HIST_CSH_ADV_KSA,features.BAL_HIST_CSH_ADV_KSA,BAL_HIST_CSH_ADV_KSA,1,13,,,<,0.01,,,
BAL_HIST_CSH_ADV_KSA,features.BAL_HIST_CSH_ADV_KSA,BAL_HIST_CSH_ADV_KSA,1,13,=,Missing/Null,,,,,
BAL_HIST_CSH_ADV_KSA,features.BAL_HIST_CSH_ADV_KSA,BAL_HIST_CSH_ADV_KSA,2,0,>=,0.01,,,,,
BNS_DLQNT_DAY_GP_KSC_MAX6M,features.BNS_DLQNT_DAY_GP_KSC_MAX6M,BNS_DLQNT_DAY_GP_KSCMAX6M,1,30,,,<,1,,,
BNS_DLQNT_DAY_GP_KSC_MAX6M,features.BNS_DLQNT_DAY_GP_KSC_MAX6M,BNS_DLQNT_DAY_GP_KSCMAX6M,1,30,=,Missing/Null,,,,,
BNS_DLQNT_DAY_GP_KSC_MAX6M,features.BNS_DLQNT_DAY_GP_KSC_MAX6M,BNS_DLQNT_DAY_GP_KSCMAX6M,2,19,>=,1,<,30,,,
BNS_DLQNT_DAY_GP_KSC_MAX6M,features.BNS_DLQNT_DAY_GP_KSC_MAX6M,BNS_DLQNT_DAY_GP_KSCMAX6M,3,10,>=,30,<,60,,,
BNS_DLQNT_DAY_GP_KSC_MAX6M,features.BNS_DLQNT_DAY_GP_KSC_MAX6M,BNS_DLQNT_DAY_GP_KSCMAX6M,4,0,>=,60,,,,,
BY34_MAX3M,features.BY34_MAX3M,BY34_MAX3M,1,12,,,<,61,,,
BY34_MAX3M,features.BY34_MAX3M,BY34_MAX3M,2,7,>=,61,<,93,,,
BY34_MAX3M,features.BY34_MAX3M,BY34_MAX3M,3,3,>=,93,<,100,,,
BY34_MAX3M,features.BY34_MAX3M,BY34_MAX3M,3,3,=,Missing/Null,,,,,
BY34_MAX3M,features.BY34_MAX3M,BY34_MAX3M,4,0,>=,100,,,,,
D2D_BAL_AMT_MIN3M,features.D2D_BAL_AMT_MIN3M,D2D_BAL_AMT_INVMIN3M,1,0,,,<,0,,,
D2D_BAL_AMT_MIN3M,features.D2D_BAL_AMT_MIN3M,D2D_BAL_AMT_INVMIN3M,2,5,>=,0,<,50,,,
D2D_BAL_AMT_MIN3M,features.D2D_BAL_AMT_MIN3M,D2D_BAL_AMT_INVMIN3M,2,5,=,Missing/Null,,,,,
D2D_BAL_AMT_MIN3M,features.D2D_BAL_AMT_MIN3M,D2D_BAL_AMT_INVMIN3M,3,15,>=,50,<,2018.1,,,
D2D_BAL_AMT_MIN3M,features.D2D_BAL_AMT_MIN3M,D2D_BAL_AMT_INVMIN3M,4,34,>=,2018.1,,,,,
GO04_MAX6M,features.GO04_MAX6M,GO04_MAX6M,1,28,,,<,4,,,
GO04_MAX6M,features.GO04_MAX6M,GO04_MAX6M,2,19,>=,4,<,7,,,
GO04_MAX6M,features.GO04_MAX6M,GO04_MAX6M,2,19,=,Missing/Null,,,,,
GO04_MAX6M,features.GO04_MAX6M,GO04_MAX6M,3,9,>=,7,<,13,,,
GO04_MAX6M,features.GO04_MAX6M,GO04_MAX6M,4,0,>=,13,,,,,
INVSTM_ACCT_AMT_INV,features.INVSTM_ACCT_AMT_INV,INVSTM_ACCT_AMT_INV,1,0,,,<,200,,,
INVSTM_ACCT_AMT_INV,features.INVSTM_ACCT_AMT_INV,INVSTM_ACCT_AMT_INV,1,0,=,Missing/Null,,,,,
INVSTM_ACCT_AMT_INV,features.INVSTM_ACCT_AMT_INV,INVSTM_ACCT_AMT_INV,2,11,>=,200,<,3000,,,
INVSTM_ACCT_AMT_INV,features.INVSTM_ACCT_AMT_INV,INVSTM_ACCT_AMT_INV,3,24,>=,3000,<,46551.18,,,
INVSTM_ACCT_AMT_INV,features.INVSTM_ACCT_AMT_INV,INVSTM_ACCT_AMT_INV,4,40,>=,46551.18,,,,,
TOT_UNP_FNC_CHRG_KSA,features.TOT_UNP_FNC_CHRG_KSA,TOT_UNP_FNC_CHRG_KSA,1,14,,,<,0.01,,,
TOT_UNP_FNC_CHRG_KSA,features.TOT_UNP_FNC_CHRG_KSA,TOT_UNP_FNC_CHRG_KSA,1,14,=,Missing/Null,,,,,
TOT_UNP_FNC_CHRG_KSA,features.TOT_UNP_FNC_CHRG_KSA,TOT_UNP_FNC_CHRG_KSA,2,9,>=,0.01,<,8.72,,,
TOT_UNP_FNC_CHRG_KSA,features.TOT_UNP_FNC_CHRG_KSA,TOT_UNP_FNC_CHRG_KSA,3,6,>=,8.72,<,35,,,
TOT_UNP_FNC_CHRG_KSA,features.TOT_UNP_FNC_CHRG_KSA,TOT_UNP_FNC_CHRG_KSA,4,4,>=,35,<,85.2,,,
TOT_UNP_FNC_CHRG_KSA,features.TOT_UNP_FNC_CHRG_KSA,TOT_UNP_FNC_CHRG_KSA,5,0,>=,85.2,,,,,
UTIL_KSA,features.UTIL_KSA,UTIL_KSA,1,46,,,<,0.4,,,
UTIL_KSA,features.UTIL_KSA,UTIL_KSA,1,46,=,Missing/Null,,,,,
UTIL_KSA,features.UTIL_KSA,UTIL_KSA,2,31,>=,0.4,<,0.64,,,
UTIL_KSA,features.UTIL_KSA,UTIL_KSA,3,22,>=,0.64,<,0.9,,,
UTIL_KSA,features.UTIL_KSA,UTIL_KSA,4,11,>=,0.9,<,0.99,,,
UTIL_KSA,features.UTIL_KSA,UTIL_KSA,5,0,>=,0.99,,,,,
Intercept,,,,621,=,Missing/Null,,,,,
