Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,1,0,,,<,4,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,2,12,>=,4,<,12,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,3,18,>=,12,<,43,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,4,25,>=,43,,,,,
AT36_MIN3M,features.AT36_MIN3M,AT36_MIN3M,4,25,=,Missing/Null,,,,,
AT94_MIN24M,features.AT94_MIN24M,AT94_MIN24M,1,0,,,<,400,,,
AT94_MIN24M,features.AT94_MIN24M,AT94_MIN24M,2,15,>=,400,<,16531,,,
AT94_MIN24M,features.AT94_MIN24M,AT94_MIN24M,2,15,=,Missing/Null,,,,,
AT94_MIN24M,features.AT94_MIN24M,AT94_MIN24M,3,27,>=,16531,<,72280,,,
AT94_MIN24M,features.AT94_MIN24M,AT94_MIN24M,4,42,>=,72280,,,,,
BAL_HIST_CSH_ADV_KSA,features.BAL_HIST_CSH_ADV_KSA,BAL_HIST_CSH_ADV_KSA,1,21,,,<,0.01,,,
BAL_HIST_CSH_ADV_KSA,features.BAL_HIST_CSH_ADV_KSA,BAL_HIST_CSH_ADV_KSA,1,21,=,Missing/Null,,,,,
BAL_HIST_CSH_ADV_KSA,features.BAL_HIST_CSH_ADV_KSA,BAL_HIST_CSH_ADV_KSA,2,0,>=,0.01,,,,,
BR147_MAX3M,features.BR147_MAX3M,BR147_MAX3M,1,29,,,<,71,,,
BR147_MAX3M,features.BR147_MAX3M,BR147_MAX3M,2,19,>=,71,<,91,,,
BR147_MAX3M,features.BR147_MAX3M,BR147_MAX3M,2,19,=,Missing/Null,,,,,
BR147_MAX3M,features.BR147_MAX3M,BR147_MAX3M,3,9,>=,91,<,100,,,
BR147_MAX3M,features.BR147_MAX3M,BR147_MAX3M,4,0,>=,100,,,,,
D2D_BAL_AMT_MIN3M,features.D2D_BAL_AMT_MIN3M,D2D_BAL_AMT_INVMIN3M,1,0,,,<,0,,,
D2D_BAL_AMT_MIN3M,features.D2D_BAL_AMT_MIN3M,D2D_BAL_AMT_INVMIN3M,2,16,>=,0,<,200,,,
D2D_BAL_AMT_MIN3M,features.D2D_BAL_AMT_MIN3M,D2D_BAL_AMT_INVMIN3M,2,16,=,Missing/Null,,,,,
D2D_BAL_AMT_MIN3M,features.D2D_BAL_AMT_MIN3M,D2D_BAL_AMT_INVMIN3M,3,23,>=,200,<,1700,,,
D2D_BAL_AMT_MIN3M,features.D2D_BAL_AMT_MIN3M,D2D_BAL_AMT_INVMIN3M,4,41,>=,1700,<,8000,,,
D2D_BAL_AMT_MIN3M,features.D2D_BAL_AMT_MIN3M,D2D_BAL_AMT_INVMIN3M,5,56,>=,8000,,,,,
DEP_CNT_MIN6M,features.DEP_CNT_MIN6M,DEP_CNT_SVGMIN6M,1,0,,,<,1,,,
DEP_CNT_MIN6M,features.DEP_CNT_MIN6M,DEP_CNT_SVGMIN6M,2,22,>=,1,<,3,,,
DEP_CNT_MIN6M,features.DEP_CNT_MIN6M,DEP_CNT_SVGMIN6M,3,36,>=,3,,,,,
DEP_CNT_MIN6M,features.DEP_CNT_MIN6M,DEP_CNT_SVGMIN6M,4,12,=,Missing/Null,,,,,
GO04_MAX6M,features.GO04_MAX6M,GO04_MAX6M,1,29,,,<,6,,,
GO04_MAX6M,features.GO04_MAX6M,GO04_MAX6M,2,21,>=,6,<,9,,,
GO04_MAX6M,features.GO04_MAX6M,GO04_MAX6M,2,21,=,Missing/Null,,,,,
GO04_MAX6M,features.GO04_MAX6M,GO04_MAX6M,3,0,>=,9,,,,,
TOT_C_DT_FNC_CHRG_KSA_AVG24M,features.TOT_C_DT_FNC_CHRG_KSA_AVG24M,TOT_C_DT_FNC_CHRG_KSAAVG24M,1,27,,,<,0.01,,,
TOT_C_DT_FNC_CHRG_KSA_AVG24M,features.TOT_C_DT_FNC_CHRG_KSA_AVG24M,TOT_C_DT_FNC_CHRG_KSAAVG24M,1,27,=,Missing/Null,,,,,
TOT_C_DT_FNC_CHRG_KSA_AVG24M,features.TOT_C_DT_FNC_CHRG_KSA_AVG24M,TOT_C_DT_FNC_CHRG_KSAAVG24M,2,14,>=,0.01,<,1.25,,,
TOT_C_DT_FNC_CHRG_KSA_AVG24M,features.TOT_C_DT_FNC_CHRG_KSA_AVG24M,TOT_C_DT_FNC_CHRG_KSAAVG24M,3,5,>=,1.25,<,7,,,
TOT_C_DT_FNC_CHRG_KSA_AVG24M,features.TOT_C_DT_FNC_CHRG_KSA_AVG24M,TOT_C_DT_FNC_CHRG_KSAAVG24M,4,0,>=,7,,,,,
UTIL_KSC,features.UTIL_KSC,UTIL_KSC,1,42,,,<,0.18,,,
UTIL_KSC,features.UTIL_KSC,UTIL_KSC,2,35,>=,0.18,<,0.47,,,
UTIL_KSC,features.UTIL_KSC,UTIL_KSC,2,35,=,Missing/Null,,,,,
UTIL_KSC,features.UTIL_KSC,UTIL_KSC,3,23,>=,0.47,<,0.7,,,
UTIL_KSC,features.UTIL_KSC,UTIL_KSC,4,17,>=,0.7,<,0.9,,,
UTIL_KSC,features.UTIL_KSC,UTIL_KSC,5,0,>=,0.9,,,,,
Intercept,,,,633,=,Missing/Null,,,,,
