Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT34_MAX3M,features.AT34_MAX3M,B_AT34_MAX3M,1,0,,,<,100,,,
AT34_MAX3M,features.AT34_MAX3M,B_AT34_MAX3M,1,0,=,Missing/Null,,,,,
AT34_MAX3M,features.AT34_MAX3M,B_AT34_MAX3M,2,44,>=,100,<,142,,,
AT34_MAX3M,features.AT34_MAX3M,B_AT34_MAX3M,3,83,>=,142,,,,,
AT83,features.AT83,B_AT83,1,0,,,<,3,,,
AT83,features.AT83,B_AT83,1,0,=,Missing/Null,,,,,
AT83,features.AT83,B_AT83,2,32,>=,3,<,5,,,
AT83,features.AT83,B_AT83,3,62,>=,5,,,,,
AT84_MAX6M,features.AT84_MAX6M,B_AT84_MAX6M,1,0,,,<,102,,,
AT84_MAX6M,features.AT84_MAX6M,B_AT84_MAX6M,1,0,=,Missing/Null,,,,,
AT84_MAX6M,features.AT84_MAX6M,B_AT84_MAX6M,2,43,>=,102,<,3007,,,
AT84_MAX6M,features.AT84_MAX6M,B_AT84_MAX6M,3,91,>=,3007,,,,,
BR147_MIN3M,features.BR147_MIN3M,B_BR147_MIN3M,1,0,,,<,100,,,
BR147_MIN3M,features.BR147_MIN3M,B_BR147_MIN3M,2,25,>=,100,<,107,,,
BR147_MIN3M,features.BR147_MIN3M,B_BR147_MIN3M,3,75,>=,107,,,,,
BR147_MIN3M,features.BR147_MIN3M,B_BR147_MIN3M,3,75,=,Missing/Null,,,,,
BR34_MAX6M,features.BR34_MAX6M,B_BR34_MAX6M,1,0,,,<,101,,,
BR34_MAX6M,features.BR34_MAX6M,B_BR34_MAX6M,2,22,>=,101,,,,,
BR34_MAX6M,features.BR34_MAX6M,B_BR34_MAX6M,2,22,=,Missing/Null,,,,,
CUST16_MAX6M,features.CUST16_MAX6M,B_CUST16_MAX6M,1,0,,,<,2,,,
CUST16_MAX6M,features.CUST16_MAX6M,B_CUST16_MAX6M,1,0,=,Missing/Null,,,,,
CUST16_MAX6M,features.CUST16_MAX6M,B_CUST16_MAX6M,2,76,>=,2,,,,,
CUST21_MIN3M,features.CUST21_MIN3M,B_CUST21_MIN3M,1,0,,,<,1154.52,,,
CUST21_MIN3M,features.CUST21_MIN3M,B_CUST21_MIN3M,1,0,=,Missing/Null,,,,,
CUST21_MIN3M,features.CUST21_MIN3M,B_CUST21_MIN3M,2,26,>=,1154.52,,,,,
DAY_ODUE,features.DAY_ODUE,B_DAY_ODUE,1,0,,,<,23,,,
DAY_ODUE,features.DAY_ODUE,B_DAY_ODUE,2,39,>=,23,<,110,,,
DAY_ODUE,features.DAY_ODUE,B_DAY_ODUE,3,66,>=,110,<,149,,,
DAY_ODUE,features.DAY_ODUE,B_DAY_ODUE,4,100,>=,149,<,225,,,
DAY_ODUE,features.DAY_ODUE,B_DAY_ODUE,5,158,>=,225,,,,,
DAY_ODUE,features.DAY_ODUE,B_DAY_ODUE,5,158,=,Missing/Null,,,,,
GO05_MAX3M,features.GO05_MAX3M,B_GO05_MAX3M,1,0,,,<,7,,,
GO05_MAX3M,features.GO05_MAX3M,B_GO05_MAX3M,2,24,>=,7,,,,,
GO05_MAX3M,features.GO05_MAX3M,B_GO05_MAX3M,2,24,=,Missing/Null,,,,,
PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,features.PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,B_PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,1,0,,,<,1,,,
PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,features.PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,B_PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,2,100,>=,1,<,3,,,
PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,features.PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,B_PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,3,204,>=,3,,,,,
PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,features.PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,B_PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,3,204,=,Missing/Null,,,,,
PR01_MAX6M,features.PR01_MAX6M,B_PR01_MAX6M,1,0,,,<,1,,,
PR01_MAX6M,features.PR01_MAX6M,B_PR01_MAX6M,1,0,=,Missing/Null,,,,,
PR01_MAX6M,features.PR01_MAX6M,B_PR01_MAX6M,2,178,>=,1,,,,,
