Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT36,features.AT36,B_AT36,1,47,,,<,5,,,
AT36,features.AT36,B_AT36,2,62,>=,5,,,,,
AT36,features.AT36,B_AT36,2,62,=,Missing/Null,,,,,
BR147_MAX6M,features.BR147_MAX6M,B_BR147_MAX6M,1,70,,,<,91,,,
BR147_MAX6M,features.BR147_MAX6M,B_BR147_MAX6M,2,60,>=,91,<,101,,,
BR147_MAX6M,features.BR147_MAX6M,B_BR147_MAX6M,3,51,>=,101,,,,,
BR147_MAX6M,features.BR147_MAX6M,B_BR147_MAX6M,3,51,=,Missing/Null,,,,,
CUST19,features.CUST19,B_CUST19,1,65,,,<,2,,,
CUST19,features.CUST19,B_CUST19,1,65,=,Missing/Null,,,,,
CUST19,features.CUST19,B_CUST19,2,39,>=,2,,,,,
CUST24_AVG3M,features.CUST24_AVG3M,B_CUST24_AVG3M,1,67,,,<,0.78,,,
CUST24_AVG3M,features.CUST24_AVG3M,B_CUST24_AVG3M,2,58,>=,0.78,<,0.99,,,
CUST24_AVG3M,features.CUST24_AVG3M,B_CUST24_AVG3M,2,58,=,Missing/Null,,,,,
CUST24_AVG3M,features.CUST24_AVG3M,B_CUST24_AVG3M,3,49,>=,0.99,,,,,
CUST25_MIN3M,features.CUST25_MIN3M,B_CUST25_MIN3M,1,51,,,<,33.86,,,
CUST25_MIN3M,features.CUST25_MIN3M,B_CUST25_MIN3M,1,51,=,Missing/Null,,,,,
CUST25_MIN3M,features.CUST25_MIN3M,B_CUST25_MIN3M,2,65,>=,33.86,<,1230.28,,,
CUST25_MIN3M,features.CUST25_MIN3M,B_CUST25_MIN3M,3,79,>=,1230.28,,,,,
GO11_SLP6M,features.GO11_SLP6M,B_GO11_SLP6M,1,49,,,<,0,,,
GO11_SLP6M,features.GO11_SLP6M,B_GO11_SLP6M,2,60,>=,0,,,,,
GO11_SLP6M,features.GO11_SLP6M,B_GO11_SLP6M,2,60,=,Missing/Null,,,,,
AT34,features.AT34,B_AT34,1,61,,,<,87,,,
AT34,features.AT34,B_AT34,2,48,>=,87,,,,,
AT34,features.AT34,B_AT34,2,48,=,Missing/Null,,,,,
CUST18_MIN24M_V2,features.CUST18_MIN24M_V2,B_CUST18_MIN24M_V2,1,46,,,<,1,,,
CUST18_MIN24M_V2,features.CUST18_MIN24M_V2,B_CUST18_MIN24M_V2,2,58,>=,1,<,2,,,
CUST18_MIN24M_V2,features.CUST18_MIN24M_V2,B_CUST18_MIN24M_V2,3,65,>=,2,,,,,
CUST18_MIN24M_V2,features.CUST18_MIN24M_V2,B_CUST18_MIN24M_V2,3,65,=,Missing/Null,,,,,
CUST32_MIN6M,features.CUST32_MIN6M,B_CUST32_MIN6M,1,48,,,<,400,,,
CUST32_MIN6M,features.CUST32_MIN6M,B_CUST32_MIN6M,2,60,>=,400,,,,,
CUST32_MIN6M,features.CUST32_MIN6M,B_CUST32_MIN6M,2,60,=,Missing/Null,,,,,
DAY_ODUE_MAX6M,features.DAY_ODUE_MAX6M,B_DAY_ODUE_MAX6M,1,66,,,<,1,,,
DAY_ODUE_MAX6M,features.DAY_ODUE_MAX6M,B_DAY_ODUE_MAX6M,1,66,=,Missing/Null,,,,,
DAY_ODUE_MAX6M,features.DAY_ODUE_MAX6M,B_DAY_ODUE_MAX6M,2,34,>=,1,,,,,
PURPOSE_CODE,features.PURPOSE_CODE,B_PURPOSE_CODE,1,71,in,"('1','2','3','6','9','12','14','15','16','20','30','31','32')",,,,,
PURPOSE_CODE,features.PURPOSE_CODE,B_PURPOSE_CODE,2,50,NOT IN,"('1','2','3','6','9','12','14','15','16','20','30','31','32')",,,,,
PURPOSE_CODE,features.PURPOSE_CODE,B_PURPOSE_CODE,2,50,=,Missing/Unknown,,,,,
GO05,features.GO05,B_GO05,1,62,>=,0,<,7,,,
GO05,features.GO05,B_GO05,2,48,>=,7,,,,,
GO05,features.GO05,B_GO05,2,48,=,Missing/Null,,,,,
