Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT74,features.AT74,AT74,2,48,>=,3,,,,,
AT74,features.AT74,AT74,2,48,=,Missing/Null,,,,,
AT74,features.AT74,AT74,1,0,,,<,3,,,
AT93,features.AT93,AT93,2,34,,,<,97,,,
AT93,features.AT93,AT93,2,34,=,Missing/Null,,,,,
AT93,features.AT93,AT93,1,0,>=,97,,,,,
GO11,features.GO11,GO11,1,0,>=,87.5,,,,,
GO11,features.GO11,GO11,3,88,=,Missing/Null,,,,,
GO11,features.GO11,GO11,2,51,>=,71.5,<,87.5,,,
GO11,features.GO11,GO11,3,88,,,<,71.5,,,
PRD_CD,features.PRD_CD,PRODUCT_CODE,2,41,IN,SCL,,,,,
PRD_CD,features.PRD_CD,PRODUCT_CODE,1,0,IN,"VCL,VLR, VIC, VGD, AXG, AXP,AXS",,,,,
PRD_CD,features.PRD_CD,PRODUCT_CODE,,,NOT IN,"VCL,VLR, VIC, VGD, AXG, AXP,AXS,SCL",,,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTV_METHOD2_FIX,3,112,>=,0.5386,,,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTV_METHOD2_FIX,3,112,=,Missing/Null,,,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTV_METHOD2_FIX,2,66,>=,0.1992,<,0.5386,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTV_METHOD2_FIX,1,0,,,<,0.1992,,,
UTIL_KSA,features.UTIL_KSA,UTILIZATION,4,677,>=,1,,,,,
UTIL_KSA,features.UTIL_KSA,UTILIZATION,3,576,>=,0.9297,<,1,,,
UTIL_KSA,features.UTIL_KSA,UTILIZATION,2,348,>=,0.6449,<,0.9297,,,
UTIL_KSA,features.UTIL_KSA,UTILIZATION,1,0,,,<,0.6449,,,
