Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
TOT_DEP_AMT_MAX3M,features.TOT_DEP_AMT_MAX3M,DEP_AMTMAX3M,2,99,>=,0.015,,,,,
TOT_DEP_AMT_MAX3M,features.TOT_DEP_AMT_MAX3M,DEP_AMTMAX3M,1,111,,,<,0.015,,,
TOT_DEP_AMT_MAX3M,features.TOT_DEP_AMT_MAX3M,DEP_AMTMAX3M,1,111,=,Missing/Null,,,,,
GO06_AVG24M,features.GO06_AVG24M,GO06AVG24M,2,110,>=,0.293,,,,,
GO06_AVG24M,features.GO06_AVG24M,GO06AVG24M,2,110,=,Missing/Null,,,,,
GO06_AVG24M,features.GO06_AVG24M,GO06AVG24M,1,102,,,<,0.293,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTV_METHOD2_FIX_BIN,2,116,>=,0.693,,,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTV_METHOD2_FIX_BIN,2,116,=,Missing/Null,,,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTV_METHOD2_FIX_BIN,1,103,,,<,0.693,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_BIN,3,115,>=,9,,,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_BIN,2,111,>=,5,<,9,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_BIN,1,103,,,<,5,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,MONTH_DEF_BIN,1,103,=,Missing/Null,,,,,
STEP_MORT_ACCT_CNT,features.STEP_MORT_ACCT_CNT,NUM_MO_ACCTS_STEP,3,119,=,Missing/Null,,,,,
STEP_MORT_ACCT_CNT,features.STEP_MORT_ACCT_CNT,NUM_MO_ACCTS_STEP,1,109,=,0,,,,,
STEP_MORT_ACCT_CNT,features.STEP_MORT_ACCT_CNT,NUM_MO_ACCTS_STEP,2,102,>=,1,,,,,
PR01,features.PR01,PR01_BIN,2,126,>,0,,,,,
PR01,features.PR01,PR01_BIN,2,126,=,Missing/Null,,,,,
PR01,features.PR01,PR01_BIN,1,102,,,<=,0,,,
TOT_CUR_BAL_CUST_SUM6M,features.TOT_CUR_BAL_CUST_SUM6M,TOT_CUR_BAL_CUSTSUM6M,2,99,>=,169835.9,,,,,
TOT_CUR_BAL_CUST_SUM6M,features.TOT_CUR_BAL_CUST_SUM6M,TOT_CUR_BAL_CUSTSUM6M,2,99,=,Missing/Null,,,,,
TOT_CUR_BAL_CUST_SUM6M,features.TOT_CUR_BAL_CUST_SUM6M,TOT_CUR_BAL_CUSTSUM6M,1,118,,,<,169835.9,,,
WORST_DLQDAYS_KS_CUST_MAX6M,features.WORST_DLQDAYS_KS_CUST_MAX6M,WORST_DLQDAYS_KS_CUSTMAX6M,2,114,>=,168.5,,,,,
WORST_DLQDAYS_KS_CUST_MAX6M,features.WORST_DLQDAYS_KS_CUST_MAX6M,WORST_DLQDAYS_KS_CUSTMAX6M,2,114,=,Missing/Null,,,,,
WORST_DLQDAYS_KS_CUST_MAX6M,features.WORST_DLQDAYS_KS_CUST_MAX6M,WORST_DLQDAYS_KS_CUSTMAX6M,1,91,,,<,168.5,,,
