Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT02_AVG3M,features.AT02_AVG3M,AT02NUMACTTRavg3m,1,0,,,<,6.83,,,
AT02_AVG3M,features.AT02_AVG3M,AT02NUMACTTRavg3m,2,19,>=,6.83,<,13.17,,,
AT02_AVG3M,features.AT02_AVG3M,AT02NUMACTTRavg3m,2,19,=,Missing/NULL,,,,,
AT02_AVG3M,features.AT02_AVG3M,AT02NUMACTTRavg3m,3,160,>=,13.17,,,,,
AT93,features.AT93,AT93AGEOLDSTOPNTRDELNMT,2,31,,,<,138.5,,,
AT93,features.AT93,AT93AGEOLDSTOPNTRDELNMT,1,0,>=,138.5,,,,,
AT93,features.AT93,AT93AGEOLDSTOPNTRDELNMT,2,31,=,Missing/NULL,,,,,
AT94_AVG3M,features.AT94_AVG3M,AT94AVLCRNOTUTILIZEDavg3m,1,65,,,<=,71738.5,,,
AT94_AVG3M,features.AT94_AVG3M,AT94AVLCRNOTUTILIZEDavg3m,1,65,=,Missing/NULL,,,,,
AT94_AVG3M,features.AT94_AVG3M,AT94AVLCRNOTUTILIZEDavg3m,2,0,>,71738.5,,,,,
GO06,features.GO06,GO06NUMININQRINPAST6MTH,1,0,=,0,,,,,
GO06,features.GO06,GO06NUMININQRINPAST6MTH,2,26,=,Missing/NULL,,,,,
GO06,features.GO06,GO06NUMININQRINPAST6MTH,2,26,>,0,<=,3,,,
GO06,features.GO06,GO06NUMININQRINPAST6MTH,3,100,>,3,,,,,
GO11_MAX24M,features.GO11_MAX24M,GO11PCTRNEVERDLQNTmax24m,1,0,=,Missing/NULL,,,,,
GO11_MAX24M,features.GO11_MAX24M,GO11PCTRNEVERDLQNTmax24m,1,0,,,<,87.5,,,
GO11_MAX24M,features.GO11_MAX24M,GO11PCTRNEVERDLQNTmax24m,2,60,>=,87.5,<,95.5,,,
GO11_MAX24M,features.GO11_MAX24M,GO11PCTRNEVERDLQNTmax24m,3,93,>=,95.5,,,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,ltv_method2_fix,1,0,,,<,0.53,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,ltv_method2_fix,2,34,>=,0.53,<,0.76,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,ltv_method2_fix,3,100,=,Missing/NULL,,,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,ltv_method2_fix,3,100,>=,0.76,,,,,
PR01,features.PR01,PR01NUMBNKRPC,1,0,=,Missing/NULL,,,,,
PR01,features.PR01,PR01NUMBNKRPC,1,0,=,0,,,,,
PR01,features.PR01,PR01NUMBNKRPC,2,174,>,0,,,,,
NONREGINVBAL,features.NONREGINVBAL,NONREGINVBAL,1,37,=,Missing/NULL,,,,,
NONREGINVBAL,features.NONREGINVBAL,NONREGINVBAL,1,37,,,<,327.5,,,
NONREGINVBAL,features.NONREGINVBAL,NONREGINVBAL,2,0,>=,327.5,,,,,
UTIL_KSA_MAX12M,features.UTIL_KSA_MAX12M,utilmax12m,1,0,,,<,0.93,,,
UTIL_KSA_MAX12M,features.UTIL_KSA_MAX12M,utilmax12m,2,52,>=,0.93,,,,,
UTIL_KSA_MAX12M,features.UTIL_KSA_MAX12M,utilmax12m,2,52,=,Missing/NULL,,,,,
PRD_TYPE,features.PRD_TYPE,PRD_TYPE,1,43,IN,CC,,,,,
PRD_TYPE,features.PRD_TYPE,PRD_TYPE,2,0,IN,LOC,,,,,
STEP_PLN_SNAPSHOT_ID,NA,POSITION,4,145,IN,"(-1,-2)",,,,,
STEP_PLN_SNAPSHOT_ID,NA,POSITION,4,145,=,Missing/NULL,,,,,
STEP_MORT_ACCT_CNT,features.STEP_MORT_ACCT_CNT,POSITION,2,57,=,0,,,,,
STEP_MORT_ACCT_CNT,features.STEP_MORT_ACCT_CNT,POSITION,2,57,=,Missing/NULL,,,,,
MAX_DLQNT_DAY_CNT,features.MAX_DLQNT_DAY_CNT,POSITION,1,0,<,44,,,,,
MAX_DLQNT_DAY_CNT,features.MAX_DLQNT_DAY_CNT,POSITION,3,96,>=,44,,,,,
