Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
Intercept,,,,563,=,Missing/Null,,,,,
AT41,features.AT41,AT41NUMTM30DYPASTIN12,5,0,>=,6,,,,,
AT41,features.AT41,AT41NUMTM30DYPASTIN12,4,15,>=,3,<,6,,,
AT41,features.AT41,AT41NUMTM30DYPASTIN12,4,15,=,Missing/Null,,,,,
AT41,features.AT41,AT41NUMTM30DYPASTIN12,3,22,>=,2,<,3,,,
AT41,features.AT41,AT41NUMTM30DYPASTIN12,2,29,>=,1,<,2,,,
AT41,features.AT41,AT41NUMTM30DYPASTIN12,1,44,,,<,1,,,
AT91,features.AT91,AT91NUMOPNTR,5,15,>=,13,,,,,
AT91,features.AT91,AT91NUMOPNTR,4,13,>=,9,<,13,,,
AT91,features.AT91,AT91NUMOPNTR,3,10,>=,6,<,9,,,
AT91,features.AT91,AT91NUMOPNTR,2,7,>=,4,<,6,,,
AT91,features.AT91,AT91NUMOPNTR,1,0,,,<,4,,,
AT91,features.AT91,AT91NUMOPNTR,1,0,=,Missing/Null,,,,,
AT93,features.AT93,AT93AGEOLDSTOPNTRDELNMT,5,8,>=,272,,,,,
AT93,features.AT93,AT93AGEOLDSTOPNTRDELNMT,4,6,>=,219,<,272,,,
AT93,features.AT93,AT93AGEOLDSTOPNTRDELNMT,3,5,>=,130,<,219,,,
AT93,features.AT93,AT93AGEOLDSTOPNTRDELNMT,2,3,>=,81,<,130,,,
AT93,features.AT93,AT93AGEOLDSTOPNTRDELNMT,1,0,,,<,81,,,
AT93,features.AT93,AT93AGEOLDSTOPNTRDELNMT,1,0,=,Missing/Null,,,,,
BNS_DLQNT_DAY_GP_KSA,features.BNS_DLQNT_DAY_GP_KSA,BNSDAYDLQNT,4,0,>=,61,,,,,
BNS_DLQNT_DAY_GP_KSA,features.BNS_DLQNT_DAY_GP_KSA,BNSDAYDLQNT,3,31,>=,31,<,61,,,
BNS_DLQNT_DAY_GP_KSA,features.BNS_DLQNT_DAY_GP_KSA,BNSDAYDLQNT,2,59,>=,1,<,31,,,
BNS_DLQNT_DAY_GP_KSA,features.BNS_DLQNT_DAY_GP_KSA,BNSDAYDLQNT,1,72,,,<,1,,,
BNS_DLQNT_DAY_GP_KSA,features.BNS_DLQNT_DAY_GP_KSA,BNSDAYDLQNT,1,72,=,Missing/Null,,,,,
GO04,features.GO04,GO04NUMINQRS,5,0,>=,12,,,,,
GO04,features.GO04,GO04NUMINQRS,5,0,=,Missing/Null,,,,,
GO04,features.GO04,GO04NUMINQRS,4,5,>=,8,<,12,,,
GO04,features.GO04,GO04NUMINQRS,3,8,>=,6,<,8,,,
GO04,features.GO04,GO04NUMINQRS,2,11,>=,4,<,6,,,
GO04,features.GO04,GO04NUMINQRS,1,14,,,<,4,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTVMETHOD2FIX,5,0,>=,0.56,,,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTVMETHOD2FIX,5,0,=,Missing/Null,,,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTVMETHOD2FIX,4,2,>=,0.45,<,0.56,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTVMETHOD2FIX,3,5,>=,0.29,<,0.45,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTVMETHOD2FIX,2,7,>=,0.12,<,0.29,,,
LTV_METHOD2_FIX,features.LTV_METHOD2_FIX,LTVMETHOD2FIX,1,9,,,<,0.12,,,
PLANUTILIZATIONSTP,features.PLANUTILIZATIONSTP,PLANUTILIZATIONSTP,5,0,>=,0.98,,,,,
PLANUTILIZATIONSTP,features.PLANUTILIZATIONSTP,PLANUTILIZATIONSTP,4,17,>=,0.87,<,0.98,,,
PLANUTILIZATIONSTP,features.PLANUTILIZATIONSTP,PLANUTILIZATIONSTP,4,17,=,Missing/Null,,,,,
PLANUTILIZATIONSTP,features.PLANUTILIZATIONSTP,PLANUTILIZATIONSTP,3,24,>=,0.69,<,0.87,,,
PLANUTILIZATIONSTP,features.PLANUTILIZATIONSTP,PLANUTILIZATIONSTP,2,27,>=,0.46,<,0.69,,,
PLANUTILIZATIONSTP,features.PLANUTILIZATIONSTP,PLANUTILIZATIONSTP,1,31,,,<,0.46,,,
PRD_CD,features.PRD_CD,PRD_CD,4,0,IN,"VCL, VLR, AXS",,,,,
PRD_CD,features.PRD_CD,PRD_CD,3,8,IN,SCL,,,,,
PRD_CD,features.PRD_CD,PRD_CD,3,8,=,Missing/Null,,,,,
PRD_CD,features.PRD_CD,PRD_CD,2,10,IN,VIC,,,,,
PRD_CD,features.PRD_CD,PRD_CD,1,11,IN,"VGD,AXG,AXP",,,,,
STEP_WORST_DLQDAYS_KS_AVG12M,features.STEP_WORST_DLQDAYS_KS_AVG12M,WORSTDLQDAYSKSSTPavg12m,6,0,>=,30,,,,,
STEP_WORST_DLQDAYS_KS_AVG12M,features.STEP_WORST_DLQDAYS_KS_AVG12M,WORSTDLQDAYSKSSTPavg12m,5,22,>=,15.75,<,30,,,
STEP_WORST_DLQDAYS_KS_AVG12M,features.STEP_WORST_DLQDAYS_KS_AVG12M,WORSTDLQDAYSKSSTPavg12m,4,39,>=,7.17,<,15.75,,,
STEP_WORST_DLQDAYS_KS_AVG12M,features.STEP_WORST_DLQDAYS_KS_AVG12M,WORSTDLQDAYSKSSTPavg12m,3,51,>=,4.25,<,7.17,,,
STEP_WORST_DLQDAYS_KS_AVG12M,features.STEP_WORST_DLQDAYS_KS_AVG12M,WORSTDLQDAYSKSSTPavg12m,2,56,>=,1,<,4.25,,,
STEP_WORST_DLQDAYS_KS_AVG12M,features.STEP_WORST_DLQDAYS_KS_AVG12M,WORSTDLQDAYSKSSTPavg12m,2,56,=,Missing/Null,,,,,
STEP_WORST_DLQDAYS_KS_AVG12M,features.STEP_WORST_DLQDAYS_KS_AVG12M,WORSTDLQDAYSKSSTPavg12m,1,73,,,<,1,,,
D2D_BAL_AMT_AVG3M,features.D2D_BAL_AMT_AVG3M,d2dbalavg3m,5,22,>=,3187.5,,,,,
D2D_BAL_AMT_AVG3M,features.D2D_BAL_AMT_AVG3M,d2dbalavg3m,4,17,>=,1807.5,<,3187.5,,,
D2D_BAL_AMT_AVG3M,features.D2D_BAL_AMT_AVG3M,d2dbalavg3m,3,14,>=,961.82,<,1807.5,,,
D2D_BAL_AMT_AVG3M,features.D2D_BAL_AMT_AVG3M,d2dbalavg3m,2,9,>=,0,<,961.82,,,
D2D_BAL_AMT_AVG3M,features.D2D_BAL_AMT_AVG3M,d2dbalavg3m,2,9,=,Missing/Null,,,,,
D2D_BAL_AMT_AVG3M,features.D2D_BAL_AMT_AVG3M,d2dbalavg3m,1,0,,,<,0,,,
INACT_12M,features.INACT_12M,INACT_12M,2,22,IN,Y,,,,,
INACT_12M,features.INACT_12M,INACT_12M,1,0,IN,N,,,,,
INACT_12M,features.INACT_12M,INACT_12M,1,0,=,Missing/Null,,,,,
TOT_BAL_HCCL,features.TOT_BAL_HCCL,TOT_BAL_HCCL,5,0,>=,0.98,,,,,
TOT_BAL_HCCL,features.TOT_BAL_HCCL,TOT_BAL_HCCL,4,8,>=,0.87,<,0.98,,,
TOT_BAL_HCCL,features.TOT_BAL_HCCL,TOT_BAL_HCCL,4,8,=,Missing/Null,,,,,
TOT_BAL_HCCL,features.TOT_BAL_HCCL,TOT_BAL_HCCL,3,16,>=,0.54,<,0.87,,,
TOT_BAL_HCCL,features.TOT_BAL_HCCL,TOT_BAL_HCCL,2,21,>=,0.15,<,0.54,,,
TOT_BAL_HCCL,features.TOT_BAL_HCCL,TOT_BAL_HCCL,1,25,,,<,0.15,,,
