Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT34_MAX12M,features.AT34_MAX12M,AT34_MAX12M,1,0,,,<,48,,,
AT34_MAX12M,features.AT34_MAX12M,AT34_MAX12M,2,62,>=,48,<,69,,,
AT34_MAX12M,features.AT34_MAX12M,AT34_MAX12M,3,110,>=,69,<,105,,,
AT34_MAX12M,features.AT34_MAX12M,AT34_MAX12M,3,110,=,Missing/Null,,,,,
AT34_MAX12M,features.AT34_MAX12M,AT34_MAX12M,4,147,>=,105,,,,,
AT43,features.AT43,AT43,1,0,,,<,3,,,
AT43,features.AT43,AT43,2,9,>=,3,<,7,,,
AT43,features.AT43,AT43,3,29,>=,7,<,15,,,
AT43,features.AT43,AT43,4,65,>=,15,,,,,
AT43,features.AT43,AT43,4,65,=,Missing/Null,,,,,
AT84_MAX6M,features.AT84_MAX6M,AT84_MAX6M,1,0,,,<,3493,,,
AT84_MAX6M,features.AT84_MAX6M,AT84_MAX6M,1,0,=,Missing/Null,,,,,
AT84_MAX6M,features.AT84_MAX6M,AT84_MAX6M,2,49,>=,3493,,,,,
AT85,features.AT85,AT85,1,0,,,<,6,,,
AT85,features.AT85,AT85,2,26,>=,6,,,,,
AT85,features.AT85,AT85,2,26,=,Missing/Null,,,,,
BR147_MIN3M,features.BR147_MIN3M,BR147_MIN3M,1,0,,,<,120,,,
BR147_MIN3M,features.BR147_MIN3M,BR147_MIN3M,2,34,>=,120,,,,,
BR147_MIN3M,features.BR147_MIN3M,BR147_MIN3M,2,34,=,Missing/Null,,,,,
CUST21_MIN3M,features.CUST21_MIN3M,CUST21_MIN3M,1,0,,,<,550,,,
CUST21_MIN3M,features.CUST21_MIN3M,CUST21_MIN3M,2,44,>=,550,<,6178,,,
CUST21_MIN3M,features.CUST21_MIN3M,CUST21_MIN3M,2,44,=,Missing/Null,,,,,
CUST21_MIN3M,features.CUST21_MIN3M,CUST21_MIN3M,3,116,>=,6178,,,,,
DAY_ODUE,features.DAY_ODUE,DAY_ODUE,1,0,,,<,118,,,
DAY_ODUE,features.DAY_ODUE,DAY_ODUE,2,45,>=,118,<,166,,,
DAY_ODUE,features.DAY_ODUE,DAY_ODUE,3,111,>=,166,<,242,,,
DAY_ODUE,features.DAY_ODUE,DAY_ODUE,4,184,>=,242,<,309,,,
DAY_ODUE,features.DAY_ODUE,DAY_ODUE,5,261,>=,309,,,,,
DAY_ODUE,features.DAY_ODUE,DAY_ODUE,5,261,=,Missing/Null,,,,,
PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,features.PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,1,0,,,<,1,,,
PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,features.PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,2,108,>=,1,<,4,,,
PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,features.PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,3,132,>=,4,,,,,
PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,features.PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,PE_NUM_OF_MONTHS_SINCE_LAST_PAYM,3,132,=,Missing/Null,,,,,
PR01,features.PR01,PR01,1,0,,,<,1,,,
PR01,features.PR01,PR01,1,0,=,Missing/Null,,,,,
PR01,features.PR01,PR01,2,170,>=,1,,,,,
