Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AMORT_LEFT,features.AMORT_LEFT,AMORT_LEFT,1,57,,,<,19.5,,,
AMORT_LEFT,features.AMORT_LEFT,AMORT_LEFT,1,57,=,Missing/Null,,,,,
AMORT_LEFT,features.AMORT_LEFT,AMORT_LEFT,2,87,>=,19.5,<,79.5,,,
AMORT_LEFT,features.AMORT_LEFT,AMORT_LEFT,3,114,>=,79.5,,,,,,
AT34_AVG6M,features.AT34_AVG6M,AT34_AVG6M,1,69,,,<,48.9166508,,,
AT34_AVG6M,features.AT34_AVG6M,AT34_AVG6M,2,84,>=,48.9166508,<,71.1833496,,,
AT34_AVG6M,features.AT34_AVG6M,AT34_AVG6M,3,90,>=,71.1833496,,,,,
AT34_AVG6M,features.AT34_AVG6M,AT34_AVG6M,3,90,=,Missing/Null,,,,,
CUST13_MAX6M,features.CUST13_MAX6M,CUST13_MAX6M,1,81,>=,1.5,,,,,
CUST13_MAX6M,features.CUST13_MAX6M,CUST13_MAX6M,2,96,,,<,1.5,,,
CUST13_MAX6M,features.CUST13_MAX6M,CUST13_MAX6M,2,96,=,Missing/Null,,,,,
CUST22_SLP3M,features.CUST22_SLP3M,CUST22_SLP3M,1,78,,,<,-43.4950008,,,
CUST22_SLP3M,features.CUST22_SLP3M,CUST22_SLP3M,2,93,>=,-43.495,,,,,
CUST22_SLP3M,features.CUST22_SLP3M,CUST22_SLP3M,2,93,=,Missing/Null,,,,,
GO05,features.GO05,GO05,1,75,,,<,5.5,,,
GO05,features.GO05,GO05,2,90,>=,5.5,<,14.5,,,
GO05,features.GO05,GO05,3,105,>=,14.5,,,,,
GO05,features.GO05,GO05,3,105,=,Missing/Null,,,,,
IND_DELQ_SUM24M,features.IND_DELQ_SUM24M,IND_DELQ_SUM24M,1,60,>=,7.5,,,,,
IND_DELQ_SUM24M,features.IND_DELQ_SUM24M,IND_DELQ_SUM24M,1,60,=,Missing/Null,,,,,
IND_DELQ_SUM24M,features.IND_DELQ_SUM24M,IND_DELQ_SUM24M,2,78,>=,3.5,<,7.5,,,
IND_DELQ_SUM24M,features.IND_DELQ_SUM24M,IND_DELQ_SUM24M,3,102,,,<,3.5,,,
IND_JOINT,features.IND_JOINT,IND_JOINT,1,57,=,1,,,,,
IND_JOINT,features.IND_JOINT,IND_JOINT,1,57,=,Missing/Null,,,,,
IND_JOINT,features.IND_JOINT,IND_JOINT,2,96,=,0,,,,,
LTV_VEH10,features.LTV_VEH10,LTV_VEH10,1,54,,,<,0.95525,,,
LTV_VEH10,features.LTV_VEH10,LTV_VEH10,1,54,=,Missing/Null,,,,,
LTV_VEH10,features.LTV_VEH10,LTV_VEH10,2,93,>=,0.95525,<,1.27245,,,
LTV_VEH10,features.LTV_VEH10,LTV_VEH10,3,123,>=,1.27245,,,,,
SUBV,features.SUBV,SUBV,1,75,=,1,,,,,
SUBV,features.SUBV,SUBV,1,75,=,Missing/Null,,,,,
SUBV,features.SUBV,SUBV,2,93,=,0,,,,,
BR34,features.BR34,BR34,1,72,,,<,36.5,,,
BR34,features.BR34,BR34,2,90,>=,36.5,,,,,
BR34,features.BR34,BR34,2,90,=,Missing/Null,,,,,


