Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
Intercept,,,,515,,,,,,,
LOAN_TERM,features.LOAN_TERM,LOAN_TERM,1,7,,,<,72,,,
LOAN_TERM,features.LOAN_TERM,LOAN_TERM,2,0,>=,72,,,,,
AT19,features.AT19,AT19,1,9,,,<,1,,,
AT19,features.AT19,AT19,1,9,=,Missing/Null,,,,,
AT19,features.AT19,AT19,2,0,>=,1,,,,,
AT34_MAX6M,features.AT34_MAX6M,AT34_MAX6M,1,12,,,<,53,,,
AT34_MAX6M,features.AT34_MAX6M,AT34_MAX6M,1,12,=,Missing/Null,,,,,
AT34_MAX6M,features.AT34_MAX6M,AT34_MAX6M,2,7,>=,53,<,75,,,
AT34_MAX6M,features.AT34_MAX6M,AT34_MAX6M,3,4,>=,75,<,96,,,
AT34_MAX6M,features.AT34_MAX6M,AT34_MAX6M,4,0,>=,96,,,,,
AT36,features.AT36,AT36,1,14,=,Missing/Null,,,,,
AT36,features.AT36,AT36,2,9,>=,4,,,,,
AT36,features.AT36,AT36,3,0,,,<,4,,,
AT84_MAX6M,features.AT84_MAX6M,AT84_MAX6M,1,21,,,<,1,,,
AT84_MAX6M,features.AT84_MAX6M,AT84_MAX6M,1,21,=,Missing/Null,,,,,
AT84_MAX6M,features.AT84_MAX6M,AT84_MAX6M,2,10,>=,1,<,457,,,
AT84_MAX6M,features.AT84_MAX6M,AT84_MAX6M,3,0,>=,457,,,,,
BR147_MAX6M,features.BR147_MAX6M,BR147_MAX6M,1,23,,,<,73,,,
BR147_MAX6M,features.BR147_MAX6M,BR147_MAX6M,2,18,>=,73,<,93,,,
BR147_MAX6M,features.BR147_MAX6M,BR147_MAX6M,3,13,>=,93,<,100,,,
BR147_MAX6M,features.BR147_MAX6M,BR147_MAX6M,4,7,>=,100,<,103,,,
BR147_MAX6M,features.BR147_MAX6M,BR147_MAX6M,4,7,=,Missing/Null,,,,,
BR147_MAX6M,features.BR147_MAX6M,BR147_MAX6M,5,0,>=,103,,,,,
BY34,features.BY34,BY34,1,17,,,<,73,,,
BY34,features.BY34,BY34,2,12,>=,73,<,93,,,
BY34,features.BY34,BY34,3,5,>=,93,<,100,,,
BY34,features.BY34,BY34,3,5,=,Missing/Null,,,,,
BY34,features.BY34,BY34,4,0,>=,100,,,,,
CUST24_MAX6M,features.CUST24_MAX6M,CUST24_MAX6M,1,16,,,<,0.9,,,
CUST24_MAX6M,features.CUST24_MAX6M,CUST24_MAX6M,2,7,>=,0.9,<,1,,,
CUST24_MAX6M,features.CUST24_MAX6M,CUST24_MAX6M,2,7,=,Missing/Null,,,,,
CUST24_MAX6M,features.CUST24_MAX6M,CUST24_MAX6M,3,0,>=,1,,,,,
CUST25_MIN3M,features.CUST25_MIN3M,CUST25_MIN3M,1,0,,,<,48.3,,,
CUST25_MIN3M,features.CUST25_MIN3M,CUST25_MIN3M,2,8,>=,48.3,<,734.82,,,
CUST25_MIN3M,features.CUST25_MIN3M,CUST25_MIN3M,2,8,=,Missing/Null,,,,,
CUST25_MIN3M,features.CUST25_MIN3M,CUST25_MIN3M,3,19,>=,734.82,<,20315.9,,,
CUST25_MIN3M,features.CUST25_MIN3M,CUST25_MIN3M,4,37,>=,20315.9,,,,,
DAY_ODUE,features.DAY_ODUE,DAY_ODUE,1,56,,,<,1,,,
DAY_ODUE,features.DAY_ODUE,DAY_ODUE,1,56,=,Missing/Null,,,,,
DAY_ODUE,features.DAY_ODUE,DAY_ODUE,2,0,>=,1,,,,,
GO05,features.GO05,GO05,1,19,,,<,4,,,
GO05,features.GO05,GO05,1,19,=,Missing/Null,,,,,
GO05,features.GO05,GO05,2,14,>=,4,<,7,,,
GO05,features.GO05,GO05,3,6,>=,7,<,11,,,
GO05,features.GO05,GO05,4,0,>=,11,,,,,
IND_DELQ_MAX24M,features.IND_DELQ_MAX24M,IND_DELQ_MAX24M,1,29,,,<,1,,,
IND_DELQ_MAX24M,features.IND_DELQ_MAX24M,IND_DELQ_MAX24M,2,0,>=,1,,,,,
BAD_PAYER_IND,features.BAD_PAYER_IND,BAD_PAYER_IND,1,14,,,<,1,,,
BAD_PAYER_IND,features.BAD_PAYER_IND,BAD_PAYER_IND,1,14,=,Missing/Null,,,,,
BAD_PAYER_IND,features.BAD_PAYER_IND,BAD_PAYER_IND,2,0,>=,1,,,,,
LTV_VEH5,features.LTV_VEH5,LTV_VEH5,1,6,,,<,1.01,,,
LTV_VEH5,features.LTV_VEH5,LTV_VEH5,2,0,>=,1.01,,,,,
LTV_VEH5,features.LTV_VEH5,LTV_VEH5,2,0,=,Missing/Null,,,,,
SUBV,features.SUBV,SUBV,1,18,=,1,,,,,
SUBV,features.SUBV,SUBV,1,18,=,Missing/Null,,,,,
SUBV,features.SUBV,SUBV,1,0,=,0,,,,,
SUBV,features.SUBV,SUBV,2,0,=,NA,,,,,
