Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,1,115,,,<,0.69538,,,
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,1,115, =,Missing/Null,,,,,
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,2,131,>=,0.69538,<,0.88973,,,
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,3,151,>=,0.88973,<,0.94511,,,
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,4,168,>=,0.94511,<,1.00001,,,
UTIL_KSA_MAX3M,features.UTIL_KSA_MAX3M,UTIL_KSA_MAX3M,5,185,>=,1.00001,,,,,
TOT_C_DT_FNC_CHRG_KSA,features.TOT_C_DT_FNC_CHRG_KSA,TOT_C_DT_FNC_CHRG_KSA,1,171,>=,181.825,,,,,
TOT_C_DT_FNC_CHRG_KSA,features.TOT_C_DT_FNC_CHRG_KSA,TOT_C_DT_FNC_CHRG_KSA,2,162,>=,94.015,<,181.825,,,
TOT_C_DT_FNC_CHRG_KSA,features.TOT_C_DT_FNC_CHRG_KSA,TOT_C_DT_FNC_CHRG_KSA,3,156,>=,45.735,<,94.015,,,
TOT_C_DT_FNC_CHRG_KSA,features.TOT_C_DT_FNC_CHRG_KSA,TOT_C_DT_FNC_CHRG_KSA,4,141,,,<,45.735,,,
TOT_C_DT_FNC_CHRG_KSA,features.TOT_C_DT_FNC_CHRG_KSA,TOT_C_DT_FNC_CHRG_KSA,4,141, =,Missing/Null,,,,,
CSH_AD_CRNT_C_BAL_KSC_SUM3M,features.CSH_AD_CRNT_C_BAL_KSC_SUM3M,CSH_AD_CRNT_C_BAL_KSC_SUM3M,1,147,,,<,3.955,,,
CSH_AD_CRNT_C_BAL_KSC_SUM3M,features.CSH_AD_CRNT_C_BAL_KSC_SUM3M,CSH_AD_CRNT_C_BAL_KSC_SUM3M,2,169,>=,3.955,,,,,
CSH_AD_CRNT_C_BAL_KSC_SUM3M,features.CSH_AD_CRNT_C_BAL_KSC_SUM3M,CSH_AD_CRNT_C_BAL_KSC_SUM3M,2,169, =,Missing/Null,,,,,
BY34,features.BY34,BY34,1,160,>=,93.5,,,,,
BY34,features.BY34,BY34,2,154,>=,78.5,<,93.5,,,
BY34,features.BY34,BY34,2,154, =,Missing/Null,,,,,
BY34,features.BY34,BY34,3,151,>=,44.5,<,78.5,,,
BY34,features.BY34,BY34,4,147,,,<,44.5,,,
WTHDRWL_CNT,features.WTHDRWL_CNT,WTHDRWL_CNT,1,151,,,<,3.5,,,
WTHDRWL_CNT,features.WTHDRWL_CNT,WTHDRWL_CNT,1,151, =,Missing/Null,,,,,
WTHDRWL_CNT,features.WTHDRWL_CNT,WTHDRWL_CNT,2,154,>=,3.5,<,33.5,,,
WTHDRWL_CNT,features.WTHDRWL_CNT,WTHDRWL_CNT,3,160,>=,33.5,,,,,
AT147,features.AT147,AT147,1,142,,,<,77.5,,,
AT147,features.AT147,AT147,2,148,>=,77.5,<,92.5,,,
AT147,features.AT147,AT147,3,155,>=,92.5,<,98.5,,,
AT147,features.AT147,AT147,3,155, =,Missing/Null,,,,,
AT147,features.AT147,AT147,4,159,>=,98.5,,,,,
