Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
D2D_BAL_AMT_MAX3M,features.D2D_BAL_AMT_MAX3M,D2D_BAL_AMT_MAX3M,1,115,>=,1524.755,,,,,
D2D_BAL_AMT_MAX3M,features.D2D_BAL_AMT_MAX3M,D2D_BAL_AMT_MAX3M,2,128,>=,443.955,<,1524.755,,,
D2D_BAL_AMT_MAX3M,features.D2D_BAL_AMT_MAX3M,D2D_BAL_AMT_MAX3M,3,147,>=,93.2,<,443.935,,,
D2D_BAL_AMT_MAX3M,features.D2D_BAL_AMT_MAX3M,D2D_BAL_AMT_MAX3M,3,147,=,Missing/Null,,,,,
D2D_BAL_AMT_MAX3M,features.D2D_BAL_AMT_MAX3M,D2D_BAL_AMT_MAX3M,4,172,>=,19.905,<,93.2,,,
D2D_BAL_AMT_MAX3M,features.D2D_BAL_AMT_MAX3M,D2D_BAL_AMT_MAX3M,5,179,,,<,19.905,,,
GO06_MAX6M,features.GO06_MAX6M,GO06_MAX6M,1,151,,,<,0.5,,,
GO06_MAX6M,features.GO06_MAX6M,GO06_MAX6M,2,168,>=,0.5,<,1.5,,,
GO06_MAX6M,features.GO06_MAX6M,GO06_MAX6M,2,168, =,Missing/Null,,,,,
GO06_MAX6M,features.GO06_MAX6M,GO06_MAX6M,3,183,>=,1.5,<,2.5,,,
GO06_MAX6M,features.GO06_MAX6M,GO06_MAX6M,4,189,>=,2.5,<,4.5,,,
GO06_MAX6M,features.GO06_MAX6M,GO06_MAX6M,5,217,>=,4.5,,,,,
PR01_MAX24M,features.PR01_MAX24M,PR01_MAX24M,1,160,,,<,0.5,,,
PR01_MAX24M,features.PR01_MAX24M,PR01_MAX24M,1,160, =,Missing/Null,,,,,
PR01_MAX24M,features.PR01_MAX24M,PR01_MAX24M,2,279,>=,0.5,,,,,
TOT_NEW_BAL_CHG3M,features.TOT_NEW_BAL_CHG3M,TOT_NEW_BAL_CHG3M,1,89,,,<,-0.0395,,,
TOT_NEW_BAL_CHG3M,features.TOT_NEW_BAL_CHG3M,TOT_NEW_BAL_CHG3M,1,89, =,Missing/Null,,,,,
TOT_NEW_BAL_CHG3M,features.TOT_NEW_BAL_CHG3M,TOT_NEW_BAL_CHG3M,2,147,>=,-0.0395,<,-0.0195,,,
TOT_NEW_BAL_CHG3M,features.TOT_NEW_BAL_CHG3M,TOT_NEW_BAL_CHG3M,3,166,>=,-0.0195,<,-0.0045,,,
TOT_NEW_BAL_CHG3M,features.TOT_NEW_BAL_CHG3M,TOT_NEW_BAL_CHG3M,4,202,>=,-0.0045,<,0.0005,,,
TOT_NEW_BAL_CHG3M,features.TOT_NEW_BAL_CHG3M,TOT_NEW_BAL_CHG3M,5,326,>=,0.0005,,,,,
