Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT29,features.AT29,AT29_NUM_OF_ACTV_INSTLMNT_TRDS,1,0,,,<,3,,,
AT29,features.AT29,AT29_NUM_OF_ACTV_INSTLMNT_TRDS,2,19,>=,3,<,6,,,
AT29,features.AT29,AT29_NUM_OF_ACTV_INSTLMNT_TRDS,3,30,>=,6,<,9,,,
AT29,features.AT29,AT29_NUM_OF_ACTV_INSTLMNT_TRDS,3,30,=,Missing/Null,,,,,
AT29,features.AT29,AT29_NUM_OF_ACTV_INSTLMNT_TRDS,4,82,>=,9,<,13,,,
AT29,features.AT29,AT29_NUM_OF_ACTV_INSTLMNT_TRDS,5,143,>=,13,,,,,
CU115,features.CU115,CU115_TOT_COMPTV_RTO,1,33,,,<,70.5,,,
CU115,features.CU115,CU115_TOT_COMPTV_RTO,2,15,>=,70.5,<,90.5,,,
CU115,features.CU115,CU115_TOT_COMPTV_RTO,2,15,=,Missing/Null,,,,,
CU115,features.CU115,CU115_TOT_COMPTV_RTO,3,0,>=,90.5,,,,,
D2D_BAL_AMT,features.D2D_BAL_AMT,D2DBALB,1,101,,,<,201.23,,,
D2D_BAL_AMT,features.D2D_BAL_AMT,D2DBALB,1,101,=,Missing/Null,,,,,
D2D_BAL_AMT,features.D2D_BAL_AMT,D2DBALB,2,76,>=,201.23,<,5617.89,,,
D2D_BAL_AMT,features.D2D_BAL_AMT,D2DBALB,3,0,>=,5617.89,,,,,
GO11_MAX6M,features.GO11_MAX6M,GO11MAX6M,1,0,,,<,82.5,,,
GO11_MAX6M,features.GO11_MAX6M,GO11MAX6M,2,16,>=,82.5,<,92.54,,,
GO11_MAX6M,features.GO11_MAX6M,GO11MAX6M,3,42,>=,92.5,<,96.5,,,
GO11_MAX6M,features.GO11_MAX6M,GO11MAX6M,3,42,=,Missing/Null,,,,,
GO11_MAX6M,features.GO11_MAX6M,GO11MAX6M,4,88,>=,96.5,,,,,
MTH_DLQNT_AVG12M,features.MTH_DLQNT_AVG12M,MTH_DLQNTAVG12M,1,184,,,<,0.1339,,,
MTH_DLQNT_AVG12M,features.MTH_DLQNT_AVG12M,MTH_DLQNTAVG12M,1,184,=,Missing/Null,,,,,
MTH_DLQNT_AVG12M,features.MTH_DLQNT_AVG12M,MTH_DLQNTAVG12M,2,105,>=,0.1339,<,1.0417,,,
MTH_DLQNT_AVG12M,features.MTH_DLQNT_AVG12M,MTH_DLQNTAVG12M,3,85,>=,1.0417,<,3.375,,,
MTH_DLQNT_AVG12M,features.MTH_DLQNT_AVG12M,MTH_DLQNTAVG12M,4,34,>=,3.375,<,9.7083,,,
MTH_DLQNT_AVG12M,features.MTH_DLQNT_AVG12M,MTH_DLQNTAVG12M,5,0,>=,9.7083,,,,,
NON_REG_INV_ACCT_CNT_MIN3M,features.NON_REG_INV_ACCT_CNT_MIN3M,NONREGINVMIN3M,1,85,=,0,,,,,
NON_REG_INV_ACCT_CNT_MIN3M,features.NON_REG_INV_ACCT_CNT_MIN3M,NONREGINVMIN3M,1,85,=,Missing/Null,,,,,
NON_REG_INV_ACCT_CNT_MIN3M,features.NON_REG_INV_ACCT_CNT_MIN3M,NONREGINVMIN3M,2,48,>,0,<,3,,,
NON_REG_INV_ACCT_CNT_MIN3M,features.NON_REG_INV_ACCT_CNT_MIN3M,NONREGINVMIN3M,3,0,>=,3,,,,,
RE33,features.RE33,RE33_TOT_BAL_REVLVNG,1,0,,,<,5644.5,,,
RE33,features.RE33,RE33_TOT_BAL_REVLVNG,2,68,>=,5644.5,<,20956.5,,,
RE33,features.RE33,RE33_TOT_BAL_REVLVNG,3,121,>=,20956.5,<,36344,,,
RE33,features.RE33,RE33_TOT_BAL_REVLVNG,3,121,=,Missing/Null,,,,,
RE33,features.RE33,RE33_TOT_BAL_REVLVNG,4,135,>=,36344,,,,,
REG_INV_ACCT_CNT_AVG3M,features.REG_INV_ACCT_CNT_AVG3M,REGINVAVG3M,1,69,,,<,0.833,,,
REG_INV_ACCT_CNT_AVG3M,features.REG_INV_ACCT_CNT_AVG3M,REGINVAVG3M,1,69,=,Missing/Null,,,,,
REG_INV_ACCT_CNT_AVG3M,features.REG_INV_ACCT_CNT_AVG3M,REGINVAVG3M,2,49,>=,0.833,<,2.833,,,
REG_INV_ACCT_CNT_AVG3M,features.REG_INV_ACCT_CNT_AVG3M,REGINVAVG3M,3,0,>=,2.833,,,,,
TOT_NEW_BAL_CHG3M,features.TOT_NEW_BAL_CHG3M,TOT_NEW_BALCHG3M,1,0,,,<,-0.0534,,,
TOT_NEW_BAL_CHG3M,features.TOT_NEW_BAL_CHG3M,TOT_NEW_BALCHG3M,1,0,=,Missing/Null,,,,,
TOT_NEW_BAL_CHG3M,features.TOT_NEW_BAL_CHG3M,TOT_NEW_BALCHG3M,2,69,>=,-0.0534,,,,,
WORST_DLQDAYS_MO_SLP6M,features.WORST_DLQDAYS_MO_SLP6M,WORST_DLQDAYS_MOSLP6M,1,0,,,<,8.9,,,
WORST_DLQDAYS_MO_SLP6M,features.WORST_DLQDAYS_MO_SLP6M,WORST_DLQDAYS_MOSLP6M,2,92,>=,8.9,,,,,
WORST_DLQDAYS_MO_SLP6M,features.WORST_DLQDAYS_MO_SLP6M,WORST_DLQDAYS_MOSLP6M,2,92,=,Missing/Null,,,,,
