Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,1,68,,,<,30,,,
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,2,64,>=,30,<,80,,,
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,3,61,>=,80,<,94,,,
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,3,61,=,Missing/Null,,,,,
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,4,58,>=,94,<,100.1,,,
AT147_AVG6M,features.AT147_AVG6M,AT147AVG6M,5,53,>=,100.1,,,,,
AT34_SLP6M,features.AT34_SLP6M,AT34SLP6M,1,64,,,<,0.1,,,
AT34_SLP6M,features.AT34_SLP6M,AT34SLP6M,2,59,>=,0.1,<,1.5,,,
AT34_SLP6M,features.AT34_SLP6M,AT34SLP6M,3,54,>=,1.5,<,4.1,,,
AT34_SLP6M,features.AT34_SLP6M,AT34SLP6M,4,48,>=,4.1,,,,,
AT34_SLP6M,features.AT34_SLP6M,AT34SLP6M,4,48,=,Missing/Null,,,,,
AT86_AVG6M,features.AT86_AVG6M,AT86AVG6M,1,63,>=,16,,,,,
AT86_AVG6M,features.AT86_AVG6M,AT86AVG6M,1,63,=,Missing/Null,,,,,
AT86_AVG6M,features.AT86_AVG6M,AT86AVG6M,2,42,,,<,16,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,1,79,>=,78000,,,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,2,68,>=,40000,<,78000,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,3,58,>=,18500,<,40000,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,3,58,=,Missing/Null,,,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,4,51,>=,6000,<,18500,,,
AT94_AVG6M,features.AT94_AVG6M,AT94AVG6M,5,44,,,<,6000,,,
BC33,features.BC33,BC33,1,70,,,<,2000,,,
BC33,features.BC33,BC33,2,64,>=,2000,<,5000,,,
BC33,features.BC33,BC33,2,64,=,Missing/Null,,,,,
BC33,features.BC33,BC33,3,56,>=,5000,<,8000,,,
