Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
D2D_BAL_AMT_MAX12M,features.D2D_BAL_AMT_MAX12M,B_D2DBALmax12m (X1),1,136,,,<,499.2,,,
D2D_BAL_AMT_MAX12M,features.D2D_BAL_AMT_MAX12M,B_D2DBALmax12m (X1),2,138,>=,499.2,,,,,
D2D_BAL_AMT_MAX12M,features.D2D_BAL_AMT_MAX12M,B_D2DBALmax12m (X1),2,138,=,Missing/NULL,,,,,
FORECLOSE_IND,features.FORECLOSE_IND,B_Foreclose_Ind (X2),1,135,in,Y,,,,,
FORECLOSE_IND,features.FORECLOSE_IND,B_Foreclose_Ind (X2),2,137,not in,Y,,,,,
LTV,features.LTV,B_LTV (X3),2,142,>,0.6589,,,,,
LTV,features.LTV,B_LTV (X3),1,135,,,<=,0.6589,,,
LTV,features.LTV,B_LTV (X3),1,135,=,Missing/NULL,,,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,B_Month_DEF (X4),1,127,,,<,6.5,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,B_Month_DEF (X4),2,143,>=,6.5,<,11.5,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,B_Month_DEF (X4),3,151,>=,11.5,<,15.5,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,B_Month_DEF (X4),4,165,>=,15.5,,,,,
MONTH_DEF_SINCE_LAST_DEF,features.MONTH_DEF_SINCE_LAST_DEF,B_Month_DEF (X4),1,127,=,Missing/NULL,,,,,
RATIO,features.RATIO,B_UNEMP_RATE_RATIO (X5),2,141,>=,0.1478,,,,,
RATIO,features.RATIO,B_UNEMP_RATE_RATIO (X5),1,136,,,<,0.1478,,,
RATIO,features.RATIO,B_UNEMP_RATE_RATIO (X5),1,136,=,Missing/NULL,,,,,
URATE,features.URATE,B_UNEMP_RATE_RATIO (X5),2,141,>=,0.1,,,,,
URATE,features.URATE,B_UNEMP_RATE_RATIO (X5),1,136,,,<,0.1,,,
URATE,features.URATE,B_UNEMP_RATE_RATIO (X5),1,136,=,Missing/NULL,,,,,
INDEX_TERANETV,features.INDEX_TERANETV,B_index_teranetV (X6),1,135,,,<,151065.35,,,
INDEX_TERANETV,features.INDEX_TERANETV,B_index_teranetV (X6),2,143,>=,151065.35,<,1000000,,,
INDEX_TERANETV,features.INDEX_TERANETV,B_index_teranetV (X6),1,135,>=,1000000,,,,,
INDEX_TERANETV,features.INDEX_TERANETV,B_index_teranetV (X6),1,135,=,Missing/NULL,,,,,
