Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
AMORT,features.AMORT,B_AMORT (X1),1,0,,,<,220,,,
AMORT,features.AMORT,B_AMORT (X1),2,45,>=,220,<,450,,,
AMORT,features.AMORT,B_AMORT (X1),3,185,>=,450,,,,,
AMORT,features.AMORT,B_AMORT (X1),1,0,=,Missing/NULL,,,,,
BI33,features.BI33,B_BI33MAX3M (X2),1,0,,,<,14445,,,
BI33,features.BI33,B_BI33MAX3M (X2),2,119,>=,14445,,,,,
BI33,features.BI33,B_BI33MAX3M (X2),1,0,=,Missing/NULL,,,,,
DLQNT_DAY_AVG24M,features.DLQNT_DAY_AVG24M,B_DLQNT_DAYAVG24M (X3),1,74,,,<,6.71780303,,,
DLQNT_DAY_AVG24M,features.DLQNT_DAY_AVG24M,B_DLQNT_DAYAVG24M (X3),2,0,>=,6.71780303,<,28.8452381,,,
DLQNT_DAY_AVG24M,features.DLQNT_DAY_AVG24M,B_DLQNT_DAYAVG24M (X3),2,0,>=,28.8452381,,,,,
DLQNT_DAY_AVG24M,features.DLQNT_DAY_AVG24M,B_DLQNT_DAYAVG24M (X3),1,74,=,Missing/NULL,,,,,
LTV,features.LTV,B_LTV (X4),1,0,,,<,0.45,,,
LTV,features.LTV,B_LTV (X4),2,87,>=,0.45,<,0.65,,,
LTV,features.LTV,B_LTV (X4),3,151,>=,0.65,,,,,
LTV,features.LTV,B_LTV (X4),2,87,=,Missing/NULL,,,,,
INDEX_TERANETV,features.INDEX_TERANETV,B_INDEX_TERANETV (X5),1,201,,,<,135000,,,
INDEX_TERANETV,features.INDEX_TERANETV,B_INDEX_TERANETV (X5),2,0,>=,135000,<,1067000,,,
INDEX_TERANETV,features.INDEX_TERANETV,B_INDEX_TERANETV (X5),1,201,>=,1067000,,,,,
INDEX_TERANETV,features.INDEX_TERANETV,B_INDEX_TERANETV (X5),2,0,=,Missing/NULL,,,,,
PROVINCE_CD,features.PROVINCE_CD,B_RATIO (X6),2,115,in,QC,,,,,
PROVINCE_CD,features.PROVINCE_CD,B_RATIO (X6),1,270,in,"PE,NS,NF,NB",,,,,
PROVINCE_CD,features.PROVINCE_CD,B_RATIO (X6),1,270,=,Missing/NULL,,,,,
PROVINCE_CD,features.PROVINCE_CD,B_RATIO (X6),3,0,NOT IN,"PE,NS,NF,NB,QC,AB,BC,MB,SK,NW,YK,NL,NU,NT,YT",,,,,
PROVINCE_CD,features.PROVINCE_CD,B_RATIO (X6),NA,NA,in,"AB,BC,MB,SK,NW,YK",,,Y,POP1,
RATIO,features.RATIO,B_RATIO (X6),2,115,,,<,-0.1877,,,POP1
RATIO,features.RATIO,B_RATIO (X6),1,270,>=,-0.1877,,,,,POP1
RATIO,features.RATIO,B_RATIO (X6),2,115,=,Missing/NULL,,,,,
RATIO,features.RATIO,B_RATIO (X6),3,0,,,,,,,
