Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
Intercept,,,,559,559,,,,,,
AMORT,features.AMORT,B_AMORT (X1),1,22,,,<,180,,,
AMORT,features.AMORT,B_AMORT (X1),2,10,>=,180,<,270,,,
AMORT,features.AMORT,B_AMORT (X1),3,0,>=,270,,,,,
AMORT,features.AMORT,B_AMORT (X1),1,22,=,Missing/NULL,,,,,
AT36,features.AT36,B_AT36 (X2),2,0,,,<,3,,,
AT36,features.AT36,B_AT36 (X2),3,5,>=,3,<,4,,,
AT36,features.AT36,B_AT36 (X2),4,14,>=,4,<,10,,,
AT36,features.AT36,B_AT36 (X2),5,20,>=,10,<,20,,,
AT36,features.AT36,B_AT36 (X2),1,27,>=,20,,,,,
AT36,features.AT36,B_AT36 (X2),1,27,=,Missing/NULL,,,,,
AT94,features.AT94,B_AT94 (X3),1,0,,,<,5000,,,
AT94,features.AT94,B_AT94 (X3),2,5,>=,5000,<,14023,,,
AT94,features.AT94,B_AT94 (X3),3,10,>=,14023,<,30027,,,
AT94,features.AT94,B_AT94 (X3),4,16,>=,30027,<,51728,,,
AT94,features.AT94,B_AT94 (X3),5,23,>=,51728,,,,,
AT94,features.AT94,B_AT94 (X3),1,0,=,Missing/NULL,,,,,
BR147_MAX6M,features.BR147_MAX6M,B_BR147MAX6M (X4),2,21,,,<,69,,,
BR147_MAX6M,features.BR147_MAX6M,B_BR147MAX6M (X4),3,15,>=,69,<,100,,,
BR147_MAX6M,features.BR147_MAX6M,B_BR147MAX6M (X4),4,5,>=,100,<,105,,,
BR147_MAX6M,features.BR147_MAX6M,B_BR147MAX6M (X4),1,0,>=,105,,,,,
BR147_MAX6M,features.BR147_MAX6M,B_BR147MAX6M (X4),1,0,=,Missing/NULL,,,,,
CUST_ACCT_CNT,features.CUST_ACCT_CNT,B_CUST_ACCT_CNT (X5),1,0,,,<,5,,,
CUST_ACCT_CNT,features.CUST_ACCT_CNT,B_CUST_ACCT_CNT (X5),2,7,>=,5,<,10,,,
CUST_ACCT_CNT,features.CUST_ACCT_CNT,B_CUST_ACCT_CNT (X5),3,17,>=,10,,,,,
CUST_ACCT_CNT,features.CUST_ACCT_CNT,B_CUST_ACCT_CNT (X5),1,0,=,Missing/NULL,,,,,
D2D_BAL_AMT_P_MIN6M,features.D2D_BAL_AMT_P_MIN6M,B_D2DBALPmin6m (X6),1,0,,,<,0,,,
