Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
Intercept,,,,546,=,,,,,,
DAYS_ARREARS_CNT,features.DAYS_ARREARS_CNT,B_DAYS_ARREARS_CNT,1,98,=,Missing/Null,,,,,
DAYS_ARREARS_CNT,features.DAYS_ARREARS_CNT,B_DAYS_ARREARS_CNT,1,98,,,<,1,,,
DAYS_ARREARS_CNT,features.DAYS_ARREARS_CNT,B_DAYS_ARREARS_CNT,2,44,>=,1,<,30,,,
DAYS_ARREARS_CNT,features.DAYS_ARREARS_CNT,B_DAYS_ARREARS_CNT,3,17,>=,30,<,60,,,
DAYS_ARREARS_CNT,features.DAYS_ARREARS_CNT,B_DAYS_ARREARS_CNT,4,0,>=,60,,,,,
EVER_30_CNT,features.EVER_30_CNT,B_EVER_30_CNT,1,40,=,Missing/Null,,,,,
EVER_30_CNT,features.EVER_30_CNT,B_EVER_30_CNT,1,40,,,<,1,,,
EVER_30_CNT,features.EVER_30_CNT,B_EVER_30_CNT,2,0,>=,1,,,,,
LTV_TERANET,features.LTV_TERANET,B_LTV_TERANET,1,12,,,<,0.48,,,
LTV_TERANET,features.LTV_TERANET,B_LTV_TERANET,2,5,>=,0.48,<,0.72,,,
LTV_TERANET,features.LTV_TERANET,B_LTV_TERANET,3,0,>=,0.72,,,,,
LTV_TERANET,features.LTV_TERANET,B_LTV_TERANET,3,0,=,Missing/Null,,,,,
NSF_YTD_CNT,features.NSF_YTD_CNT,B_NSF_YTD_CNT,1,40,=,Missing/Null,,,,,
NSF_YTD_CNT,features.NSF_YTD_CNT,B_NSF_YTD_CNT,2,53,,,<,1,,,
NSF_YTD_CNT,features.NSF_YTD_CNT,B_NSF_YTD_CNT,3,28,>=,1,<,2,,,
NSF_YTD_CNT,features.NSF_YTD_CNT,B_NSF_YTD_CNT,4,17,>=,2,<,3,,,
NSF_YTD_CNT,features.NSF_YTD_CNT,B_NSF_YTD_CNT,5,0,>=,3,,,,,
REMAIN_AMORT2,features.REMAIN_AMORT2,B_REMAIN_AMORT2,1,37,,,<,149,,,
REMAIN_AMORT2,features.REMAIN_AMORT2,B_REMAIN_AMORT2,2,25,>=,149,<,207,,,
REMAIN_AMORT2,features.REMAIN_AMORT2,B_REMAIN_AMORT2,3,13,>=,207,<,369,,,
REMAIN_AMORT2,features.REMAIN_AMORT2,B_REMAIN_AMORT2,3,13,=,Missing/Null,,,,,
REMAIN_AMORT2,features.REMAIN_AMORT2,B_REMAIN_AMORT2,4,0,>=,369,,,,,
TRADES_ACTIVE_UTIL_PCT_MAX12M,features.TRADES_ACTIVE_UTIL_PCT_MAX12M,B_TRADES_ACTIVE_UTIL_PCT_MAX12M,1,33,=,Missing/Null,,,,,
TRADES_ACTIVE_UTIL_PCT_MAX12M,features.TRADES_ACTIVE_UTIL_PCT_MAX12M,B_TRADES_ACTIVE_UTIL_PCT_MAX12M,1,33,,,<,60,,,
TRADES_ACTIVE_UTIL_PCT_MAX12M,features.TRADES_ACTIVE_UTIL_PCT_MAX12M,B_TRADES_ACTIVE_UTIL_PCT_MAX12M,2,16,>=,60,<,84,,,
TRADES_ACTIVE_UTIL_PCT_MAX12M,features.TRADES_ACTIVE_UTIL_PCT_MAX12M,B_TRADES_ACTIVE_UTIL_PCT_MAX12M,3,0,>=,84,<,,,,
TRADES_STSFCT_CNT_SLP6M,features.TRADES_STSFCT_CNT_SLP6M,B_TRADES_STSFCT_CNT_SLP6M,1,0,,,<,0,,,
TRADES_STSFCT_CNT_SLP6M,features.TRADES_STSFCT_CNT_SLP6M,B_TRADES_STSFCT_CNT_SLP6M,2,17,>=,0,,,,,
TRADES_STSFCT_CNT_SLP6M,features.TRADES_STSFCT_CNT_SLP6M,B_TRADES_STSFCT_CNT_SLP6M,2,17,=,Missing/Null,,,,,
CREDIT_TRBLE_BNKRPTCY_COLL_DER,features.CREDIT_TRBLE_BNKRPTCY_COLL_DER,B_CREDIT_TRBLE_BNKRPTCY_COLL_DER,1,19,=,Missing/Null,,,,,
CREDIT_TRBLE_BNKRPTCY_COLL_DER,features.CREDIT_TRBLE_BNKRPTCY_COLL_DER,B_CREDIT_TRBLE_BNKRPTCY_COLL_DER,1,19,=,0,,,,,
CREDIT_TRBLE_BNKRPTCY_COLL_DER,features.CREDIT_TRBLE_BNKRPTCY_COLL_DER,B_CREDIT_TRBLE_BNKRPTCY_COLL_DER,2,0,=,1,,,,,
INS_ID_GROUP,features.INS_ID_GROUP,B_INS_ID_GROUP,1,33,=,100,,,,,
INS_ID_GROUP,features.INS_ID_GROUP,B_INS_ID_GROUP,1,33,=,200,,,,,
INS_ID_GROUP,features.INS_ID_GROUP,B_INS_ID_GROUP,2,0,=,300,,,,,
INS_ID_GROUP,features.INS_ID_GROUP,B_INS_ID_GROUP,2,0,=,Missing/Null,,,,,
