Description,CALC_SCORE_LOWER,CALC_SCORE_UPPER,PIT_STATUS_CROSS_DEFAULT_ORIG,MODEL_EXCL_F,CONSM_SCORECRD_EXCLSN_F,Output
>=807.5,>=807.5,,CUR,N,N,1
"[777.5,807.5)",>=777.5,<807.5,CUR,N,N,2
"[741.5,777.5)",>=741.5,<777.5,CUR,N,N,3
"[711.5,741.5)",>=711.5,<741.5,CUR,N,N,4
"[681.5,711.5)",>=681.5,<711.5,CUR,N,N,5
"[660.5,681.5)",>=660.5,<681.5,CUR,N,N,6
"[620.5,660.5)",>=620.5,<660.5,CUR,N,N,7
"[583.5,620.5)",>=583.5,<620.5,CUR,N,N,8
< 583.5,,<583.5,CUR,N,N,9
Special Segment,,,CUR,Y,Y,98
DEF,,,DEF,,,99
