Description,CALC_SCORE_LOWER,CALC_SCORE_UPPER,CURRENT_BALANCE,TOTAL_SUSPENSE,FULL_PAID_OFF_F,PIT_STATUS_CROSS_DEFAULT_ORIG,Output
Special Segment,,,<=0,=0,Y,,98
Special Segment,,<0,,,,is None,98
Special Segment,>=0,,,,,is None,98
Special Segment,,,,,,is None,98
DEF,>=0,,,,,DEF,99
DEF,,<0,,,,DEF,99
DEF,,,,,,DEF,99
<646.5,,< 646.5,,,,,8
"[646.5, 689.5)",>= 646.5,< 689.5,,,,,7
"[689.5, 712.5)",>= 689.5,< 712.5,,,,,6
"[712.5, 738.5)",>= 712.5,< 738.5,,,,,5
"[738.5, 767.5)",>=738.5,< 767.5,,,,,4
"[767.5, 802.5)",>= 767.5,< 802.5,,,,,3
"[802.5, 832.5)",>= 802.5,< 832.5,,,,,2
>=832.5,>= 832.5,,,,,,1
>=832.5,,,,,,,1
