Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,features.BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,1,189,=,Missing/Null,,,,,
BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,features.BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,1,189,,,<,0.5,,,
BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,features.BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,2,169,>=,0.5,<,45.5,,,
BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,features.BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,BNS_DLQNT_DAY_GP_KSC_CURR_ACCTS_MAX24M,3,141,>=,45.5,,,,,
BR34_MAX6M,features.BR34_MAX6M,BR34_MAX6M,1,192,,,<,75.5,,,
BR34_MAX6M,features.BR34_MAX6M,BR34_MAX6M,2,175,>=,75.5,<,90.5,,,
BR34_MAX6M,features.BR34_MAX6M,BR34_MAX6M,3,162,>=,90.5,<,100.5,,,
BR34_MAX6M,features.BR34_MAX6M,BR34_MAX6M,3,162,=,Missing/Null,,,,,
BR34_MAX6M,features.BR34_MAX6M,BR34_MAX6M,4,140,>=,100.5,,,,,
BNS_DLQNT_DAY_GP_KSA_MAX3M,features.BNS_DLQNT_DAY_GP_KSA_MAX3M,BNS_DLQNT_DAY_GP_KSA_MAX3M,1,185,,,<,4.5,,,
BNS_DLQNT_DAY_GP_KSA_MAX3M,features.BNS_DLQNT_DAY_GP_KSA_MAX3M,BNS_DLQNT_DAY_GP_KSA_MAX3M,1,185,=,Missing/Null,,,,,
BNS_DLQNT_DAY_GP_KSA_MAX3M,features.BNS_DLQNT_DAY_GP_KSA_MAX3M,BNS_DLQNT_DAY_GP_KSA_MAX3M,2,130,>=,4.5,,,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,D2D_BAL_AMT_WITHNULL,1,188,>=,1367.79504,,,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,D2D_BAL_AMT_WITHNULL,2,169,>=,111.915,<,1367.79504,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,D2D_BAL_AMT_WITHNULL,2,169,=,Missing/Null,,,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,D2D_BAL_AMT_WITHNULL,3,157,,,<,111.915,,,
TOT_DEP_AMT_MIN3M,features.TOT_DEP_AMT_MIN3M,TOT_DEP_AMT_MIN3M,1,191,>=,7706.76489,,,,,
TOT_DEP_AMT_MIN3M,features.TOT_DEP_AMT_MIN3M,TOT_DEP_AMT_MIN3M,2,171,>=,0.035,<,7706.76489,,,
TOT_DEP_AMT_MIN3M,features.TOT_DEP_AMT_MIN3M,TOT_DEP_AMT_MIN3M,2,171,=,Missing/Null,,,,,
TOT_DEP_AMT_MIN3M,features.TOT_DEP_AMT_MIN3M,TOT_DEP_AMT_MIN3M,3,154,<,0.035,,,,,
NSF_CNT_MAX24M,features.NSF_CNT_MAX24M,NSF_CNT_MAX24M,1,176,,,<,1,,,
NSF_CNT_MAX24M,features.NSF_CNT_MAX24M,NSF_CNT_MAX24M,1,176,=,Missing/Null,,,,,
NSF_CNT_MAX24M,features.NSF_CNT_MAX24M,NSF_CNT_MAX24M,2,158,>=,1,,,,,
