Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
INDEXED_LTV_ACCT,features.INDEXED_LTV_ACCT,B_INDEXED_LTV_ACCT,1,114,,,<,0.4654,,,
INDEXED_LTV_ACCT,features.INDEXED_LTV_ACCT,B_INDEXED_LTV_ACCT,2,110,>=,0.4654,,,,,
INDEXED_LTV_ACCT,features.INDEXED_LTV_ACCT,B_INDEXED_LTV_ACCT,2,110,=,Missing/NULL,,,,,
HGST_DLQNT_DAY_MTG_MAX24M_ACCT,features.HGST_DLQNT_DAY_MTG_MAX24M_ACCT,B_HGST_DLQNT_DAY_MTG_MAX24M_ACCT,1,140,,,<,1.5,,,
HGST_DLQNT_DAY_MTG_MAX24M_ACCT,features.HGST_DLQNT_DAY_MTG_MAX24M_ACCT,B_HGST_DLQNT_DAY_MTG_MAX24M_ACCT,2,96,>=,1.5,<,25.5,,,
HGST_DLQNT_DAY_MTG_MAX24M_ACCT,features.HGST_DLQNT_DAY_MTG_MAX24M_ACCT,B_HGST_DLQNT_DAY_MTG_MAX24M_ACCT,3,47,>=,25.5,,,,,
HGST_DLQNT_DAY_MTG_MAX24M_ACCT,features.HGST_DLQNT_DAY_MTG_MAX24M_ACCT,B_HGST_DLQNT_DAY_MTG_MAX24M_ACCT,2,96,=,Missing/NULL,,,,,
D2D_BAL_AMT_MIN6M,features.D2D_BAL_AMT_MIN6M,B_D2D_BAL_AMT_MIN6M,1,103,,,<,34.345,,,
D2D_BAL_AMT_MIN6M,features.D2D_BAL_AMT_MIN6M,B_D2D_BAL_AMT_MIN6M,2,112,>=,34.345,<,453.42,,,
D2D_BAL_AMT_MIN6M,features.D2D_BAL_AMT_MIN6M,B_D2D_BAL_AMT_MIN6M,3,125,>=,453.42,,,,,
D2D_BAL_AMT_MIN6M,features.D2D_BAL_AMT_MIN6M,B_D2D_BAL_AMT_MIN6M,2,112,=,Missing/NULL,,,,,
AT36,features.AT36,B_AT36,1,94,,,<,3.5,,,
AT36,features.AT36,B_AT36,2,104,>=,3.5,<,8.5,,,
AT36,features.AT36,B_AT36,3,118,>=,8.5,,,,,
AT36,features.AT36,B_AT36,3,118,=,Missing/NULL,,,,,
BR34,features.BR34,B_BR34,1,127,,,<,21.5,,,
BR34,features.BR34,B_BR34,2,121,>=,21.5,<,57.5,,,
BR34,features.BR34,B_BR34,3,112,>=,57.5,<,89.5,,,
BR34,features.BR34,B_BR34,4,102,>=,89.5,<,99.5,,,
BR34,features.BR34,B_BR34,5,92,>=,99.5,,,,,
BR34,features.BR34,B_BR34,4,102,=,Missing/NULL,,,,,
GO04_MAX6M,features.GO04_MAX6M,B_GO04_MAX6M,1,112,,,<,6.5,,,
GO04_MAX6M,features.GO04_MAX6M,B_GO04_MAX6M,2,109,>=,6.5,,,,,
GO04_MAX6M,features.GO04_MAX6M,B_GO04_MAX6M,1,112,=,Missing/NULL,,,,,
AMORT,features.AMORT,B_AMORT,1,117,,,<,127.5,,,
AMORT,features.AMORT,B_AMORT,2,111,>=,127.5,,,,,
AMORT,features.AMORT,B_AMORT,2,111,=,Missing/NULL,,,,,
TOT_PAYRL_AMT_MIN12M,features.TOT_PAYRL_AMT_MIN12M,B_TOT_PAYRL_AMT_MIN12M,1,107,,,<,1261.41498,,,
TOT_PAYRL_AMT_MIN12M,features.TOT_PAYRL_AMT_MIN12M,B_TOT_PAYRL_AMT_MIN12M,2,112,>=,1261.41498,<,3039.625,,,
TOT_PAYRL_AMT_MIN12M,features.TOT_PAYRL_AMT_MIN12M,B_TOT_PAYRL_AMT_MIN12M,3,122,>=,3039.625,,,,,
TOT_PAYRL_AMT_MIN12M,features.TOT_PAYRL_AMT_MIN12M,B_TOT_PAYRL_AMT_MIN12M,2,112,=,Missing/NULL,,,,,
TOT_PREPAY_YTD_MTG_MAX24M_ACCT,features.TOT_PREPAY_YTD_MTG_MAX24M_ACCT,B_TOT_PREPAY_YTD_MTG_MAX24M_ACCT,1,111,,,<,989.70001,,,
TOT_PREPAY_YTD_MTG_MAX24M_ACCT,features.TOT_PREPAY_YTD_MTG_MAX24M_ACCT,B_TOT_PREPAY_YTD_MTG_MAX24M_ACCT,2,126,>=,989.70001,,,,,
TOT_PREPAY_YTD_MTG_MAX24M_ACCT,features.TOT_PREPAY_YTD_MTG_MAX24M_ACCT,B_TOT_PREPAY_YTD_MTG_MAX24M_ACCT,1,111,=,Missing/NULL,,,,,
