Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
STEP_UTIL_KSA,features.STEP_UTIL_KSA,B_STEP_UTIL_KSA,1,89,,,<,0.5,,,
STEP_UTIL_KSA,features.STEP_UTIL_KSA,B_STEP_UTIL_KSA,2,140,>=,0.5,,,,,
STEP_UTIL_KSA,features.STEP_UTIL_KSA,B_STEP_UTIL_KSA,1,89,=,Missing/NULL,,,,,
BY34_MAX12M,features.BY34_MAX12M,B_BY34_MAX12M,1,112,,,<,85,,,
BY34_MAX12M,features.BY34_MAX12M,B_BY34_MAX12M,2,142,>=,85,,,,,
BY34_MAX12M,features.BY34_MAX12M,B_BY34_MAX12M,2,142,=,Missing/NULL,,,,,
WTHDRWL_CNT,features.WTHDRWL_CNT,B_WTHDRWL_CNT,1,125,,,<,6,,,
WTHDRWL_CNT,features.WTHDRWL_CNT,B_WTHDRWL_CNT,2,139,>=,6,,,,,
WTHDRWL_CNT,features.WTHDRWL_CNT,B_WTHDRWL_CNT,1,125,=,Missing/NULL,,,,,
TOT_C_DT_FNC_CHRG_KSC_MAX3M,features.TOT_C_DT_FNC_CHRG_KSC_MAX3M,B_TOT_C_DT_FNC_CHRG_KSC_MAX3M,1,112,,,<,31,,,
TOT_C_DT_FNC_CHRG_KSC_MAX3M,features.TOT_C_DT_FNC_CHRG_KSC_MAX3M,B_TOT_C_DT_FNC_CHRG_KSC_MAX3M,2,137,>=,31,,,,,
TOT_C_DT_FNC_CHRG_KSC_MAX3M,features.TOT_C_DT_FNC_CHRG_KSC_MAX3M,B_TOT_C_DT_FNC_CHRG_KSC_MAX3M,1,112,=,Missing/NULL,,,,,
BC33_MAX12M,features.BC33_MAX12M,B_BC33_MAX12M,1,126,,,<,3491,,,
BC33_MAX12M,features.BC33_MAX12M,B_BC33_MAX12M,2,136,>=,3491,,,,,
BC33_MAX12M,features.BC33_MAX12M,B_BC33_MAX12M,1,126,=,Missing/NULL,,,,,
AT147_MIN6M,features.AT147_MIN6M,B_AT147_MIN6M,1,124,,,<,99,,,
AT147_MIN6M,features.AT147_MIN6M,B_AT147_MIN6M,2,149,>=,99,,,,,
AT147_MIN6M,features.AT147_MIN6M,B_AT147_MIN6M,1,124,=,Missing/NULL,,,,,
AT94_MIN24M,features.AT94_MIN24M,B_AT94_MIN24M,1,136,,,<,44147,,,
AT94_MIN24M,features.AT94_MIN24M,B_AT94_MIN24M,2,119,>=,44147,,,,,
AT94_MIN24M,features.AT94_MIN24M,B_AT94_MIN24M,1,136,=,Missing/NULL,,,,,
