Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
STEP_UTIL_KSA,features.STEP_UTIL_KSA,B_STEP_UTIL_KSA,1,143,,,<,0.79,,,
STEP_UTIL_KSA,features.STEP_UTIL_KSA,B_STEP_UTIL_KSA,2,130,>=,0.79,<,0.97,,,
STEP_UTIL_KSA,features.STEP_UTIL_KSA,B_STEP_UTIL_KSA,3,116,>=,0.97,<,1,,,
STEP_UTIL_KSA,features.STEP_UTIL_KSA,B_STEP_UTIL_KSA,4,88,>=,1,,,,,
STEP_UTIL_KSA,features.STEP_UTIL_KSA,B_STEP_UTIL_KSA,1,143,=,Missing/NULL,,,,,
STEP_BNS_DLQNT_DAY_KSA_MAX24M,features.STEP_BNS_DLQNT_DAY_KSA_MAX24M,B_STEP_BNS_DLQNT_DAY_KSA_MAX24M,1,142,,,<,28,,,
STEP_BNS_DLQNT_DAY_KSA_MAX24M,features.STEP_BNS_DLQNT_DAY_KSA_MAX24M,B_STEP_BNS_DLQNT_DAY_KSA_MAX24M,2,124,>=,28,<,38,,,
STEP_BNS_DLQNT_DAY_KSA_MAX24M,features.STEP_BNS_DLQNT_DAY_KSA_MAX24M,B_STEP_BNS_DLQNT_DAY_KSA_MAX24M,3,111,>=,38,<,64,,,
STEP_BNS_DLQNT_DAY_KSA_MAX24M,features.STEP_BNS_DLQNT_DAY_KSA_MAX24M,B_STEP_BNS_DLQNT_DAY_KSA_MAX24M,4,79,>=,64,,,,,
STEP_BNS_DLQNT_DAY_KSA_MAX24M,features.STEP_BNS_DLQNT_DAY_KSA_MAX24M,B_STEP_BNS_DLQNT_DAY_KSA_MAX24M,1,142,=,Missing/NULL,,,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,B_D2D_BAL_AMT_WITHNULL,1,105,,,<,118,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,B_D2D_BAL_AMT_WITHNULL,2,114,>=,118,<,787,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,B_D2D_BAL_AMT_WITHNULL,3,127,>=,787,<,3320,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,B_D2D_BAL_AMT_WITHNULL,4,143,>=,3320,,,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,B_D2D_BAL_AMT_WITHNULL,2,114,=,Missing/NULL,,,,,
TOT_PAYRL_AMT_MIN3M,features.TOT_PAYRL_AMT_MIN3M,B_TOT_PAYRL_AMT_MIN3M,1,113,,,<,5,,,
TOT_PAYRL_AMT_MIN3M,features.TOT_PAYRL_AMT_MIN3M,B_TOT_PAYRL_AMT_MIN3M,2,122,>=,5,<,2120,,,
TOT_PAYRL_AMT_MIN3M,features.TOT_PAYRL_AMT_MIN3M,B_TOT_PAYRL_AMT_MIN3M,3,135,>=,2120,<,4281,,,
TOT_PAYRL_AMT_MIN3M,features.TOT_PAYRL_AMT_MIN3M,B_TOT_PAYRL_AMT_MIN3M,4,157,>=,4281,,,,,
TOT_PAYRL_AMT_MIN3M,features.TOT_PAYRL_AMT_MIN3M,B_TOT_PAYRL_AMT_MIN3M,1,113,=,Missing/NULL,,,,,
NSF_CNT_MAX24M,features.NSF_CNT_MAX24M,B_NSF_CNT_MAX24M,1,125,,,<,1,,,
NSF_CNT_MAX24M,features.NSF_CNT_MAX24M,B_NSF_CNT_MAX24M,2,102,>=,1,,,,,
NSF_CNT_MAX24M,features.NSF_CNT_MAX24M,B_NSF_CNT_MAX24M,1,125,=,Missing/NULL,,,,,
AT94,features.AT94,B_AT94,1,105,,,<,8126,,,
AT94,features.AT94,B_AT94,2,112,>=,8126,<,19001,,,
AT94,features.AT94,B_AT94,3,118,>=,19001,<,43809,,,
AT94,features.AT94,B_AT94,4,126,>=,43809,<,107253,,,
AT94,features.AT94,B_AT94,5,135,>=,107253,,,,,
AT94,features.AT94,B_AT94,1,105,=,Missing/NULL,,,,,
GO11_MIN3M,features.GO11_MIN3M,B_GO11_MIN3M,1,104,,,<,82,,,
GO11_MIN3M,features.GO11_MIN3M,B_GO11_MIN3M,2,115,>=,82,<,91,,,
GO11_MIN3M,features.GO11_MIN3M,B_GO11_MIN3M,3,122,>=,91,<,96,,,
GO11_MIN3M,features.GO11_MIN3M,B_GO11_MIN3M,4,133,>=,96,,,,,
GO11_MIN3M,features.GO11_MIN3M,B_GO11_MIN3M,1,104,=,Missing/NULL,,,,,
STEP_TOT_CR_BAL_DPD30_90_KSA_AVG3M,features.STEP_TOT_CR_BAL_DPD30_90_KSA_AVG3M,B_STEP_TOT_CR_BAL_DPD30_90_KSA_AVG3M,1,130,,,<,2913,,,
STEP_TOT_CR_BAL_DPD30_90_KSA_AVG3M,features.STEP_TOT_CR_BAL_DPD30_90_KSA_AVG3M,B_STEP_TOT_CR_BAL_DPD30_90_KSA_AVG3M,2,95,>=,2913,,,,,
STEP_TOT_CR_BAL_DPD30_90_KSA_AVG3M,features.STEP_TOT_CR_BAL_DPD30_90_KSA_AVG3M,B_STEP_TOT_CR_BAL_DPD30_90_KSA_AVG3M,1,130,=,Missing/NULL,,,,,
