Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
STEP_TOT_LEND_VALUE_ACCT,features.STEP_TOT_LEND_VALUE_ACCT,STEP_TOT_LEND_VALUE_ACCT,1,155,,,<,173500,,,
STEP_TOT_LEND_VALUE_ACCT,features.STEP_TOT_LEND_VALUE_ACCT,STEP_TOT_LEND_VALUE_ACCT,1,155,=,Missing/NULL,,,,,
STEP_TOT_LEND_VALUE_ACCT,features.STEP_TOT_LEND_VALUE_ACCT,STEP_TOT_LEND_VALUE_ACCT,2,138,>=,173500,,,,,
TOT_C_DT_FNC_CHRG_KSC_MAX3M,features.TOT_C_DT_FNC_CHRG_KSC_MAX3M,TOT_C_DT_FNC_CHRG_KSC_MAX3M,1,139,,,<,234.425,,,
TOT_C_DT_FNC_CHRG_KSC_MAX3M,features.TOT_C_DT_FNC_CHRG_KSC_MAX3M,TOT_C_DT_FNC_CHRG_KSC_MAX3M,1,139,=,Missing/NULL,,,,,
TOT_C_DT_FNC_CHRG_KSC_MAX3M,features.TOT_C_DT_FNC_CHRG_KSC_MAX3M,TOT_C_DT_FNC_CHRG_KSC_MAX3M,2,151,>=,234.425,,,,,
STEP_LTV_MIN6M_ACCT,features.STEP_LTV_MIN6M_ACCT,STEP_LTV_MIN6M_ACCT,1,133,,,<,0.61940,,,
STEP_LTV_MIN6M_ACCT,features.STEP_LTV_MIN6M_ACCT,STEP_LTV_MIN6M_ACCT,2,150,>=,0.61940,,,,,
STEP_LTV_MIN6M_ACCT,features.STEP_LTV_MIN6M_ACCT,STEP_LTV_MIN6M_ACCT,2,150,=,Missing/NULL,,,,,
BC33_MAX3M,features.BC33_MAX3M,BC33_MAX3M,1,138,,,<,12884,,,
BC33_MAX3M,features.BC33_MAX3M,BC33_MAX3M,1,138,=,Missing/NULL,,,,,
BC33_MAX3M,features.BC33_MAX3M,BC33_MAX3M,2,151,>=,12884,,,,,
STEP_INDEXED_APRSD_VAL_ACCT,features.STEP_INDEXED_APRSD_VAL_ACCT,STEP_INDEXED_APRSD_VAL_ACCT,1,151,,,<,195898.95312,,,
STEP_INDEXED_APRSD_VAL_ACCT,features.STEP_INDEXED_APRSD_VAL_ACCT,STEP_INDEXED_APRSD_VAL_ACCT,2,140,>=,195898.95312,,,,,
STEP_INDEXED_APRSD_VAL_ACCT,features.STEP_INDEXED_APRSD_VAL_ACCT,STEP_INDEXED_APRSD_VAL_ACCT,2,140,=,Missing/NULL,,,,,
BI33_MAX24M,features.BI33_MAX24M,BI33_MAX24M,1,140,,,<,252.5,,,
BI33_MAX24M,features.BI33_MAX24M,BI33_MAX24M,1,140,=,Missing/NULL,,,,,
BI33_MAX24M,features.BI33_MAX24M,BI33_MAX24M,2,148,>=,252.5,,,,,
