Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
STEP_DELQ_DAYS_AVG12M,features.STEP_DELQ_DAYS_AVG12M,STEP_DELQ_DAYS_AVG12M,1,110,=,Missing/NULL,,,,,
STEP_DELQ_DAYS_AVG12M,features.STEP_DELQ_DAYS_AVG12M,STEP_DELQ_DAYS_AVG12M,1,110,,,<,0.04,,,
STEP_DELQ_DAYS_AVG12M,features.STEP_DELQ_DAYS_AVG12M,STEP_DELQ_DAYS_AVG12M,2,90,>=,0.04,<,4.76,,,
STEP_DELQ_DAYS_AVG12M,features.STEP_DELQ_DAYS_AVG12M,STEP_DELQ_DAYS_AVG12M,3,75,>=,4.76,<,14.82,,,
STEP_DELQ_DAYS_AVG12M,features.STEP_DELQ_DAYS_AVG12M,STEP_DELQ_DAYS_AVG12M,4,45,>=,14.82,,,,,
UTIL_KSC,features.UTIL_KSC,UTIL_KSC,1,103,,,<,0.71,,,
UTIL_KSC,features.UTIL_KSC,UTIL_KSC,2,91,>=,0.71,<,0.95,,,
UTIL_KSC,features.UTIL_KSC,UTIL_KSC,3,81,>=,0.95,<,1,,,
UTIL_KSC,features.UTIL_KSC,UTIL_KSC,3,81,=,Missing/NULL,,,,,
UTIL_KSC,features.UTIL_KSC,UTIL_KSC,4,63,>=,1,,,,,
D2D_BAL_AMT_MIN6M,features.D2D_BAL_AMT_MIN6M,D2D_BAL_AMT_MIN6M,1,80,,,<,30,,,
D2D_BAL_AMT_MIN6M,features.D2D_BAL_AMT_MIN6M,D2D_BAL_AMT_MIN6M,2,87,=,Missing/NULL,,,,,
D2D_BAL_AMT_MIN6M,features.D2D_BAL_AMT_MIN6M,D2D_BAL_AMT_MIN6M,2,87,>=,30,<,141,,,
D2D_BAL_AMT_MIN6M,features.D2D_BAL_AMT_MIN6M,D2D_BAL_AMT_MIN6M,3,94,>=,141,<,1158,,,
D2D_BAL_AMT_MIN6M,features.D2D_BAL_AMT_MIN6M,D2D_BAL_AMT_MIN6M,4,104,>=,1158,,,,,
