Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
BR34_AVG3M,features.BR34_AVG3M,B_BR34_AVG3M,1,121,,,<,16,,,
BR34_AVG3M,features.BR34_AVG3M,B_BR34_AVG3M,2,115,>=,16,<,50,,,
BR34_AVG3M,features.BR34_AVG3M,B_BR34_AVG3M,3,108,>=,50,<,88,,,
BR34_AVG3M,features.BR34_AVG3M,B_BR34_AVG3M,4,101,>=,88,<,99,,,
BR34_AVG3M,features.BR34_AVG3M,B_BR34_AVG3M,5,89,>=,99,,,,,
BR34_AVG3M,features.BR34_AVG3M,B_BR34_AVG3M,5,89,=,Missing/Null,,,,,
STEP_HGST_DLQNT_MTH_MTG_MAX12M,features.STEP_HGST_DLQNT_MTH_MTG_MAX12M,B_STEP_HGST_DLQNT_MTH_MTG_MAX12M,1,126,,,<,1,,,
STEP_HGST_DLQNT_MTH_MTG_MAX12M,features.STEP_HGST_DLQNT_MTH_MTG_MAX12M,B_STEP_HGST_DLQNT_MTH_MTG_MAX12M,1,126,=,Missing/Null,,,,,
STEP_HGST_DLQNT_MTH_MTG_MAX12M,features.STEP_HGST_DLQNT_MTH_MTG_MAX12M,B_STEP_HGST_DLQNT_MTH_MTG_MAX12M,2,51,>=,1,,,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,B_D2D_BAL_AMT_WITHNULL,1,92,,,<,0,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,B_D2D_BAL_AMT_WITHNULL,2,100,>=,0,<,657,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,B_D2D_BAL_AMT_WITHNULL,3,109,>=,657,<,3038,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,B_D2D_BAL_AMT_WITHNULL,3,109,=,Missing/Null,,,,,
D2D_BAL_AMT_WITHNULL,features.D2D_BAL_AMT_WITHNULL,B_D2D_BAL_AMT_WITHNULL,4,126,>=,3038,,,,,
AT36,features.AT36,B_AT36,1,82,,,<,4,,,
AT36,features.AT36,B_AT36,2,98,>=,4,<,10,,,
AT36,features.AT36,B_AT36,3,107,>=,10,<,34,,,
AT36,features.AT36,B_AT36,4,120,,,,,,,
TOT_DEP_AMT_MIN12M,features.TOT_DEP_AMT_MIN12M,B_TOT_DEP_AMT_MIN12M,1,98,,,<,2169,,,
TOT_DEP_AMT_MIN12M,features.TOT_DEP_AMT_MIN12M,B_TOT_DEP_AMT_MIN12M,2,109,>=,2169,<,3689,,,
TOT_DEP_AMT_MIN12M,features.TOT_DEP_AMT_MIN12M,B_TOT_DEP_AMT_MIN12M,2,109,=,Missing/Null,,,,,
TOT_DEP_AMT_MIN12M,features.TOT_DEP_AMT_MIN12M,B_TOT_DEP_AMT_MIN12M,3,123,>=,3689,,,,,
AT94,features.AT94,B_AT94,1,94,,,<,3408,,,
AT94,features.AT94,B_AT94,1,94,=,Missing/Null,,,,,
AT94,features.AT94,B_AT94,2,100,>=,3408,<,14199,,,
AT94,features.AT94,B_AT94,3,107,>=,14199,<,37792,,,
AT94,features.AT94,B_AT94,4,119,>=,37792,,,,,
STEP_AMORT,features.STEP_AMORT,B_STEP_AMORT,1,112,,,<,160,,,
STEP_AMORT,features.STEP_AMORT,B_STEP_AMORT,2,107,>=,160,,,,,
STEP_AMORT,features.STEP_AMORT,B_STEP_AMORT,2,107,=,Missing/Null,,,,,
GO04_MAX24M,features.GO04_MAX24M,B_GO04_MAX24M,1,110,,,<,10,,,
GO04_MAX24M,features.GO04_MAX24M,B_GO04_MAX24M,1,110,=,Missing/Null,,,,,
GO04_MAX24M,features.GO04_MAX24M,B_GO04_MAX24M,2,102,>=,10,<,13,,,
GO04_MAX24M,features.GO04_MAX24M,B_GO04_MAX24M,3,96,>=,13,,,,,
STEP_TOT_PREPAY_YTD_MTG_MAX12M,features.STEP_TOT_PREPAY_YTD_MTG_MAX12M,B_STEP_TOT_PREPAY_YTD_MTG_MAX12M,1,107,,,<,431,,,
STEP_TOT_PREPAY_YTD_MTG_MAX12M,features.STEP_TOT_PREPAY_YTD_MTG_MAX12M,B_STEP_TOT_PREPAY_YTD_MTG_MAX12M,1,107,=,Missing/Null,,,,,
STEP_TOT_PREPAY_YTD_MTG_MAX12M,features.STEP_TOT_PREPAY_YTD_MTG_MAX12M,B_STEP_TOT_PREPAY_YTD_MTG_MAX12M,2,127,>=,431,,,,,
