PD Band Exposure Class Key Value,PD Minimum Value,PD Maximum Value,PD Minimum Value Description,PD Maximum Value Description,NCR PD Band Key Value,PD Band Exposure Class Description,NCR PD Band  Description,FRS Code,PD Band,Transactor Flag,CMHC Flag
0500,,,,,1400,Total Retail,Total PD Band,,,,
0500,,,,,1401,Total Retail,PD Band 1,1,1,,
0500,,,,,1402,Total Retail,PD Band 2,2,2,,
0500,,,,,1403,Total Retail,PD Band 3,3,3,,
0500,,,,,1404,Total Retail,PD Band 4,4,4,,
0500,,,,,1405,Total Retail,PD Band 5,5,5,,
0500,,,,,1406,Total Retail,PD Band 6,6,6,,
0500,,,,,1407,Total Retail,PD Band 7,7,7,,
0500,,,,,1408,Total Retail,PD Band 8,8,8,,
0500,,,,,1409,Total Retail,PD Band 9,9,9,,
0500,,,,,1410,Total Retail,PD Band 10,10,10,,
0500,,,,,1411,Total Retail,PD Band 11,11,11,,
0500,,,,,1412,Total Retail,PD Band 12,12,12,,
0500,,,,,1413,Total Retail,PD Band 13,13,13,,
0500,,,,,1414,Total Retail,PD Band 14,14,14,,
0500,,,,,1426,Total Retail,Defaulted - 100%,26,26,,
0500,,,,,1499,Total Retail,No PD Band,,,,
0501,,,,,1400,Mortgage and HELOC,Total PD Band,,,,
0501,,,,,1401,Mortgage and HELOC,PD Band 1,1,1,,
0501,,,,,1402,Mortgage and HELOC,PD Band 2,2,2,,
0501,,,,,1403,Mortgage and HELOC,PD Band 3,3,3,,
0501,,,,,1404,Mortgage and HELOC,PD Band 4,4,4,,
0501,,,,,1405,Mortgage and HELOC,PD Band 5,5,5,,
0501,,,,,1406,Mortgage and HELOC,PD Band 6,6,6,,
0501,,,,,1407,Mortgage and HELOC,PD Band 7,7,7,,
0501,,,,,1408,Mortgage and HELOC,PD Band 8,8,8,,
0501,,,,,1409,Mortgage and HELOC,PD Band 9,9,9,,
0501,,,,,1410,Mortgage and HELOC,PD Band 10,10,10,,
0501,,,,,1411,Mortgage and HELOC,PD Band 11,11,11,,
0501,,,,,1412,Mortgage and HELOC,PD Band 12,12,12,,
0501,,,,,1413,Mortgage and HELOC,PD Band 13,13,13,,
0501,,,,,1414,Mortgage and HELOC,PD Band 14,14,14,,
0501,,,,,1426,Mortgage and HELOC,Defaulted - 100%,26,26,,
0501,,,,,1499,Mortgage and HELOC,No PD Band,,,,
0502,-1,-1,,,1400,Mortgage,Total PD Band,,,,Y
0502,0.00050000,0.00050000,0.0500%,0.0500%,1401,Mortgage,PD Band 1,1,1,,Y
0502,0.00050001,0.00094010,0.0500%,0.0940%,1402,Mortgage,PD Band 2,2,2,,Y
0502,0.00094011,0.00195692,0.0940%,0.1956%,1403,Mortgage,PD Band 3,3,3,,Y
0502,0.00195693,0.00349995,0.1956%,0.3499%,1404,Mortgage,PD Band 4,4,4,,Y
0502,0.00349996,0.00729709,0.3499%,0.7297%,1405,Mortgage,PD Band 5,5,5,,Y
0502,0.00729710,0.01860308,0.7297%,1.8603%,1406,Mortgage,PD Band 6,6,6,,Y
0502,0.01860309,0.02376049,1.8603%,2.3760%,1407,Mortgage,PD Band 7,7,7,,Y
0502,0.02376050,0.08712833,2.3760%,8.7128%,1408,Mortgage,PD Band 8,8,8,,Y
0502,0.08712834,0.10015366,8.7128%,10.0153%,1409,Mortgage,PD Band 9,9,9,,Y
0502,0.10015367,0.18861109,10.0153%,18.8611%,1410,Mortgage,PD Band 10,10,10,,Y
0502,0.18861110,0.37139920,18.8611%,37.1399%,1411,Mortgage,PD Band 11,11,11,,Y
0502,0.37139921,0.57352111,37.1399%,57.3521%,1412,Mortgage,PD Band 12,12,12,,Y
0502,0.57352112,0.99999999,57.3521%,99.9999%,1413,Mortgage,PD Band 13,13,13,,Y
0502,1,1,100.00%,100.00%,1426,Mortgage,Defaulted - 100%,26,26,,Y
0502,-2,-2,,,1499,Mortgage,No PD Band,,,,Y
0502,-1,-1,,,1400,Mortgage,Total PD Band,,,,
0502,0.00050000,0.00050000,0.0500%,0.0500%,1401,Mortgage,PD Band 1,1,1,,
0502,0.00050001,0.00094010,0.0500%,0.0940%,1402,Mortgage,PD Band 2,2,2,,
0502,0.00094011,0.00195692,0.0940%,0.1956%,1403,Mortgage,PD Band 3,3,3,,
0502,0.00195693,0.00349995,0.1956%,0.3499%,1404,Mortgage,PD Band 4,4,4,,
0502,0.00349996,0.00729709,0.3499%,0.7297%,1405,Mortgage,PD Band 5,5,5,,
0502,0.00729710,0.01860308,0.7297%,1.8603%,1406,Mortgage,PD Band 6,6,6,,
0502,0.01860309,0.02376049,1.8603%,2.3760%,1407,Mortgage,PD Band 7,7,7,,
0502,0.02376050,0.08712833,2.3760%,8.7128%,1408,Mortgage,PD Band 8,8,8,,
0502,0.08712834,0.10015366,8.7128%,10.0153%,1409,Mortgage,PD Band 9,9,9,,
0502,0.10015367,0.18861109,10.0153%,18.8611%,1410,Mortgage,PD Band 10,10,10,,
0502,0.18861110,0.37139920,18.8611%,37.1399%,1411,Mortgage,PD Band 11,11,11,,
0502,0.37139921,0.57352111,37.1399%,57.3521%,1412,Mortgage,PD Band 12,12,12,,
0502,0.57352112,0.99999999,57.3521%,99.9999%,1413,Mortgage,PD Band 13,13,13,,
0502,1,1,100.00%,100.00%,1426,Mortgage,Defaulted - 100%,26,26,,
0502,-2,-2,,,1499,Mortgage,No PD Band,,,,
0503,-1,-1,,,1400,HELOC,Total PD Band,,,,
0503,0.00050000,0.00050000,0.0500%,0.0500%,1401,HELOC,PD Band 1,1,1,,
0503,0.00050001,0.00151884,0.0500%,0.1518%,1402,HELOC,PD Band 2,2,2,,
0503,0.00151885,0.00717040,0.1518%,0.7170%,1403,HELOC,PD Band 3,3,3,,
