"GENL_LEDGER_ACCT_NUM","TRNST_NUM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","GENL_LEDGER_DESC","RCON_RLP_CD","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
"1557963   ","01172","201510","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1557963   ","30122","201510","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1557963   ","32219","201510","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1557963   ","50872","201510","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","00182","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","00208","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","25486","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","41889","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","41962","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","42432","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","50146","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","50393","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","51532","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","53280","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","63032","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","63099","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","71803","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558064   ","00752","201510","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558560   ","10454","201510","999912",IMP-SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1558560   ","03251","201510","999912",IMP-SPL-DIR-VAR-RES,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1615769   ","11080","201510","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1615769   ","11213","201510","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1615769   ","21550","201510","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1615769   ","21782","201510","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1615769   ","23556","201510","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1615769   ","40006","201510","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1615769   ","51110","201510","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1615769   ","52209","201510","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1615769   ","63172","201510","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1615769   ","70920","201510","999912",UNAPPLIED FUNDS-SPL,SPL       ,Y,2015-12-07-11.19.25.000000,2015-12-07-11.19.25.000000
"1687662   ","75457","201509","999912",R MTG-NHA,MOR       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1557963   ","20206","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1557963   ","20842","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1557963   ","02790","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1904264   ","70813","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","60137","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","50740","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","00836","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","50112","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1904264   ","71407","200001","999912",ACCRD INT-SPL-RLP,SPL       ,Y,2015-07-13-14.16.35.000000,2015-07-13-14.16.35.000000
"1558064   ","61549","201502","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-03-22-12.11.03.000000,2015-03-22-12.11.03.000000
"1558064   ","40972","201409","999912",SPL-DIR-VAR-RES,SPL       ,Y,2014-11-08-01.57.08.000000,2014-11-08-01.57.08.000000
"1558064   ","00992","201505","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-06-19-11.16.10.000000,2015-06-19-11.16.10.000000
"1558064   ","80218","201506","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-08-01-22.32.11.000000,2015-08-01-22.32.11.000000
"1558064   ","32193","201506","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-08-01-22.32.11.000000,2015-08-01-22.32.11.000000
"1559362   ","38646","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1559362   ","77982","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1559362   ","94102","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1559362   ","60038","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1559362   ","10470","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1559362   ","55202","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1559362   ","40691","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1559362   ","00273","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1559362   ","91652","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1559362   ","01529","201407","999912",SPL-DAILY INTEREST,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1557963   ","01529","201411","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-12-12-14.38.59.000000,2014-12-12-14.38.59.000000
"1557963   ","50732","201410","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-10-18.44.18.000000,2014-11-10-18.44.18.000000
"1557963   ","60442","201408","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-08-01.17.26.000000,2014-11-08-01.17.26.000000
"1557963   ","50120","201410","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-10-18.44.18.000000,2014-11-10-18.44.18.000000
"1557963   ","48116","201504","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-05-08-17.46.19.000000,2015-05-08-17.46.19.000000
"1557963   ","70524","201408","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-08-01.17.26.000000,2014-11-08-01.17.26.000000
"1557963   ","90399","201503","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-04-16-15.28.10.000000,2015-04-16-15.28.10.000000
"1557963   ","58826","201503","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-04-16-15.28.10.000000,2015-04-16-15.28.10.000000
"1557963   ","44222","201408","999912",SPL-DIR-FXD-RES,SPL       ,Y,2014-11-08-01.17.26.000000,2014-11-08-01.17.26.000000
"1557963   ","78956","201506","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-08-01-22.32.11.000000,2015-08-01-22.32.11.000000
"1558463   ","70300","201411","999912",IMP-SPL-DIR-FXD-RES,SPL       ,Y,2014-12-12-14.38.59.000000,2014-12-12-14.38.59.000000
"1558463   ","60384","201408","999912",IMP-SPL-DIR-FXD-RES,SPL       ,Y,2014-11-08-01.17.26.000000,2014-11-08-01.17.26.000000
"1558463   ","70482","201407","999912",IMP-SPL-DIR-FXD-RES,SPL       ,Y,2014-11-04-19.22.32.000000,2014-11-04-19.22.32.000000
"1557963   ","32292","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1557963   ","41160","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1557963   ","47852","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1557963   ","50260","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1557963   ","50922","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1557963   ","61432","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1557963   ","64832","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1557963   ","73502","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1557963   ","88666","201509","999912",SPL-DIR-FXD-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1558064   ","10207","201509","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
"1558064   ","10603","201509","999912",SPL-DIR-VAR-RES,SPL       ,Y,2015-10-20-10.46.21.000000,2015-10-20-10.46.21.000000
