"NCR_BD_RECD_TP_ID","NCR_RECD_TP_CD","NCR_RECD_DESC","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
3001,"000       ",File Header,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3002,"005       ",Declaration of Probability of Default Bands by Exposure Class,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3003,"010       ",OUTSTANDING; SECURITIZATION,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3004,"015       ",OUTSTANDING; GEOGRAPHY,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3005,"020       ",OUTSTANDING; LTV,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3006,"025       ",OUTSTANDING; RATES,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3007,"030       ",OUTSTANDING; EXPOSURE CLASS SIZE; MORTGAGE AND QRRE,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3008,"035       ",OUTSTANDING; EXPOSURE CLASS SIZE; MORTGAGE AND HELOC,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3009,"040       ",ACCOUNTS OVER LIMIT,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3010,"045       ",FRAUD LOSSES AND NUMBER OF ACCOUNTS WRITTEN OFF,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3011,"047       ",WRITE OFFS AND EXPECTED LOSSES,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3013,"055       ",DELINQUENCY BUCKETS,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3014,"060       ",AVERAGE UTILIZATION RATE BY PD BAND,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3015,"065       ",AUTHORIZED AND OUTSTANDING BY PD BAND,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3016,"070       ",LOAN COUNTS BY PD BAND,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3017,"080       ",IMPAIRMENTS AND IMPAIRMENT REVERSALS,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3018,"090       ",OTHER CHANGES IN IMPAIRMENTS AND ALLOWANCES,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3019,"999       ",File Footer,"200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
3012,"050       ","RECOVERIES, ECONOMIC LOSSES AND IRB CAPITAL","200010","999912",Y,2014-10-02-10.53.06.000000,2014-10-02-10.53.06.000000
