"NCR_EXPSR_SIZE_ID","NCR_KEY_VAL","MIN_BAL_AMT","MAX_BAL_AMT","NCR_DESC","FRS_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
8001,"1500",-9999999999.000,5000.000,Less than $5k,"1         ","200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8002,"1501",5000.000,10000.000,$5k to less than $10k,"2         ","200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8003,"1502",10000.000,15000.000,$10k to less than $15k,"3         ","200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8004,"1503",15000.000,20000.000,$15k to less than $20k,"4         ","200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8005,"1504",20000.000,50000.000,$20k to less than $50k,"5         ","200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8006,"1505",50000.000,,$50k and over,,"200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8007,"1506",,50000.000,Less than $50k,,"200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8008,"1507",50000.000,100000.000,$50k to less than $100k,"8         ","200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8009,"1508",100000.000,250000.000,$100k to less than $250k,"9         ","200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8010,"1509",250000.000,500000.000,$250k to less than $500k,"10        ","200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8011,"1510",500000.000,99999999999999.000,$500k and over,"11        ","200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8013,"1599",,,No Exposure Size,,"200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
8012,"1598",,,Unknown,,"200010","999912",Y,2014-10-02-10.54.09.000000,2014-10-02-10.54.09.000000
