"NCR_KEY_VAL","NCR_PRNT_KEY_VAL","NCR_KEY_DESC","NCR_PRNT_KEY_DESC","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
"0304","0304",Manitoba,Manitoba,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0305","0300",New Brunswick,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0305","0301",New Brunswick,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0305","0305",New Brunswick,New Brunswick,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0306","0300",Newfoundland and Labrador,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0306","0301",Newfoundland and Labrador,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0306","0306",Newfoundland and Labrador,Newfoundland and Labrador,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0307","0300",Northwest Territories,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0310","0300",Ontario,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0310","0301",Ontario,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0310","0310",Ontario,Ontario,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0311","0300",Prince Edward Island,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0311","0301",Prince Edward Island,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0311","0311",Prince Edward Island,Prince Edward Island,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0312","0300",Quebec,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0312","0301",Quebec,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0314","0314",Yukon,Yukon,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0315","0300",United States,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0315","0315",United States,United States,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0316","0300",Mexico,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0316","0316",Mexico,Mexico,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0317","0300",Other Latin America and Caribbean,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0317","0317",Other Latin America and Caribbean,Other Latin America and Caribbean,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0318","0300",Europe,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0403","0403","75% to less than 90% LTV","75% to less than 90% LTV",2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0404","0400","90% and over LTV",Total LTVs,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0404","0404","90% and over LTV","90% and over LTV",2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0405","0400",Unclassified,Total LTVs,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0405","0405",Unclassified,Unclassified,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0503","0500",HELOC,Total Retail,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0503","0501",HELOC,Mortgage and HELOC,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0503","0503",HELOC,HELOC,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0512","0500",Residential Mortgage - Non-Insured,Total Retail,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0512","0501",Residential Mortgage - Non-Insured,Mortgage and HELOC,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0512","0502",Residential Mortgage - Non-Insured,Mortgage,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0512","0512",Residential Mortgage - Non-Insured,Residential Mortgage - Non-Insured,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0701","0700",Fixed Rate,Total Rates,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0701","0701",Fixed Rate,Fixed Rate,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0702","0700",Variable Rate,Total Rates,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0702","0702",Variable Rate,Variable Rate,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0802","0800","1 to 30 Days",Total Delinquency Buckets,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0802","0802","1 to 30 Days","1 to 30 Days",2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0803","0800","31 to 60 Days",Total Delinquency Buckets,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0803","0803","31 to 60 Days","31 to 60 Days",2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0804","0800","61 to 90 Days",Total Delinquency Buckets,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0804","0804","61 to 90 Days","61 to 90 Days",2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0302","0300",Alberta,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0302","0301",Alberta,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0302","0302",Alberta,Alberta,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0303","0300",British Columbia,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0303","0301",British Columbia,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0303","0303",British Columbia,British Columbia,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0304","0300",Manitoba,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0304","0301",Manitoba,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0312","0312",Quebec,Quebec,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0313","0300",Saskatchewan,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0313","0301",Saskatchewan,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0313","0313",Saskatchewan,Saskatchewan,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0314","0300",Yukon,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0314","0301",Yukon,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0318","0318",Europe,Europe,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0319","0300",All Other,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0319","0319",All Other,All Other,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0401","0400",<60% LTV,Total LTVs,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0401","0401",<60% LTV,<60% LTV,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0402","0400","60% to less than 75% LTV",Total LTVs,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0402","0402","60% to less than 75% LTV","60% to less than 75% LTV",2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0403","0400","75% to less than 90% LTV",Total LTVs,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0510","0500",Residential Mortgage - CMHC Insured,Total Retail,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0510","0501",Residential Mortgage - CMHC Insured,Mortgage and HELOC,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0510","0502",Residential Mortgage - CMHC Insured,Mortgage,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0510","0510",Residential Mortgage - CMHC Insured,Residential Mortgage - CMHC Insured,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0511","0500",Residential Mortgage - Other Insured,Total Retail,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0511","0501",Residential Mortgage - Other Insured,Mortgage and HELOC,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0511","0502",Residential Mortgage - Other Insured,Mortgage,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0511","0511",Residential Mortgage - Other Insured,Residential Mortgage - Other Insured,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0801","0800",Current,Total Delinquency Buckets,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0801","0801",Current,Current,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1409","1400",PD Band 9,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1409","1409",PD Band 9,PD Band 9,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1410","1400",PD Band 10,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1410","1410",PD Band 10,PD Band 10,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1411","1400",PD Band 11,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1411","1411",PD Band 11,PD Band 11,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1412","1400",PD Band 12,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1412","1412",PD Band 12,PD Band 12,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1417","1400",PD Band 17,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1417","1417",PD Band 17,PD Band 17,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1418","1400",PD Band 18,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1418","1418",PD Band 18,PD Band 18,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1419","1400",PD Band 19,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1419","1419",PD Band 19,PD Band 19,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1420","1400",PD Band 20,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0307","0301",Northwest Territories,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0307","0307",Northwest Territories,Northwest Territories,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0308","0300",Nova Scotia,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0308","0301",Nova Scotia,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0308","0308",Nova Scotia,Nova Scotia,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0309","0300",Nunavut,Total Geography,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
