"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MAX_VAL","PD_MIN_VAL","FRS_CD","PD_MIN_VAL_DESC","EFF_FROM_YR_MTH","PD_MAX_VAL_DESC","EFF_TO_YR_MTH","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","PD_BAND","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17001,"1400","0502",-1.00000000,-1.00000000,,,"200010",,"999912",Mortgage,Total PD Band,,Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17002,"1401","0502",0.00047300,0.00000000,"1         ","0.0000%","200010","0.0473%","999912",Mortgage,PD Band 1,"1         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17003,"1402","0502",0.00099100,0.00047400,"2         ","0.0474%","200010","0.0991%","999912",Mortgage,PD Band 2,"2         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17004,"1403","0502",0.00161200,0.00099200,"3         ","0.0992%","200010","0.1612%","999912",Mortgage,PD Band 3,"3         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17005,"1404","0502",0.00239000,0.00161300,"4         ","0.1613%","200010","0.2390%","999912",Mortgage,PD Band 4,"4         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17006,"1405","0502",0.00366900,0.00239100,"5         ","0.2391%","200010","0.3669%","999912",Mortgage,PD Band 5,"5         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17007,"1406","0502",0.00694700,0.00367000,"6         ","0.3670%","200010","0.6947%","999912",Mortgage,PD Band 6,"6         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17008,"1407","0502",0.00965700,0.00694800,"7         ","0.6948%","200010","0.9657%","999912",Mortgage,PD Band 7,"7         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17009,"1408","0502",0.01255500,0.00965800,"8         ","0.9658%","200010","1.2555%","999912",Mortgage,PD Band 8,"8         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17010,"1409","0502",0.02215600,0.01255600,"9         ","1.2556%","200010","2.2156%","999912",Mortgage,PD Band 9,"9         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17031,"1413","0503",0.56761200,0.29894900,"13        ","29.8949%","200010","56.7612%","999912",HELOC,PD Band 13,"13        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17032,"1414","0503",0.99999900,0.56761300,"14        ","56.7613%","200010","99.9999%","999912",HELOC,PD Band 14,"14        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17033,"1426","0503",1.00000000,1.00000000,"26        ","100.0000%","200010","100.0000%","999912",HELOC,Defaulted - 100%,"26        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17034,"1499","0503",-2.00000000,-2.00000000,,,"200010",,"999912",HELOC,No PD Band,,Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17035,"1400","0507",-1.00000000,-1.00000000,,,"200010",,"999912",Other Retail,Total PD Band,,Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17036,"1401","0507",0.00117000,0.00000000,"1         ","0.0000%","200010","0.1170%","999912",Other Retail,PD Band 1,"1         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17037,"1402","0507",0.00213000,0.00117100,"2         ","0.1171%","200010","0.2130%","999912",Other Retail,PD Band 2,"2         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17038,"1403","0507",0.00349700,0.00213100,"3         ","0.2131%","200010","0.3497%","999912",Other Retail,PD Band 3,"3         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17039,"1404","0507",0.00508400,0.00349800,"4         ","0.3498%","200010","0.5084%","999912",Other Retail,PD Band 4,"4         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17040,"1405","0507",0.00689700,0.00508500,"5         ","0.5085%","200010","0.6897%","999912",Other Retail,PD Band 5,"5         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17011,"1410","0502",0.03325900,0.02215700,"10        ","2.2157%","200010","3.3259%","999912",Mortgage,PD Band 10,"10        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17012,"1411","0502",0.07249200,0.03326000,"11        ","3.3260%","200010","7.2492%","999912",Mortgage,PD Band 11,"11        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17013,"1412","0502",0.20320900,0.07249300,"12        ","7.2493%","200010","20.3209%","999912",Mortgage,PD Band 12,"12        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17014,"1413","0502",0.64592500,0.20321000,"13        ","20.3210%","200010","64.5925%","999912",Mortgage,PD Band 13,"13        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17015,"1414","0502",0.99999900,0.64592600,"14        ","64.5926%","200010","99.9999%","999912",Mortgage,PD Band 14,"14        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17016,"1426","0502",1.00000000,1.00000000,"26        ","100.0000%","200010","100.0000%","999912",Mortgage,Defaulted - 100%,"26        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17017,"1499","0502",-2.00000000,-2.00000000,,,"200010",,"999912",Mortgage,No PD Band,,Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17018,"1400","0503",-1.00000000,-1.00000000,,,"200010",,"999912",HELOC,Total PD Band,,Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17019,"1401","0503",0.00047400,0.00000000,"1         ","0.0000%","200010","0.0474%","999912",HELOC,PD Band 1,"1         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17020,"1402","0503",0.00128300,0.00047500,"2         ","0.0475%","200010","0.1283%","999912",HELOC,PD Band 2,"2         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17051,"1499","0507",-2.00000000,-2.00000000,,,"200010",,"999912",Other Retail,No PD Band,,Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17052,"1400","0504",-1.00000000,-1.00000000,,,"200010",,"999912",Total QRRE,Total PD Band,,Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17053,"1401","0504",0.00047400,0.00000000,"1         ","0.0000%","200010","0.0474%","999912",Total QRRE,PD Band 1,"1         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17054,"1402","0504",0.00130500,0.00047500,"2         ","0.0475%","200010","0.1305%","999912",Total QRRE,PD Band 2,"2         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17055,"1403","0504",0.00270900,0.00130600,"3         ","0.1306%","200010","0.2709%","999912",Total QRRE,PD Band 3,"3         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17056,"1404","0504",0.00409900,0.00271000,"4         ","0.2710%","200010","0.4099%","999912",Total QRRE,PD Band 4,"4         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
