"NCR_PD_SEG_ID","FRS_CD","NCR_PD_SEG_KEY_VAL","NCR_PD_SEG_DESC","PIT_STAT_CD","PD_CRTRIA_DESC","PD_MIN_VAL","PD_MAX_VAL","PD_RTO_MIN_VAL_DESC","EFF_FROM_YR_MTH","PD_RTO_MAX_VAL_DESC","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
4002,"2         ","0902",PD Segment 2,CUR       ,"0.0003 <= PD Final Reporting Ratio < 0.0005",0.00030000,0.00050000,"0.030000%","200010","0.050000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4003,"3         ","0903",PD Segment 3,CUR       ,"0.0005 <= PD Final Reporting Ratio < 0.002",0.00050000,0.00200000,"0.050000%","200010","0.200000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4004,"4         ","0904",PD Segment 4,CUR       ,"0.002 <= PD Final Reporting Ratio < 0.006",0.00200000,0.00600000,"0.200000%","200010","0.600000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4005,"5         ","0905",PD Segment 5,CUR       ,"0.006 <= PD Final Reporting Ratio < 0.01",0.00600000,0.01000000,"0.600000%","200010","1.000000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4006,"6         ","0906",PD Segment 6,CUR       ,"0.01 <= PD Final Reporting Ratio < 0.03",0.01000000,0.03000000,"1.000000%","200010","3.000000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4007,"7         ","0907",PD Segment 7,CUR       ,"0.03 <= PD Final Reporting Ratio < 0.05",0.03000000,0.05000000,"3.000000%","200010","5.000000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4008,"8         ","0908",PD Segment 8,CUR       ,"0.05 <= PD Final Reporting Ratio < 0.07",0.05000000,0.07000000,"5.000000%","200010","7.000000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4010,"10        ","0910",PD Segment 10,CUR       ,"0.10 <= PD Final Reporting Ratio < 0.15",0.10000000,0.15000000,"10.000000%","200010","15.000000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4011,"11        ","0911",PD Segment 11,CUR       ,"0.15 <= PD Final Reporting Ratio < 0.20",0.15000000,0.20000000,"15.000000%","200010","20.000000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4013,"13        ","0913",PD Segment 13,CUR       ,"0.30 <= PD Final Reporting Ratio < 0.40",0.30000000,0.40000000,"30.000000%","200010","40.000000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4014,"14        ","0914",PD Segment 14,CUR       ,"0.40 <= PD Final Reporting Ratio < 0.50",0.40000000,0.50000000,"40.000000%","200010","50.000000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4016,"16        ","0916",PD Segment 16,CUR       ,"0.60 <= PD Final Reporting Ratio < 0.70",0.60000000,0.70000000,"60.000000%","200010","70.000000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4018,"18        ","0918",PD Segment 18,CUR       ,"0.80 <= PD Final Reporting Ratio < 0.90",0.80000000,0.90000000,"80.000000%","200010","90.000000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4020,"20        ","0920",PD Segment 20,CUR       ,"1.0 <= PD Final Reporting Ratio",1.00000000,,"100.000000%","200010",,"999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4022,"22        ","0922",PD Segment 22,CUR       ,N/A,,,,"200010",,"999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4023,"23        ","0923",PD Segment 23,DEF       ,N/A,,,,"200010",,"999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4025,,"0999",No Segment,,If no Segment,,,,"200010",,"999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
4001,"1         ","0901",PD Segment 1,CUR       ,"0 <= PD Final Reporting Ratio < 0.0003",0.00000000,0.00030000,"0.000000%","200010","0.030000%","999912",Y,2015-01-30-12.21.52.000000,2015-01-30-12.21.52.000000
