"SRC_SYS_CD","PRD_CD","SUB_PRD_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","RCON_RLP_CD","RCON_RLP_DESC","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
ING       ,ING-MOR   ,ING-MOR   ,"200010","999912",ING       ,Tangerine Mortgages Excluding Co,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,AXG       ,GC        ,"200010","999912",CVG       ,VISA Value/Classic/Gold/Staff,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,AXG       ,GS        ,"200010","999912",CVG       ,VISA Value/Classic/Gold/Staff,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,AXP       ,PC        ,"200010","999912",CVG       ,VISA Value/Classic/Gold/Staff,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,AXS       ,SC        ,"200010","999912",CVG       ,VISA Value/Classic/Gold/Staff,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,AXS       ,SS        ,"200010","999912",CVG       ,VISA Value/Classic/Gold/Staff,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,BLV       ,AGI       ,"200010","999912",BLV       ,Business Line Visa,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,BLV       ,AGU       ,"200010","999912",BLV       ,Business Line Visa,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,BLV       ,CV        ,"200010","999912",BLV       ,Business Line Visa,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,BLV       ,INC       ,"200010","999912",BLV       ,Business Line Visa,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,BLV       ,MB        ,"200010","999912",BLV       ,Business Line Visa,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,BLV       ,UNI       ,"200010","999912",BLV       ,Business Line Visa,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,BLV       ,YY        ,"200010","999912",BLV       ,Business Line Visa,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,LOC       ,BC        ,"200010","999912",GSL       ,Government Student Loan,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,LOC       ,FD        ,"200010","999912",GSL       ,Government Student Loan,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,SCL       ,CS        ,"200010","999912",SL        ,Scotialine,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,SCL       ,IL        ,"200010","999912",SL        ,Scotialine,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,SCL       ,IM        ,"200010","999912",SL        ,Scotialine,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,SCL       ,INE       ,"200010","999912",SL        ,Scotialine,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,SCL       ,RL        ,"200010","999912",SL        ,Scotialine,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,SCL       ,RS        ,"200010","999912",SL        ,Scotialine,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,SSL       ,LI        ,"200010","999912",SSL       ,Scotia Student Loans and Lines,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,SSL       ,LN        ,"200010","999912",SSL       ,Scotia Student Loans and Lines,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,SSL       ,SP        ,"200010","999912",SSL       ,Scotia Student Loans and Lines,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,VCL       ,CC        ,"200010","999912",CVG       ,VISA Value/Classic/Gold/Staff,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,VCL       ,NH        ,"200010","999912",CVG       ,VISA Value/Classic/Gold/Staff,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,VCL       ,RG        ,"200010","999912",CVG       ,VISA Value/Classic/Gold/Staff,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,VCL       ,SC        ,"200010","999912",CVG       ,VISA Value/Classic/Gold/Staff,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,VCL       ,DM        ,"200010","999912",CVG       ,VISA Value/Classic/Gold/Staff,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
KS        ,VCL       ,NF        ,"200010","999912",CVG       ,VISA Value/Classic/Gold/Staff,Y,2014-09-10-11.48.23.000000,2014-09-10-11.48.23.000000
