"PRD_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","PRD_NM","EGL_DEPRTMNT","EGL_TRNST","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
KS30      ,"200010","999912",ScotiaLine - IMA - RE Secured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS161     ,"201504","202301",Scotiabank GM VISA Card - Regular > $125K,"10210","00002",N,2015-05-05-11.27.25.000000,2023-03-01-00.00.01.000000
KS138     ,"200010","999912",VISA Value - Visa Value Regular - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
M31       ,"200010","999912",Mortgage Tangerine Guaranty Bulk Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS15      ,"200010","202301",AMEX - Scotiabank Standard AMEX >$125K,"10211","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS19      ,"202302","999912",AMEX - Scotiabank Standard AMEX Staff >$150K,"10211","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS16      ,"202302","999912",AMEX - Scotiabank Standard AMEX - RE Secured >$150K,"10211","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS76      ,"200010","999912",VISA Classic - Student Banking Advantage Account plan - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS175     ,"201606","999912",Scotiabank Passport Visa Infinite - Staff,"10210","00002",Y,2017-12-07-13.35.29.000000,2017-12-07-13.35.29.000000
KS25      ,"200010","999912",ScotiaLine - Investment Lending,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS111     ,"200010","999912",VISA Gold - Visa Gold-Regular,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
S09       ,"200010","999912",Indirect Auto - Regular,"15110","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS14      ,"200010","999912",AMEX - Scotiabank Standard AMEX - RE Secured,"10211","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS164     ,"201504","999912",Scotiabank GM VISA Infinite Card - No Fee - RE Secured,"10210","00002",Y,2015-05-05-11.27.25.000000,2015-05-05-11.27.25.000000
KS36      ,"200010","202301",ScotiaLine - Regular - RE Secured >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS33      ,"200010","999912",ScotiaLine - Regular,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS174     ,"202302","999912",Scotiabank Passport Visa Infinite - Regular - STEP>$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
M20       ,"200010","999912",Mortgage Tangerine Genworth Individual Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
