"EXPSR_CL_ID","NCR_EXPSR_CL_KEY_VAL","NCR_EXPSR_CL_DESC","FRS_CD","BCAR_SCHED_NUM","CCAR_EXPSR_CL_NM","EFF_TO_YR_MTH","EFF_FROM_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
10009,"0510",Residential Mortgage - CMHC Insured,"414       ","30        ",CMHC                ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10003,"0502",Mortgage,"412       ","30        ",Mortgage            ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10012,"0598",Unknown,          ,          ,Unknown             ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10007,"0506",LOC,"426       ","33        ",Line Of Credit      ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10004,"0503",HELOC,"440       ","31        ",HELOC               ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10011,"0512",Residential Mortgage - Non-Insured,"413       ","30        ",Real Estate Secured ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10008,"0507",Other Retail,"430       ","32        ",Other Retail        ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10002,"0501",Mortgage and HELOC,          ,          ,Mortgage and HELOC  ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10010,"0511",Residential Mortgage - Other Insured,"415       ","30        ",GE                  ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10013,"0599",No Exposure Class,          ,          ,No Exposure class   ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10006,"0505",Credit Card,"425       ","33        ",Credit Card         ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10001,"0500",Total Retail,          ,          ,Total Retail        ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
10005,"0504",Total QRRE,          ,          ,Revolving Credit    ,"999912","200010",Y,2014-10-02-10.52.29.000000,2014-10-02-10.52.29.000000
