"PLN_PRD_CD","ACCT_TP_CD","EFF_FROM_YR_MTH","RGSTRD_F","EFF_TO_YR_MTH","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP","CRNT_F"
LRISB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LRISB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LRISB     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCD     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSBU     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSBU     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSBU     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCD     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCD     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSPE     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSPE     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSPE     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRS       ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRS       ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRS       ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSEN     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSEN     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSEN     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIRSB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIRSB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIRSB     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCP     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCP     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCP     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCT     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCT     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCT     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
PRI       ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
PRI       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
PRI       ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
TFS       ,DHS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
TFS       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
TFS       ,MFS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RSS       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RSS       ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RSS       ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RRISB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RRISB     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
