"BASEL_MODEL_ID","MODEL_NM","MODEL_DESC","MODEL_VER","MODEL_ST_DT","MODEL_END_DT","SRC_SYS_CD","RPTG_F","EAD_F","PD_F","LGD_NON_DEFAULTER_F","LGD_DEFAULTER_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
8005,LOC LGD-ND          ,LOC LGD Non Defaulters,"3         ",2000-01-01,9999-12-31,KS        ,Y,,,Y,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8009,CC LGD-ND           ,CC LGD Non Defaulters,"3         ",2000-01-01,9999-12-31,KS        ,Y,,,Y,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8022,MOR LGD-ND          ,BNS-MOR LGD - Non Defaulters,"3         ",2000-01-01,9999-12-31,MOR       ,Y,,,Y,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8014,SL Type A LGD-D     ,SL Type A LGD Defaulters,"3         ",2000-01-01,9999-12-31,KS        ,Y,,,,Y,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8025,TNG-MOR LGD-ND      ,TNG-MOR LGD - Non Defaulters,"3         ",2000-01-01,9999-12-31,TNG-MOR   ,Y,,,Y,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8031,ITL LGD-ND          ,ITL LGD-ND,"3         ",2000-01-01,9999-12-31,SPL       ,Y,,,Y,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8029,DTL LGD-D           ,DTL LGD-D,"3         ",2000-01-01,9999-12-31,SPL       ,Y,,,,Y,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8001,HELOC LGD-ND        ,HELOC LGD Non Defaulters,"3         ",2000-01-01,9999-12-31,KS        ,Y,,,Y,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8026,TNG-MOR LGD-D       ,TNG-MOR LGD - Defaulters,"3         ",2000-01-01,9999-12-31,TNG-MOR   ,Y,,,,Y,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8028,DTL LGD-ND          ,DTL LGD-ND,"3         ",2000-01-01,9999-12-31,SPL       ,Y,,,Y,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8015,SL Type A PD        ,SL Type A PD,"3         ",2000-01-01,9999-12-31,KS        ,Y,,Y,,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8012,CC EAD              ,CC EAD,"3         ",2000-01-01,9999-12-31,KS        ,Y,Y,,,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8019,SL Type B PD        ,SL Type B PD,"3         ",2000-01-01,9999-12-31,KS        ,Y,,Y,,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8008,LOC EAD             ,LOC EAD,"3         ",2000-01-01,9999-12-31,KS        ,Y,Y,,,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8011,CC PD               ,CC PD,"3         ",2000-01-01,9999-12-31,KS        ,Y,,Y,,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8004,HELOC EAD           ,HELOC EAD,"3         ",2000-01-01,9999-12-31,KS        ,Y,Y,,,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8024,TNG-MOR PD          ,TNG-MOR PD,"3         ",2000-01-01,9999-12-31,TNG-MOR   ,Y,,Y,,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
8003,HELOC PD            ,HELOC PD,"3         ",2000-01-01,9999-12-31,KS        ,Y,,Y,,,2015-10-23-12.49.19.000000,2015-10-23-12.49.19.000000
