"BASEL_MODEL_REL_ID","BASEL_SEG_ID","BASEL_MODEL_SCORECRD_HDR_ID","RPTG_USAGE_F","SCORECRD_VER","SEG_VER","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
7038,16085,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7052,16063,8012,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7078,16029,8004,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7110,16110,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7132,16184,8014,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7088,16088,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7136,16188,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7095,16095,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7212,16143,8022,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7076,16027,8004,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7006,16016,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7138,16190,8015,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7112,16112,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7070,16045,8003,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7220,16151,8023,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7019,16003,8008,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7196,16127,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7064,16051,8002,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7030,16071,8009,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7014,16018,8007,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7032,16073,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7217,16148,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7183,16114,8019,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7146,16198,8015,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7126,16178,8014,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7117,16169,8013,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7086,16037,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7188,16119,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7044,16079,8011,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7115,16167,8013,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7218,16149,8023,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7197,16128,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7055,16066,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7034,16081,8010,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7221,16152,8023,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7226,16157,8024,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7225,16156,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7189,16120,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7040,16075,8011,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7200,16131,8021,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7068,16055,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7069,16056,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7108,16108,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7105,16105,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7190,16121,8020,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7128,16180,8014,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7005,16015,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7144,16196,8015,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7232,16163,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7155,16207,8016,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7234,16235,8012,Y,"1         ","1         ",2023-03-10-00.00.00.000000,2023-03-10-00.00.00.000000
7171,16223,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7205,16136,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7180,16232,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7046,16057,8012,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7120,16172,8013,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7184,16115,8019,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7209,16140,8022,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7219,16150,8023,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7079,16030,8004,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7022,16006,8008,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7204,16135,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7224,16155,-1,Y,,"1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
7049,16060,8012,Y,"1         ","1         ",2015-10-23-12.49.40.000000,2015-10-23-12.49.40.000000
