"BASEL_MODEL_SCORECRD_HDR_ID","BASEL_MODEL_ID","BASEL_SCORECRD_DESC","BASEL_SCORECRD_NM","SCORECRD_VER","SRC_SYS_CD","SCORECRD_ST_DT","SCORECRD_END_DT","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
8019,8027,,DTL PD Scorecard                        ,"1         ",SPL       ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8023,8031,,ITL LGD-ND Scorecard                    ,"1         ",SPL       ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8013,8021,,MOR PD Scorecard                        ,"1         ",MOR       ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8005,8004,HELOC EAD Scorecard,HELOC EAD Scorecard                     ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8009,8008,LOC EAD Scorecard,LOC EAD Scorecard                       ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8002,8010,CC LGD Defaulters Scorecard,CC LGD Defaulters Scorecard             ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8016,8024,,TNG-MOR PD Scorecard                    ,"1         ",TNG-MOR   ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8027,8035,CC PD Delinquent Scorecard,CC PD Delinquent Scorecard              ,"4         ",KS        ,2021-10-01,9999-12-31,2023-03-10-00.00.00.000000,2023-03-10-00.00.00.000000
8025,8033,CC PD Transactor Scorecard,CC PD Transactor Scorecard              ,"4         ",KS        ,2021-10-01,9999-12-31,2023-03-10-00.00.00.000000,2023-03-10-00.00.00.000000
8004,8011,CC PD Scorecard,CC PD Scorecard                         ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8015,8023,,MOR LGD-D Scorecard                     ,"1         ",MOR       ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8018,8026,,TNG-MOR LGD-D Scorecard                 ,"1         ",TNG-MOR   ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8011,8005,LOC LGD Non-Defaulters Scorecard,LOC LGD Non-Defaulters Scorecard        ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8008,8003,HELOC PD Scorecard,HELOC PD Scorecard                      ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8014,8022,,MOR LGD-ND Scorecard                    ,"1         ",MOR       ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8024,8032,,ITL LGD-D Scorecard                     ,"1         ",SPL       ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8007,8001,HELOC LGD Non-Defaulters Scorecard,HELOC LGD Non-Defaulters Scorecard      ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8022,8030,,ITL PD Scorecard                        ,"1         ",SPL       ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8020,8028,,DTL LGD-ND Scorecard                    ,"1         ",SPL       ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8026,8034,CC PD Revolver Scorecard,CC PD Revolver Scorecard                ,"4         ",KS        ,2021-10-01,9999-12-31,2023-03-10-00.00.00.000000,2023-03-10-00.00.00.000000
8012,8007,LOC PD Scorecard,LOC PD Scorecard                        ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8006,8002,HELOC LGD Defaulters Scorecard,HELOC LGD Defaulters Scorecard          ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8017,8025,,TNG-MOR LGD-ND Scorecard                ,"1         ",TNG-MOR   ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8010,8006,LOC LGD Defaulters Scorecard,LOC LGD Defaulters Scorecard            ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8001,8012,CC EAD Scorecard,CC EAD Scorecard                        ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8003,8009,CC LGD Non-Defaulters Scorecard,CC LGD Non-Defaulters Scorecard         ,"1         ",KS        ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
8021,8029,,DTL LGD-D Scorecard                     ,"1         ",SPL       ,2000-01-01,9999-12-31,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
