"NCR_EAD_SEG_ID","NCR_EAD_SEG_KEY_VAL","NCR_EAD_SEG_DESC","PIT_STAT_CD","EAD_CRTRIA_DESC","EAD_RTO_MIN_VAL","EAD_RTO_MAX_VAL","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","FRS_CD","EAD_RTO_MIN_VAL_DESC","EAD_RTO_MAX_VAL_DESC","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
10004,"3304",EAD Segment 4,CUR       ,"0.7 <= EAD Final Reporting Ratio < 0.8",0.70000000,0.80000000,"200010","999912","4         ","70.000000%","80.000000%",Y,2014-10-06-15.41.53.000000,2014-10-06-15.41.53.000000
10003,"3303",EAD Segment 3,CUR       ,"0.5 <= EAD Final Reporting Ratio < 0.7",0.50000000,0.70000000,"200010","999912","3         ","50.000000%","70.000000%",Y,2014-10-06-15.41.53.000000,2014-10-06-15.41.53.000000
10006,"3306",EAD Segment 6,CUR       ,"0.9 <= EAD Final Reporting Ratio < 1.0",0.90000000,1.00000000,"200010","999912","6         ","90.000000%","100.000000%",Y,2014-10-06-15.41.53.000000,2014-10-06-15.41.53.000000
10002,"3302",EAD Segment 2,CUR       ,"0.3 <= EAD Final Reporting Ratio < 0.5",0.30000000,0.50000000,"200010","999912","2         ","30.000000%","50.000000%",Y,2014-10-06-15.41.53.000000,2014-10-06-15.41.53.000000
10010,"3399",No Segment,          ,If no Segment,,,"200010","999912",          ,"","",Y,2014-10-06-15.41.53.000000,2014-10-06-15.41.53.000000
10009,"3398",Unknown,          ,Unknown,,,"200010","999912",          ,"","",Y,2014-10-06-15.41.53.000000,2014-10-06-15.41.53.000000
10001,"3301",EAD Segment 1,CUR       ,"0 <= EAD Final Reporting Ratio < 0.3",0.00000000,0.30000000,"200010","999912","1         ","0.000000%","30.000000%",Y,2014-10-06-15.41.53.000000,2014-10-06-15.41.53.000000
10007,"3307",EAD Segment 7,CUR       ,"1.0 <= EAD Final Reporting Ratio",1.00000000,,"200010","999912","7         ","100.000000%","",Y,2014-10-06-15.41.53.000000,2014-10-06-15.41.53.000000
10008,"3308",EAD Segment 8,DEF       ,N/A,,,"200010","999912","8         ","","",Y,2014-10-06-15.41.53.000000,2014-10-06-15.41.53.000000
10005,"3305",EAD Segment 5,CUR       ,"0.8 <= EAD Final Reporting Ratio < 0.9",0.80000000,0.90000000,"200010","999912","5         ","80.000000%","90.000000%",Y,2014-10-06-15.41.53.000000,2014-10-06-15.41.53.000000
