"NCR_LGD_SEG_ID","NCR_LGD_SEG_KEY_VAL","NCR_LGD_SEG_DESC","PIT_STAT_CD","LGD_CRTRIA_DESC","LGD_MIN_VAL","LGD_MAX_VAL","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","FRS_CD","LGD_RTO_MIN_VAL_DESC","LGD_RTO_MAX_VAL_DESC","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
7009,"3209",LGD Segment 9,CUR,"1.0 <= LGD Final Reporting Ratio",1.00000000,,"200010","999912","9","100.000000%",,Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
7011,"3298",Unknown,,Unknown,,,"200010","999912",,,,Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
7002,"3202",LGD Segment 2,CUR,"0.10 <= LGD Final Reporting Ratio < 0.20",0.10000000,0.20000000,"200010","999912","2","10.000000%","20.000000%",Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
7006,"3206",LGD Segment 6,CUR,"0.65 <= LGD Final Reporting Ratio < 0.80",0.65000000,0.80000000,"200010","999912","6","65.000000%","80.000000%",Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
7004,"3204",LGD Segment 4,CUR,"0.35 <= LGD Final Reporting Ratio < 0.50",0.35000000,0.50000000,"200010","999912","4","35.000000%","50.000000%",Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
7008,"3208",LGD Segment 8,CUR,"0.90 <= LGD Final Reporting Ratio < 1.0",0.90000000,1.00000000,"200010","999912","8","90.000000%","100.000000%",Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
7003,"3203",LGD Segment 3,CUR,"0.20 <= LGD Final Reporting Ratio < 0.35",0.20000000,0.35000000,"200010","999912","3","20.000000%","35.000000%",Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
7001,"3201",LGD Segment 1,CUR,"0 <= LGD Final Reporting Ratio < 0.10",0.00000000,0.10000000,"200010","999912","1","0.000000%","10.000000%",Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
7007,"3207",LGD Segment 7,CUR,"0.80 <= LGD Final Reporting Ratio < 0.90",0.80000000,0.90000000,"200010","999912","7","80.000000%","90.000000%",Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
7010,"3210",LGD Segment 10,DEF,N/A,,,"200010","999912","10",,,Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
7012,"3299",No Segment,,If no Segment,,,"200010","999912",,,,Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
7005,"3205",LGD Segment 5,CUR,"0.50 <= LGD Final Reporting Ratio < 0.65",0.50000000,0.65000000,"200010","999912","5","50.000000%","65.000000%",Y,2014-10-02-10.55.16.000000,2014-10-02-10.55.16.000000
