"BASEL_SEG_ID","BASEL_MODEL_ID","BASEL_SEG_NM","BASEL_SEG_DESC","SEG_CRTRIA_DESC","SEG_NUM","SEG_VER","SEG_ST_DT","SEG_END_DT","BIN_CRTRIA_SQL_CD_STRG","SRC_SYS_CD","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
16107,8014,SL Type A LGD-D               ,,Defaulted (120 + days delinquent),1,"1         ",2000-01-01,,"Select BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID,BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID, Basel_Seg.BASEL_SEG_ID, Basel_Seg.BASEL_MODEL_ID, BASEL_MODEL_REL.BASEL_MODEL_REL_ID, &dt                         From EDRTLRP1D.BASEL_REVLVNG_CR_MTH_SNAPSHOT BASEL_REVLVNG_CR_MTH_SNAPSHOT,EDRTLRP1D.BASEL_REVLVNG_CR_BASE_DRVD_VARS BASEL_REVLVNG_CR_BASE_DRVD_VARS,EDRTLRP1D.BASEL_SEG BASEL_SEG,EDRTLRP1D.BASEL_REVLVNG_CR_ACCT_DRVD_VARS BASEL_REVLVNG_CR_ACCT_DRVD_VARS,EDRTLRP1D.BASEL_MODEL_REL BASEL_MODEL_REL where BASEL_REVLVNG_CR_MTH_SNAPSHOT.BASEL_ACCT_ID= BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID And BASEL_REVLVNG_CR_MTH_SNAPSHOT.MTH_TM_ID= BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID And BASEL_REVLVNG_CR_ACCT_DRVD_VARS.BASEL_ACCT_ID= BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID And BASEL_REVLVNG_CR_ACCT_DRVD_VARS.MTH_TM_ID= BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID And BASEL_REVLVNG_CR_BASE_DRVD_VARS.HELOC_F='N' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_PRD_CD='SL A' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_SCORECRD_EXCLSN_F = 'Y' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_PRD_TREATMNT_CD = 'A'  And BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID = &TM_DIM_ID And ((BASEL_REVLVNG_CR_MTH_SNAPSHOT.BNS_DLQNT_DAY >=120 or BASEL_REVLVNG_CR_BASE_DRVD_VARS.PIT_STAT_VER_2_CD = 'DEF') And BASEL_REVLVNG_CR_ACCT_DRVD_VARS.CONS_DFT_MTH_CNT < 24 and not (BASEL_REVLVNG_CR_MTH_SNAPSHOT.TOT_NEW_BAL_AMT <= 0 and BASEL_REVLVNG_CR_MTH_SNAPSHOT.CR_LMT_AMT <= 0)) and BASEL_REVLVNG_CR_BASE_DRVD_VARS.PIT_STAT_VER_2_CD <> 'CHG' and BASEL_MODEL_REL.BASEL_SEG_ID = Basel_Seg.BASEL_SEG_ID And Basel_Seg.BASEL_SEG_ID=&BASEL_SEG_ID",KS        ,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
16129,8029,DTL LGD-D                     ,,(LGD Score < 266) AND O/S >=  $1000 AND  PRODUCT_ID is NOT (S05 OR S08)  And CONS_MTHS_DEFAULT<=24,1,"1         ",2000-01-01,,"Select BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.BASEL_ACCT_ID, BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.MTH_TM_ID, BASEL_MODEL_REL.BASEL_SEG_ID, BASEL_MODEL_REL.BASEL_MODEL_REL_ID, BASEL_MODEL_SCORECRD_HDR.BASEL_MODEL_ID, &dt From EDRTLRP1D.BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2 BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2 Inner Join EDRTLRP1D.BASEL_PNL_LN_SCORE_SNAPSHOT BASEL_PNL_LN_SCORE_SNAPSHOT On BASEL_PNL_LN_SCORE_SNAPSHOT.BASEL_ACCT_ID = BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.BASEL_ACCT_ID And BASEL_PNL_LN_SCORE_SNAPSHOT.MTH_TM_ID = BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.MTH_TM_ID Inner Join EDRTLRP1D.BASEL_MODEL_SCORECRD_HDR BASEL_MODEL_SCORECRD_HDR On BASEL_MODEL_SCORECRD_HDR.BASEL_MODEL_SCORECRD_HDR_ID = BASEL_PNL_LN_SCORE_SNAPSHOT.BASEL_MODEL_SCORECRD_HDR_ID Inner Join EDRTLRP1D.BASEL_MODEL_REL BASEL_MODEL_REL On BASEL_MODEL_REL.BASEL_MODEL_SCORECRD_HDR_ID = BASEL_MODEL_SCORECRD_HDR.BASEL_MODEL_SCORECRD_HDR_ID Where ((BASEL_PNL_LN_SCORE_SNAPSHOT.CALC_SCORE < 266) AND BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.OS_BAL_AMT_V2 >=  1000 AND BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.PRD_ID Not IN ('S05', 'S08') AND BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.CONS_DFT_MTH_CNT<=24) And BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.MODEL_EXCL_F= 'N' And BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.TREATMNT_F = 'A' And BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.PIT_STATUS_V2 = 'DEF' And BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.SUB_PORTFL='DIRECT' And BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2.MTH_TM_ID = &TM_DIM_ID And BASEL_MODEL_REL.BASEL_SEG_ID = &BASEL_SEG_ID",SPL       ,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
16176,8022,MOR LGD-ND                    ,,"149.5 <= LGD Score < 404.5 AND Insurance_Indicator = 'UNINSURED'",2,"1         ",2000-01-01,,,MOR       ,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
16190,8023,MOR LGD-D                     ,,"(814,831] AND  INSURANCE INDICATOR = 'UNINSURED'",2,"1         ",2000-01-01,,,MOR       ,2025-01-22-17.00.00.000000,2025-01-22-17.00.00.000000
16095,8019,SL Type B PD                  ,,Special Segment,98,"1         ",2000-01-01,,"Select BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID,BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID, Basel_Seg.BASEL_SEG_ID, Basel_Seg.BASEL_MODEL_ID, BASEL_MODEL_REL.BASEL_MODEL_REL_ID, &dt                         From EDRTLRP1D.BASEL_REVLVNG_CR_MTH_SNAPSHOT BASEL_REVLVNG_CR_MTH_SNAPSHOT,EDRTLRP1D.BASEL_REVLVNG_CR_BASE_DRVD_VARS BASEL_REVLVNG_CR_BASE_DRVD_VARS,EDRTLRP1D.BASEL_SEG BASEL_SEG ,EDRTLRP1D.BASEL_MODEL_REL BASEL_MODEL_REL where BASEL_REVLVNG_CR_MTH_SNAPSHOT.BASEL_ACCT_ID= BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID And BASEL_REVLVNG_CR_MTH_SNAPSHOT.MTH_TM_ID= BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID And BASEL_REVLVNG_CR_BASE_DRVD_VARS.HELOC_F='N' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_PRD_CD='SL B' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.PIT_STAT_VER_2_CD = 'CUR' and BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_SCORECRD_EXCLSN_F = 'Y' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_PRD_TREATMNT_CD = 'A'  And BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID = &TM_DIM_ID And (BASEL_REVLVNG_CR_MTH_SNAPSHOT.BNS_DLQNT_DAY < 120) and ((BASEL_REVLVNG_CR_MTH_SNAPSHOT.TOT_NEW_BAL_AMT <=0  and BASEL_REVLVNG_CR_MTH_SNAPSHOT.CR_LMT_AMT<=0) or (BASEL_REVLVNG_CR_MTH_SNAPSHOT.BLOCK_RECL_CD='B4'  or (BASEL_REVLVNG_CR_MTH_SNAPSHOT.BLOCK_RECL_CD='V' and BASEL_REVLVNG_CR_MTH_SNAPSHOT.ACCT_CLS_RSN_CD in ('G1','G2','G3')) Or (BASEL_REVLVNG_CR_MTH_SNAPSHOT.BLOCK_RECL_CD='VW' and BASEL_REVLVNG_CR_MTH_SNAPSHOT.ACCT_CLS_RSN_CD='I3' ))) And BASEL_MODEL_REL.BASEL_SEG_ID = Basel_Seg.BASEL_SEG_ID And Basel_Seg.BASEL_SEG_ID=&BASEL_SEG_ID",KS        ,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
16067,8007,LOC PD                        ,,DEF,99,"1         ",2000-01-01,,"Select BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID, BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID, Basel_Seg.BASEL_SEG_ID, Basel_Seg.BASEL_MODEL_ID, BASEL_MODEL_REL.BASEL_MODEL_REL_ID,  &dt From EDRTLRP1D.BASEL_REVLVNG_CR_BASE_DRVD_VARS BASEL_REVLVNG_CR_BASE_DRVD_VARS,EDRTLRP1D.BASEL_SEG BASEL_SEG,  EDRTLRP1D.BASEL_MODEL_REL BASEL_MODEL_REL  where BASEL_REVLVNG_CR_BASE_DRVD_VARS.PIT_STAT_VER_2_CD = 'DEF' AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.HELOC_F='N' AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_PRD_CD ='LOC' AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_PRD_TREATMNT_CD = 'A' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID = &TM_DIM_ID And BASEL_MODEL_REL.BASEL_SEG_ID = Basel_Seg.BASEL_SEG_ID And Basel_Seg.BASEL_SEG_ID = &BASEL_SEG_ID",KS        ,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
16108,8014,SL Type A LGD-D               ,,Accounts defaulted 24 months or more,90,"1         ",2000-01-01,,"Select BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID,BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID, Basel_Seg.BASEL_SEG_ID, Basel_Seg.BASEL_MODEL_ID, BASEL_MODEL_REL.BASEL_MODEL_REL_ID, &dt                         From EDRTLRP1D.BASEL_REVLVNG_CR_MTH_SNAPSHOT BASEL_REVLVNG_CR_MTH_SNAPSHOT,EDRTLRP1D.BASEL_REVLVNG_CR_BASE_DRVD_VARS BASEL_REVLVNG_CR_BASE_DRVD_VARS,EDRTLRP1D.BASEL_SEG BASEL_SEG,EDRTLRP1D.BASEL_REVLVNG_CR_ACCT_DRVD_VARS BASEL_REVLVNG_CR_ACCT_DRVD_VARS,EDRTLRP1D.BASEL_MODEL_REL BASEL_MODEL_REL where BASEL_REVLVNG_CR_MTH_SNAPSHOT.BASEL_ACCT_ID= BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID And BASEL_REVLVNG_CR_MTH_SNAPSHOT.MTH_TM_ID= BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID And BASEL_REVLVNG_CR_ACCT_DRVD_VARS.BASEL_ACCT_ID= BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID And BASEL_REVLVNG_CR_ACCT_DRVD_VARS.MTH_TM_ID= BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID And BASEL_REVLVNG_CR_BASE_DRVD_VARS.HELOC_F='N' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_PRD_CD='SL A' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_SCORECRD_EXCLSN_F = 'Y' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_PRD_TREATMNT_CD = 'A'  And BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID = &TM_DIM_ID And  (BASEL_REVLVNG_CR_MTH_SNAPSHOT.BNS_DLQNT_DAY >=120 Or BASEL_REVLVNG_CR_BASE_DRVD_VARS.PIT_STAT_VER_2_CD = 'DEF') And BASEL_REVLVNG_CR_ACCT_DRVD_VARS.CONS_DFT_MTH_CNT >=24 and BASEL_REVLVNG_CR_BASE_DRVD_VARS.PIT_STAT_VER_2_CD <> 'CHG' And BASEL_MODEL_REL.BASEL_SEG_ID = Basel_Seg.BASEL_SEG_ID And Basel_Seg.BASEL_SEG_ID=&BASEL_SEG_ID",KS        ,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
16074,8008,LOC EAD                       ,,DEF,99,"1         ",2000-01-01,,"Select BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID, BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID, Basel_Seg.BASEL_SEG_ID, Basel_Seg.BASEL_MODEL_ID, BASEL_MODEL_REL.BASEL_MODEL_REL_ID,  &dt                       From EDRTLRP1D.BASEL_REVLVNG_CR_BASE_DRVD_VARS BASEL_REVLVNG_CR_BASE_DRVD_VARS,EDRTLRP1D.BASEL_SEG BASEL_SEG,  EDRTLRP1D.BASEL_MODEL_REL BASEL_MODEL_REL  where BASEL_REVLVNG_CR_BASE_DRVD_VARS.PIT_STAT_VER_2_CD = 'DEF' AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.HELOC_F='N' AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_PRD_CD ='LOC' AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_PRD_TREATMNT_CD = 'A' And BASEL_MODEL_REL.BASEL_SEG_ID = Basel_Seg.BASEL_SEG_ID And BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID = &TM_DIM_ID And Basel_Seg.BASEL_SEG_ID = &BASEL_SEG_ID",KS        ,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
16235,8007,LOC PD                        ,LOC PD Transactor,All Transactor Accounts,10,"1         ",2021-01-10,,"SELECT BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID,BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID,BASEL_MODEL_REL.BASEL_SEG_ID,BASEL_MODEL_REL.BASEL_MODEL_REL_ID,BASEL_MODEL_SCORECRD_HDR.BASEL_MODEL_ID,&dt FROM EDRTLRP1D.BASEL_REVLVNG_CR_BASE_DRVD_VARS BASEL_REVLVNG_CR_BASE_DRVD_VARS INNER JOIN EDRTLRP1D.BASEL_REVLVNG_CR_MTH_SNAPSHOT BASEL_REVLVNG_CR_MTH_SNAPSHOT ON BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID = BASEL_REVLVNG_CR_MTH_SNAPSHOT.BASEL_ACCT_ID AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID = BASEL_REVLVNG_CR_MTH_SNAPSHOT.MTH_TM_ID INNER JOIN EDRTLRP1D.BASEL_RCA_SCORE_SNAPSHOT BASEL_RCA_SCORE_SNAPSHOT ON BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID = BASEL_RCA_SCORE_SNAPSHOT.BASEL_ACCT_ID AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID = BASEL_RCA_SCORE_SNAPSHOT.MTH_TM_ID INNER JOIN EDRTLRP1D.BASEL_MODEL_SCORECRD_HDR BASEL_MODEL_SCORECRD_HDR ON BASEL_MODEL_SCORECRD_HDR.BASEL_MODEL_SCORECRD_HDR_ID = BASEL_RCA_SCORE_SNAPSHOT.BASEL_MODEL_SCORECRD_HDR_ID INNER JOIN EDRTLRP1D.BASEL_MODEL_REL BASEL_MODEL_REL ON BASEL_MODEL_REL.BASEL_MODEL_SCORECRD_HDR_ID = BASEL_MODEL_SCORECRD_HDR.BASEL_MODEL_SCORECRD_HDR_ID INNER JOIN (SELECT DISTINCT tm_id AS mth_tm_id,LPAD(a.ACCT_NUM,23,'0') AS acct_num,TRNSCTR_IND FROM EDRTLRP1D.BASEL_ACCT_PRFM_FACT a,EDRTLRP1D.tm_dim b WHERE a.mth_end_dt = b.TM_LVL_END_DT AND tm_lvl = 'Month' AND tm_id = &TM_DIM_ID AND src_sys_cd = 'KQ' ) FACT ON BASEL_REVLVNG_CR_MTH_SNAPSHOT.MTH_TM_ID = fact.MTH_TM_ID AND BASEL_REVLVNG_CR_MTH_SNAPSHOT.ACCT_NUM = FACT.ACCT_NUM WHERE BASEL_REVLVNG_CR_BASE_DRVD_VARS.PIT_STAT_VER_2_CD = 'CUR' AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_SCORECRD_EXCLSN_F = 'N' AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_PRD_TREATMNT_CD = 'A' AND FACT.TRNSCTR_IND = 'T' AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID = &TM_DIM_ID AND BASEL_MODEL_REL.BASEL_SEG_ID = &BASEL_SEG_ID",KS        ,2023-03-10-00.00.00.000000,2023-03-10-00.00.00.000000
16056,8010,CC LGD-D                      ,,special segment,98,"1         ",2000-01-01,,"Select BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_ACCT_ID, BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID, BASEL_SEG.BASEL_SEG_ID, Basel_Seg.BASEL_MODEL_ID,  BASEL_MODEL_REL.BASEL_MODEL_REL_ID,  &dt From EDRTLRP1D.BASEL_REVLVNG_CR_BASE_DRVD_VARS BASEL_REVLVNG_CR_BASE_DRVD_VARS, EDRTLRP1D.BASEL_SEG BASEL_SEG,  EDRTLRP1D.BASEL_MODEL_REL BASEL_MODEL_REL Where BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_SCORECRD_EXCLSN_F = 'Y' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.CONSM_PRD_TREATMNT_CD = 'A' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.PIT_STAT_VER_2_CD = 'DEF' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.BASEL_PRD_CD = 'CC' AND BASEL_REVLVNG_CR_BASE_DRVD_VARS.HELOC_F = 'N' And BASEL_REVLVNG_CR_BASE_DRVD_VARS.MTH_TM_ID = &TM_DIM_ID And BASEL_MODEL_REL.BASEL_SEG_ID = Basel_Seg.BASEL_SEG_ID And BASEL_SEG.BASEL_SEG_ID= &BASEL_SEG_ID",KS        ,2015-10-23-12.49.29.000000,2015-10-23-12.49.29.000000
