"BASEL_SEG_ID","EFF_FROM_DT","BASEL_MODEL_RLTNP_ID","EFF_TO_DT","HISTRC_AVG_ST_DT","HISTRC_AVG_END_DT","BASEL_MODEL_ID","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
16073,2000-01-31,7032,9999-12-31,2000-01-31,2050-12-01,8008,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16163,2000-01-31,7232,9999-12-31,2000-01-31,2050-12-01,8032,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16193,2000-01-31,7141,9999-12-31,2000-01-31,2050-12-01,8023,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16040,2000-01-31,7059,9999-12-31,2000-01-31,2050-12-01,8012,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16152,2000-01-31,7221,9999-12-31,2000-01-31,2050-12-01,8031,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16001,2000-01-31,7017,9999-12-31,2000-01-31,2050-12-01,8003,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16140,2000-01-31,7209,9999-12-31,2000-01-31,2050-12-01,8030,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16136,2000-01-31,7205,9999-12-31,2000-01-31,2050-12-01,8029,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16225,2000-01-31,7173,9999-12-31,2000-01-31,2050-12-01,8026,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16061,2000-01-31,7050,9999-12-31,2000-01-31,2050-12-01,8007,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16155,2000-01-31,7224,9999-12-31,2000-01-31,2050-12-01,8031,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16097,2000-01-31,7097,9999-12-31,2000-01-31,2050-12-01,8016,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16216,2000-01-31,7164,9999-12-31,2000-01-31,2050-12-01,8025,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16015,2000-01-31,7005,9999-12-31,2000-01-31,2050-12-01,8004,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16218,2000-01-31,7166,9999-12-31,2000-01-31,2050-12-01,8025,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16043,2000-01-31,7062,9999-12-31,2000-01-31,2050-12-01,8012,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16131,2000-01-31,7200,9999-12-31,2000-01-31,2050-12-01,8029,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16195,2000-01-31,7143,9999-12-31,2000-01-31,2050-12-01,8023,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16201,2000-01-31,7149,9999-12-31,2000-01-31,2050-12-01,8023,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16148,2000-01-31,7217,9999-12-31,2000-01-31,2050-12-01,8030,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16083,2000-01-31,7036,9999-12-31,2000-01-31,2050-12-01,8006,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16101,2000-01-31,7101,9999-12-31,2000-01-31,2050-12-01,8020,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16053,2000-01-31,7066,9999-12-31,2000-01-31,2050-12-01,8010,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16045,2000-01-31,7070,9999-12-31,2000-01-31,2050-12-01,8009,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16213,2000-01-31,7161,9999-12-31,2000-01-31,2050-12-01,8025,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16118,2000-01-31,7187,9999-12-31,2000-01-31,2050-12-01,8027,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16127,2000-01-31,7196,9999-12-31,2000-01-31,2050-12-01,8028,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16099,2000-01-31,7099,9999-12-31,2000-01-31,2050-12-01,8016,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16002,2000-01-31,7018,9999-12-31,2000-01-31,2050-12-01,8003,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16096,2000-01-31,7096,9999-12-31,2000-01-31,2050-12-01,8019,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16147,2000-01-31,7216,9999-12-31,2000-01-31,2050-12-01,8030,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16166,2000-01-31,7114,9999-12-31,2000-01-31,2050-12-01,8021,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16017,2000-01-31,7013,9999-12-31,2000-01-31,2050-12-01,8001,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16025,2000-01-31,7011,9999-12-31,2000-01-31,2050-12-01,8002,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16161,2000-01-31,7230,9999-12-31,2000-01-31,2050-12-01,8032,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16012,2000-01-31,7002,9999-12-31,2000-01-31,2050-12-01,8004,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16186,2000-01-31,7134,9999-12-31,2000-01-31,2050-12-01,8022,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16164,2000-01-31,7233,9999-12-31,2000-01-31,2050-12-01,8032,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16126,2000-01-31,7195,9999-12-31,2000-01-31,2050-12-01,8028,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16100,2000-01-31,7100,9999-12-31,2000-01-31,2050-12-01,8020,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16004,2000-01-31,7020,9999-12-31,2000-01-31,2050-12-01,8003,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16055,2000-01-31,7068,9999-12-31,2000-01-31,2050-12-01,8010,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16173,2000-01-31,7122,9999-12-31,2000-01-31,2050-12-01,8021,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16036,2000-01-31,7085,9999-12-31,2000-01-31,2050-12-01,8011,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16020,2000-01-31,7016,9999-12-31,2000-01-31,2050-12-01,8001,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
16050,2000-01-31,7075,9999-12-31,2000-01-31,2050-12-01,8009,2015-10-30-15.00.47.000000,2015-10-30-15.00.47.000000
