"BLOCK_RECL_CD","CLS_RSN_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CONSM_SCORECRD_EXCLSN_F","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
VC        ,G3        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
VC        ,G1        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
VC        ,G2        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
SR        ,          ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
VX        ,G3        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
VX        ,G2        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
VX        ,G1        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
VT        ,G1        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
VT        ,G2        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
VT        ,G3        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
V         ,G2        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
V         ,G1        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
V         ,G3        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
XS        ,          ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
PD        ,G3        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
PD        ,G2        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
PD        ,G1        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
VP        ,G3        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
VP        ,G2        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
VP        ,G1        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
PC        ,G3        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
PC        ,G2        ,"200001","999912",Y,Y,2014-07-10-15.38.20.000000,2014-07-10-15.38.20.000000
