"BLOCK_RECL_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","BNKRPY_F","BNKRPY_F_DESC","BLOCK_RECL_DESC","CONSM_SCORECRD_EXCLSN_F","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
VD        ,"200001","999912",N,NOT Bankrupt,Closed,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
FX        ,"200001","999912",N,NOT Bankrupt,Fixed Payment,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
D0        ,"200001","999912",N,NOT Bankrupt,D0,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
VT        ,"200001","999912",N,NOT Bankrupt,Closed to same product full history.,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
VX        ,"200001","999912",N,NOT Bankrupt,Closed,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
SR        ,"200001","999912",N,NOT Bankrupt,Accounts out of cards numbers,Y,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
D4        ,"200001","999912",N,NOT Bankrupt,D4,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
PT        ,"200001","999912",N,NOT Bankrupt,Account frozen as VISA privileges cancelled due to employment termination.,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
SS        ,"200001","999912",N,NOT Bankrupt,Lost or Stolen,Y,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
D         ,"200001","999912",N,NOT Bankrupt,Written Out of Records,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
XH        ,"200001","999912",N,NOT Bankrupt,Overlimit,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
PB        ,"200001","999912",N,NOT Bankrupt,Account frozen as VISA privileges cancelled by branch.,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
SW        ,"200001","999912",N,NOT Bankrupt,Switch,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
B2        ,"200001","999912",N,NOT Bankrupt,B2,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
PK        ,"200001","999912",N,NOT Bankrupt,Unpaid Annual Fee,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
DV        ,"200001","999912",N,NOT Bankrupt,DV,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
VN        ,"200001","999912",N,NOT Bankrupt,Closed - Same Product Switch - Non Monetary Info,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
B4        ,"200001","999912",N,NOT Bankrupt,Deceased,Y,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
PG        ,"200001","999912",N,NOT Bankrupt,Account frozen as VISA privileges .cancelled due to marital problems.,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
DP        ,"200001","999912",N,NOT Bankrupt,DP,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
SF        ,"200001","999912",N,NOT Bankrupt,Fraud,Y,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
DB        ,"200001","999912",N,NOT Bankrupt,DB,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
VC        ,"200001","999912",N,NOT Bankrupt,Closed,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
B5        ,"200001","999912",Y,Bankrupt,Collection- Bankrupt,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
A         ,"200001","999912",N,NOT Bankrupt,A,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
PC        ,"200001","999912",N,NOT Bankrupt,Account frozen as VISA privileges cancelled by branch (collection problem).,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
XX        ,"200001","999912",N,NOT Bankrupt,XX,N,Y,2014-07-10-15.38.21.000000,2014-07-10-15.38.21.000000
