"PROVISIONS_PRODUCT","BASEL_PRODUCT_TYPE","SECURITY_TYPE_DESC","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
ITL AUTO REG,ITL_AUTO_REG,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
LOC,OTHER_CON_CL,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
CANADA GUARANTY BNS,GUAR_B_BNS,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
GENWORTH BNS,GENW_B_BNS,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
GENWORTH BNS,GENW_I_BNS,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
HELOC,HELOC_CON_HL,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
ITL,ITL_MARINE,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
CC,OTHER_CON_CC,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
DTL,DTL_CASH,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
DTL,DTL_UNSEC,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
ITL,ITL_AUTO_RS,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
CMHC TNG,CMHC_B_TNG,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
DTL,DTL_RSP,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
Student Lines,REV_CON_SLR,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
CANADA GUARANTY TNG,GUAR_B_TNG,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
CMHC BNS,CMHC_B_BNS,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
LOC,REV_CON_CL,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
DTL,DTL_OTHER,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
CC,REV_CON_CC,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
DTL,DTL_STEP,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
ITL,ITL_RV,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
CANADA GUARANTY TNG,GUAR_I_TNG,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
DTL,DTL_CLIP,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
ITL,ITL_HI,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
ITL,ITL_LEISURE,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
Student Lines,OTHER_CON_SLT,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
CMHC TNG,CMHC_I_TNG,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
CMHC BNS,CMHC_I_BNS,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
DTL,DTL_RRE,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
GENWORTH TNG,GENW_B_TNG,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
GENWORTH TNG,GENW_I_TNG,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
ITL,ITL_OTHER,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
CANADA GUARANTY BNS,GUAR_I_BNS,Insured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
Student Lines,OTHER_CON_SLR,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
BNS Mortgage,CONV_U_BNS,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
DTL,DTL_AUTO,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
TNG Mortgage,CONV_U_TNG,Uninsured,"200010","999912",Y,2021-10-29-15.20.00.000000,2021-10-29-15.20.00.000000
