"METRPL_AREA_NM","EFF_FROM_YR_MTH","SCALNG_FACTR_VAL","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Ottawa-Gatineau,"200001",2400,"999912",Y,2016-12-19-17.02.00.000000,2016-12-19-17.02.00.000000
Montreal,"200001",2500,"999912",Y,2016-12-19-17.02.00.000000,2016-12-19-17.02.00.000000
Victoria,"200001",3300,"999912",Y,2016-12-19-17.02.00.000000,2016-12-19-17.02.00.000000
Calgary,"200001",2500,"999912",Y,2016-12-19-17.02.00.000000,2016-12-19-17.02.00.000000
Toronto,"200001",3300,"999912",Y,2016-12-19-17.02.00.000000,2016-12-19-17.02.00.000000
Halifax,"200001",1900,"999912",Y,2016-12-19-17.02.00.000000,2016-12-19-17.02.00.000000
Edmonton,"200001",2100,"999912",Y,2016-12-19-17.02.00.000000,2016-12-19-17.02.00.000000
Quebec,"200001",1700,"999912",Y,2016-12-19-17.02.00.000000,2016-12-19-17.02.00.000000
Vancouver,"200001",4200,"999912",Y,2016-12-19-17.02.00.000000,2016-12-19-17.02.00.000000
Hamilton,"200001",2000,"999912",Y,2016-12-19-17.02.00.000000,2016-12-19-17.02.00.000000
Winnipeg,"200001",1400,"999912",Y,2016-12-19-17.02.00.000000,2016-12-19-17.02.00.000000
