"DLQNT_ID","KS_MIN_DAY_DLQNT","MIN_DAY_DLQNT","KS_MAX_DAY_DLQNT","MAX_DAY_DLQNT","DLQNT_CYCL_CD","DLQNT_CYCL_DESC","NCR_DLQNT_CD","NCR_DLQNT_DESC","EFF_FROM_DT","EFF_TO_DT","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
504,61,31,90,60,C    ,"31 to 60 Days","0803","31 to 60 Days",2015-06-30,9999-12-31,Y,2016-01-15-14.22.33.000000,2016-01-15-14.22.33.000000
508,-2,-2,-2,-2,NA   ,No delinquency bucket,"0899",No delinquency bucket,2015-06-30,9999-12-31,Y,2016-01-15-14.22.33.000000,2016-01-15-14.22.33.000000
506,121,91,9999,9999,E    ,Over 90 Days,"0805",Over 90 Days,2015-06-30,9999-12-31,Y,2016-01-15-14.22.33.000000,2016-01-15-14.22.33.000000
405,91,61,120,90,D    ,"61 to 90 Days","0804","61 to 90 Days",2000-01-31,2015-05-31,N,2014-09-12-11.14.16.000000,2016-01-15-14.22.33.000000
501,-3,-3,-3,-3,NA   ,Total Delinquency Buckets,"0800",Total Delinquency Buckets,2015-06-30,9999-12-31,Y,2016-01-15-14.22.33.000000,2016-01-15-14.22.33.000000
502,0,0,30,0,A    ,Current,"0801",Current,2015-06-30,9999-12-31,Y,2016-01-15-14.22.33.000000,2016-01-15-14.22.33.000000
503,31,1,60,30,B    ,"1 to 30 Days","0802","1 to 30 Days",2015-06-30,9999-12-31,Y,2016-01-15-14.22.33.000000,2016-01-15-14.22.33.000000
406,121,91,9999,9999,E    ,Over 90 Days,"0805",Over 90 Days,2000-01-31,2015-05-31,N,2014-09-12-11.14.16.000000,2016-01-15-14.22.33.000000
403,31,1,60,30,B    ,"1 to 30 Days","0802","1 to 30 Days",2000-01-31,2015-05-31,N,2014-09-12-11.14.16.000000,2016-01-15-14.22.33.000000
401,-3,-3,-3,-3,NA   ,Total Delinquency Buckets,"0800",Total Delinquency Buckets,2000-01-31,2015-05-31,N,2014-09-12-11.14.16.000000,2016-01-15-14.22.33.000000
408,-2,-2,-2,-2,NA   ,No delinquency bucket,"0899",No delinquency bucket,2000-01-31,2015-05-31,N,2014-09-12-11.14.16.000000,2016-01-15-14.22.33.000000
404,61,31,90,60,C    ,"31 to 60 Days","0803","31 to 60 Days",2000-01-31,2015-05-31,N,2014-09-12-11.14.16.000000,2016-01-15-14.22.33.000000
507,-1,-1,-1,-1,NA   ,Unknown,"0898",Unknown,2015-06-30,9999-12-31,Y,2016-01-15-14.22.33.000000,2016-01-15-14.22.33.000000
505,91,61,120,90,D    ,"61 to 90 Days","0804","61 to 90 Days",2015-06-30,9999-12-31,Y,2016-01-15-14.22.33.000000,2016-01-15-14.22.33.000000
402,0,0,30,0,A    ,Current,"0801",Current,2000-01-31,2015-05-31,N,2014-09-12-11.14.16.000000,2016-01-15-14.22.33.000000
407,-1,-1,-1,-1,NA   ,Unknown,"0898",Unknown,2000-01-31,2015-05-31,N,2014-09-12-11.14.16.000000,2016-01-15-14.22.33.000000
