"DLVY_KEY","TXN_GRP_KEY","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
57000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
51200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
28200,N,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
24600,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
26900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
59100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
22300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
36100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
19400,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
51700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
73200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
61000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
59400,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
43500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
74500,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
55700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
61300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
55900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
21300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
58100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
33200,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
56300,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
60900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
3400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
28700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
50600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
3500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
49500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
64000,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
54800,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
70800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
73600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
71200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
26100,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
65200,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
61400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
3300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
71800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
55200,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
70200,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
51000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
53300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
4500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
66100,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
64500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
40800,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
15500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
17600,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
50100,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
61600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
6400,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
46800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
65000,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
43000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
19500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
74800,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
64300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
45700,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
25600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
30000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
