"MODEL_NAME","SEG_NUM","BASEL_MODEL_ID","BASEL_SEG_ID","MODEL_SEG_START_DT","MODEL_SEG_END_DT","DT4_PD_SEG_KEY_VAL","DT4_EAD_SEG_KEY_VAL","DT4_LGD_SEG_KEY_VAL","DT4_RISK_RT_KEY_VAL","INSRT_TIMESTAMP","UPDT_TIMESTAMP"
MOR LGD-D,6,8023,16194,202504,999912,,,"3256      ","0211      ",2025-04-01-00.00.00.000000,2025-04-01-00.00.00.000000
HELOC LGD-D,2,8002,16022,202504,999912,,,"3252      ","0209      ",2025-04-01-00.00.00.000000,2025-04-01-00.00.00.000000
LOC LGD-D,2,8006,16082,202507,999912,,,"3252      ","0210      ",2025-05-05-12.49.00.000000,2025-05-05-12.49.00.000000
MOR LGD-D,4,8023,16192,202504,999912,,,"3254      ","0211      ",2025-04-01-00.00.00.000000,2025-04-01-00.00.00.000000
LOC PD,6,8007,16062,202601,999912,"0906      ",,,"0210      ",2026-02-03-00.00.00.000000,2026-02-03-00.00.00.000000
LOC LGD-D,3,8006,16083,202507,999912,,,"3253      ","0210      ",2025-05-05-12.49.00.000000,2025-05-05-12.49.00.000000
ITL LGD-ND,4,8031,16152,202601,999912,,,"3204      ","0215      ",2026-02-03-00.00.00.000000,2026-02-03-00.00.00.000000
LOC PD,3,8007,16059,202601,999912,"0903      ",,,"0210      ",2026-02-03-00.00.00.000000,2026-02-03-00.00.00.000000
LOC EAD,5,8008,16072,202601,999912,,"3305      ",,"0210      ",2026-02-03-00.00.00.000000,2026-02-03-00.00.00.000000
CC EAD,3,8012,16039,202501,999912,,"3303      ",,"0208      ",2025-02-18-00.00.00.000000,2025-02-18-00.00.00.000000
DTL LGD-ND,4,8028,16124,202501,999912,,,"3204      ","0214      ",2025-02-18-00.00.00.000000,2025-02-18-00.00.00.000000
MOR LGD-D,7,8023,16195,202504,999912,,,"3257      ","0211      ",2025-04-01-00.00.00.000000,2025-04-01-00.00.00.000000
MOR LGD-D,9,8023,16197,202504,999912,,,"3259      ","0211      ",2025-04-01-00.00.00.000000,2025-04-01-00.00.00.000000
MOR LGD-D,10,8023,16198,202504,999912,,,"3260      ","0211      ",2025-04-01-00.00.00.000000,2025-04-01-00.00.00.000000
MOR LGD-D,11,8023,16199,202504,999912,,,"3261      ","0211      ",2025-04-01-00.00.00.000000,2025-04-01-00.00.00.000000
MOR LGD-D,12,8023,16200,202504,999912,,,"3262      ","0211      ",2025-04-01-00.00.00.000000,2025-04-01-00.00.00.000000
LOC PD,4,8007,16060,202601,999912,"0904      ",,,"0210      ",2026-02-03-00.00.00.000000,2026-02-03-00.00.00.000000
MOR LGD-D,1,8023,16189,202504,999912,,,"3251      ","0211      ",2025-04-01-00.00.00.000000,2025-04-01-00.00.00.000000
MOR LGD-D,3,8023,16191,202504,999912,,,"3253      ","0211      ",2025-04-01-00.00.00.000000,2025-04-01-00.00.00.000000
CC EAD,1,8012,16236,202501,999912,,"3301      ",,"0208      ",2025-02-18-00.00.00.000000,2025-02-18-00.00.00.000000
MOR LGD-D,2,8023,16190,202504,999912,,,"3252      ","0211      ",2025-04-01-00.00.00.000000,2025-04-01-00.00.00.000000
LOC PD,10,8007,16235,202601,999912,"0910      ",,,"0210      ",2026-02-03-00.00.00.000000,2026-02-03-00.00.00.000000
